source,target,type,weight
Hr. Severin,Stisen,Undirected,1
Junker Mourits,Stisen,Undirected,3
Junker Mourits,Niels Brahe,Undirected,24
Jens Lock,Niels Brahe,Undirected,2
Jens Lock,Jørgen,Undirected,1
Christiern,Jørgen,Undirected,1
Christiern,Niels Brahe,Undirected,4
Bohave,Niels Brahe,Undirected,1
Bohave,Jens,Undirected,1
Jens,s,Undirected,1
Maren,s,Undirected,1
Junker Mourits,Kirstens,Undirected,1
Kirstens,Lise,Undirected,1
Christiern,liar,Undirected,1
Gud,Kirsten,Undirected,16
Else,Oluf,Undirected,8
Else,Graad,Undirected,1
Graad,Oluf,Undirected,1
Gud,Oluf,Undirected,3
Else,Jørgen,Undirected,1
Else,Øland,Undirected,3
Lise,Øland,Undirected,1
Gud,Junker Mourits,Undirected,2
Junker Mourits,Kirsten,Undirected,9
Kirsten,Thord Ibsens,Undirected,2
Jakob,Thord Ibsens,Undirected,1
Junker Mourits,Oluf,Undirected,4
Christiern,Kong Christiern,Undirected,2
Christiern,lian,Undirected,1
Frederik,Junker Mourits,Undirected,1
Christiern,Frederik,Undirected,1
Christiern,Salomon,Undirected,1
Johan Rantzov,Junker Mourits,Undirected,1
Hr. Johan,Johan Rantzov,Undirected,2
Jens Lock,Kirsten,Undirected,7
Kirsten,Maren Lock,Undirected,2
Kirsten,Wandaas,Undirected,1
Else,Wandaas,Undirected,1
Else,Karen,Undirected,1
Maren Lock,Povel Kjørning,Undirected,1
Kirsten,z Kjørning,Undirected,2
Junker Mourits,lian,Undirected,2
Junker Mourits,Povel Kjørning,Undirected,1
Karen,Kirsten,Undirected,4
Beilers,Kirsten,Undirected,1
Beilers,liam,Undirected,1
hans Beilen,liam,Undirected,1
Jakob,hans Beilen,Undirected,1
Jakob Thordsen,Kirsten,Undirected,5
Jakob,Karen,Undirected,1
Jakob,Kirsten,Undirected,46
Kirsten Jakob,Mogens,Undirected,1
Jakob,Mogens,Undirected,17
Junker Mou-,Karen,Undirected,1
Junker Mou-,rits,Undirected,1
Junker Mourits,rits,Undirected,1
Junker Mourits,Karen,Undirected,1
Kirsten,livis,Undirected,1
Kong Christiern,livis,Undirected,2
Kirsten,Kong Christiern,Undirected,1
Jakob Thordsen,havde,Undirected,1
Junker Mourits,Sidsel,Undirected,1
Karl,Sidsel,Undirected,1
Kirsten,Sidsel,Undirected,1
Antonius,Sidsel,Undirected,1
Antonius,Gud,Undirected,1
Gud,Karen,Undirected,3
Karen,Karl,Undirected,1
Karen,hans Svend Mogens,Undirected,1
Wandaas,j,Undirected,1
Kirsten,j,Undirected,1
Kirsten,bøiede,Undirected,1
Junker Mourits,Otte Stisen,Undirected,5
Oluf,Otte Stisen,Undirected,1
Anna,Kong Frederiks,Undirected,1
Beviis,Otte Stisen,Undirected,1
Hr. Severin,Niels Brahe,Undirected,2
Anna,Hr. Severin,Undirected,1
Fejde,lian,Undirected,1
Fejde,Jens Lock,Undirected,1
Niels Brahe,Otte Stisen,Undirected,7
Jakob Thordsen,Prior,Undirected,1
Kong Frederik,Prior,Undirected,1
Jakob Thordsen,Junker Mourits,Undirected,6
Junker Mourits,eii Vognborg,Undirected,1
Jeus Lock,eii Vognborg,Undirected,1
Oluf,Stisen,Undirected,2
Jens Lock,Oluf,Undirected,1
Junker Mourits,Karl,Undirected,1
Jens Lock,Karl,Undirected,1
Anna,Niels Brahe,Undirected,3
Gud,Niels Brahe,Undirected,6
Jens Lock,Junker Mourits,Undirected,1
Gud,Jens Lock,Undirected,1
Jens Lock-,Kirsten,Undirected,1
Else,Kirsten,Undirected,28
Kirsten,Niels Brahe,Undirected,4
Junker Mourits,Kong Christiern,Undirected,1
Munk,Otte Stisen,Undirected,1
Jakob Thordsen,Karl,Undirected,2
Jakob Thordsen,Niels Brahe,Undirected,5
Kirsten,Svend,Undirected,1
Gud,Karl,Undirected,3
Jakob Thordsen,Stiseu,Undirected,1
Jakob Thordsen,Kjelder,Undirected,1
Kjelder,Stisen,Undirected,1
Cellarius,Hr. Povel,Undirected,1
Junker Mourits,Kjelder,Undirected,1
Augustini,Kjelder,Undirected,1
Jens Lock,Peter Knor,Undirected,4
Jens,Peter Knor,Undirected,1
