source,target,timestamp
Lehnsgrevens,Maria H.,1
Louise,Marie,2
Louise,Marie,4
H.,Louise,4
Eleonora Svane,H.,4
Eleonora Svane,Marie,4
Fenris,Marie,6
Fenris,lille Fenrisulv,6
Louise,lille Fenrisulv,6
Fenris,Louise,6
Fenris,Louise,6
Louise,Marie,6
Fenris,Marie,8
Frøken Høg,Louise,9
Louise,Marie,11
Louise,Marie,12
Fenris,Marie,14
Fenris,Louise,14
Louise,Marie,15
Louise,Marie,15
Louise,Marie,17
Louise,Marie,24
Grethe,Gud,29
Grethe,Marie,29
Grethe,Marie,29
Marie,øg,31
Marie,Steen,32
Marie,Marie H.,34
Grethe,Marie,35
Louise,Marie,38
Frøken Høg,Marie,38
Einar Nordberg,Louise,39
Louise,Marie,44
Louise,Marie,45
Louise,Marie,46
Fenris,Marie,46
Louise,Marie,49
Einar Nordberg,Louise,53
Einar Nordberg,Marie,53
Louise,Marie,53
Marie Doctoren,Nordberg,56
Doctoren,Nordberg,56
Doctoren,Grethe,56
Grethe,Øle Madsen,56
Marie,Ole Madsen,57
Grethe,Marie,58
Frøken Høg,Grethe,58
Frøken Høg,Ole Madsen,58
Nordberg,Ole Madsen,58
Comtesse Marie,Grethe,66
Fenris,Marie,67
Louise,Marie,68
Louise,Marie,68
Louise,Marie,68
Ejnar Nordbergs,Marie,70
Grethe,Marie,71
Gud,Thorvald,82
Ejnar,Gud,82
Ejnar,Marie,82
Ejnar,eg,84
Camilla Ring,Marie,85
Camilla Ring,Thorvald,85
Anna,Marie,88
Grethe,Marie,91
Marie,Nordberg,93
Nordberg,lille Marie,93
Grethe,lille Marie,93
Louise,Marie,94
Grethe,Nordberg,95
Grethe,Louise,96
Ejnar,Marie,98
Grethe,Marie,99
Grethe Vaagekones,Ole Madsen,100
Marie,Ole Madsen,100
H.,Marie,100
H.,s,100
Ejnar,alleflags,101
Marie,alleflags,101
Frøken Høg,Louise,102
Beethovens,Frøken Høg,102
Ejnar,Marie,104
Louise,Marie,106
Ejnar,Marie,107
Louise,Marie,107
Louise,Marie,107
Louise,Marie,113
Frøken Høg,Louise,113
Ejnar,Marie,116
Fenris,Marie,116
Fenris,Nordberg,117
