Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Forchhammers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.14,0.0,0.0
Lolle,0,0,0,0,41,1.0,71,1.0,41,1.0,0.58,1.0,0.41,1.0
Gud,0,0,0,0,9,0.2,9,0.11,9,0.2,0.12,0.21,0.09,0.22
Volles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Palle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.14,0.0,0.0
Jøvrig,0,0,0,0,1,0.0,2,0.01,1,0.0,0.08,0.14,0.0,0.0
dei,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.14,0.0,0.0
Ludvig,0,0,0,0,3,0.05,3,0.03,3,0.05,0.14,0.24,0.0,0.0
Povl,0,0,0,0,26,0.62,51,0.71,26,0.62,0.37,0.64,0.21,0.51
lille Dres,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.14,0.01,0.02
s,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Poul,0,0,0,0,3,0.05,5,0.06,3,0.05,0.1,0.17,0.01,0.02
bræms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
dar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Adam,0,0,0,0,4,0.07,5,0.06,4,0.07,0.1,0.17,0.02,0.05
Eva,0,0,0,0,2,0.03,2,0.01,2,0.03,0.09,0.16,0.0,0.0
Fatter,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.09,0.01,0.02
Polles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Jokum,0,0,0,0,8,0.17,16,0.21,8,0.17,0.13,0.22,0.05,0.12
Volle,0,0,0,0,7,0.15,9,0.11,7,0.15,0.19,0.33,0.04,0.1
eil,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.05,0.0,0.0
Hannibal,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.03,0.0,0.0
Ane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bjørn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.13,0.22,0.0,0.0
Dres,0,0,0,0,9,0.2,20,0.27,9,0.2,0.21,0.36,0.03,0.07
gansfe,0,0,0,0,1,0.0,2,0.01,1,0.0,0.08,0.14,0.0,0.0
C. B.,0,0,0,0,1,0.0,2,0.01,1,0.0,0.08,0.14,0.0,0.0
C.,0,0,0,0,1,0.0,2,0.01,1,0.0,0.08,0.14,0.0,0.0
