source,target,type,weight
Hai,Mustafa,Undirected,1
Haien,Mustafa,Undirected,1
Ten gamle,Viola,Undirected,1
Gud,Viola,Undirected,7
Felix,Mustafa,Undirected,5
Felix,Viola,Undirected,54
Musfafa,Viola,Undirected,1
Viola,l«,Undirected,1
Anina,Steen,Undirected,1
Steen,Viola,Undirected,1
Anina,Felix,Undirected,4
Anina,Viola,Undirected,13
Bey Selim,Fatma,Undirected,6
Bey,Fatma,Undirected,1
Bey,Selim,Undirected,1
Aarle,Selim,Undirected,1
Aarle,Fatma,Undirected,1
Bey Selim visle,Fatma,Undirected,1
Bey Selim,Ten gamle,Undirected,1
Fatma,Viola,Undirected,4
Bey Selim,Fatme,Undirected,1
Fatma,ane,Undirected,1
Viola,ane,Undirected,1
Anina“,Viola meente,Undirected,1
Anina,Anina“,Undirected,1
Beferling,Viola,Undirected,3
Felix,Kaptain Beferling,Undirected,2
Kaptain Beferling,fnart,Undirected,1
Kaptain Beferling,iland,Undirected,1
Felix,iland,Undirected,1
Bob,Felix,Undirected,10
Felix,Hnn,Undirected,1
,Felix,Undirected,30
,Bob,Undirected,1
Dn,taug,Undirected,1
Dn,Felix,Undirected,1
Felix,Zerlina,Undirected,52
Viola,Zerlina,Undirected,18
Felix,niit,Undirected,1
Felix,taus,Undirected,1
Aare,Felix,Undirected,1
Gud,Zerlina,Undirected,2
Felix,Gud,Undirected,8
Felix,Holla,Undirected,1
Bcvogters,Viola,Undirected,2
Felix,Zerlinas Baand,Undirected,1
Peter Navn,Zerlina,Undirected,1
Eskimoer,Peter Ravn,Undirected,1
Felix,Peter,Undirected,26
Peter,Zerlina,Undirected,15
Mutter,Peter Ravn,Undirected,1
Eskimo,Zerlina,Undirected,1
Peter Ravn,Zerlina,Undirected,5
Peter Ravn,faus,Undirected,1
Peter,gry,Undirected,1
Felix,Peter Ravn,Undirected,8
Tyrken,Viola,Undirected,1
Luth,Tamburin,Undirected,1
Viola,paany,Undirected,1
Edhem Pascha,Viola,Undirected,9
Edhem,Solems,Undirected,1
Solem,Viola,Undirected,5
Edhem Pascha,Felix,Undirected,2
Felix,Tom Jenkton,Undirected,1
Peter,Peter Ravn,Undirected,4
Peter Ravn,Viola,Undirected,3
Zerlina,undgaa Peter,Undirected,1
Felix,undgaa Peter,Undirected,1
Felix,Zerina,Undirected,1
Felix,nnge,Undirected,1
Peter,nnge,Undirected,1
Peter,iveien,Undirected,1
Hain,Zerlina,Undirected,1
Jørgen,della,Undirected,1
Zerlina,della,Undirected,1
Degn,Zerlina,Undirected,1
Jørgen,Zerlina,Undirected,3
Ritha,soni,Undirected,1
Gud,Ritha,Undirected,2
Dandseboder,Lise,Undirected,1
Bachus,Ter,Undirected,1
Dandsen,Sands,Undirected,1
Høffding,Mustafa,Undirected,3
Herr Dilcke,Jfraim,Undirected,1
Musfafa,Villæen,Undirected,1
Zerlina,sanime,Undirected,1
Felix,Zerlina ile,Undirected,1
Felix ' Leie,Zerlina,Undirected,1
Nn,Peter,Undirected,1
Høffding,ester,Undirected,1
Felix,Meridit,Undirected,1
Felix,Ten nnge,Undirected,1
Felix,Hesfen,Undirected,3
Peter,Zerlrna,Undirected,1
Felix,Midi,Undirected,1
Felix Mustafa,jderes,Undirected,1
Edhem Pascha,Pascha,Undirected,1
Pascha,Prindsens,Undirected,1
All,Viola,Undirected,1
All,Felix,Undirected,1
Felix,Paschaen,Undirected,1
Pages,Paschaen,Undirected,1
Felix,Marv,Undirected,1
Høibords,Viola,Undirected,2
Felix,Meriditen,Undirected,1
Felix,Tyrken,Undirected,1
