Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bondm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Inga,0,0,0,0,89,1.0,227,1.0,89,1.0,0.38,1.0,0.25,1.0
Karin,0,0,0,0,8,0.08,14,0.06,8,0.08,0.06,0.16,0.0,0.0
Kirstine,0,0,0,0,31,0.34,66,0.29,31,0.34,0.19,0.5,0.07,0.28
Gud,0,0,0,0,40,0.44,57,0.25,40,0.44,0.21,0.55,0.08,0.32
Knud Nielson,0,0,0,0,25,0.27,38,0.16,25,0.27,0.13,0.34,0.03,0.12
Knud,0,0,0,0,4,0.03,4,0.01,4,0.03,0.04,0.11,0.0,0.0
Sven Larsson,0,0,0,0,23,0.25,39,0.17,23,0.25,0.09,0.24,0.03,0.12
raa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Ben Jsach,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Grev Magnus Brahes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Karl,0,0,0,0,16,0.17,24,0.1,16,0.17,0.09,0.24,0.02,0.08
ester,0,0,0,0,8,0.08,8,0.03,8,0.08,0.02,0.05,0.01,0.04
Sven Larsfon,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Torsf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fred sfal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
lZlr,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
hiin,0,0,0,0,11,0.11,15,0.06,11,0.11,0.11,0.29,0.01,0.04
Karl den,0,0,0,0,6,0.06,6,0.02,6,0.06,0.08,0.21,0.0,0.0
Grev Magnus Brahe,0,0,0,0,5,0.05,5,0.02,5,0.05,0.05,0.13,0.0,0.0
Gustav Adolphs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Feldtmarskalk Gyllenhjelms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kai Gyllenhjelm,0,0,0,0,14,0.15,21,0.09,14,0.15,0.08,0.21,0.01,0.04
Korporals,0,0,0,0,4,0.03,4,0.01,4,0.03,0.03,0.08,0.01,0.04
Steen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Knud Nielsen,0,0,0,0,4,0.03,6,0.02,4,0.03,0.03,0.08,0.0,0.0
lee,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.05,0.0,0.0
Feltmarskals,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gyllenhjelms,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Gardies,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Steen Veirings,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ambrosius,0,0,0,0,14,0.15,26,0.11,14,0.15,0.11,0.29,0.01,0.04
Mesfre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Steen Veiring,0,0,0,0,13,0.14,23,0.1,13,0.14,0.05,0.13,0.02,0.08
Steen Beiring,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Ebba,0,0,0,0,50,0.56,117,0.51,50,0.56,0.24,0.63,0.1,0.4
Kong Gustav Adolph kjær,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.05,0.0,0.0
Klot,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Larsfon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Inga Nielsdatter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Ebba Brahe,0,0,0,0,45,0.5,83,0.36,45,0.5,0.22,0.58,0.09,0.36
Gustav Adolph,0,0,0,0,44,0.49,62,0.27,44,0.49,0.25,0.66,0.09,0.36
Magnus Brahes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
,0,0,0,0,9,0.09,11,0.04,9,0.09,0.05,0.13,0.01,0.04
Grevindeir,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.08,0.0,0.0
Gustav,0,0,0,0,44,0.49,78,0.34,44,0.49,0.21,0.55,0.07,0.28
Brahe,0,0,0,0,23,0.25,33,0.14,23,0.25,0.15,0.39,0.02,0.08
hend,0,0,0,0,3,0.02,3,0.01,3,0.02,0.03,0.08,0.0,0.0
Elsfer,0,0,0,0,4,0.03,6,0.02,4,0.03,0.03,0.08,0.01,0.04
ane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Magnus Brahe,0,0,0,0,28,0.31,36,0.15,28,0.31,0.15,0.39,0.04,0.16
Veirings,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Beiring,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Gyllemhjelm,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.05,0.0,0.0
Gyllenhjelm,0,0,0,0,15,0.16,30,0.13,15,0.16,0.1,0.26,0.02,0.08
fransfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kai,0,0,0,0,6,0.06,6,0.02,6,0.06,0.05,0.13,0.0,0.0
Steil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kaptain Gyllenhjelm,0,0,0,0,9,0.09,11,0.04,9,0.09,0.04,0.11,0.01,0.04
Gustav Adolfs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Roes,0,0,0,0,6,0.06,6,0.02,6,0.06,0.06,0.16,0.0,0.0
sra,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Grevens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Svend Larsson,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Fogden,0,0,0,0,4,0.03,6,0.02,4,0.03,0.01,0.03,0.0,0.0
diir,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
vee,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.04
styrredc,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Steen Veiriug,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.03,0.0,0.0
Sven,0,0,0,0,11,0.11,16,0.07,11,0.11,0.07,0.18,0.01,0.04
Espeløv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Svend,0,0,0,0,7,0.07,8,0.03,7,0.07,0.04,0.11,0.0,0.0
Spitsbuber,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gyllemhjem,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Oxenftjerna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
