source,target,type,weight
Kong Frederik,Seirs,Undirected,1
Frederik,Seirs,Undirected,1
Frederik,Grevens,Undirected,1
Anna Sophie,Grevens,Undirected,1
Anna Sophie,Charlotte Amalie,Undirected,29
Geheimeraadinde Blohme,Komtesse Friis,Undirected,1
Grev Holsteins,Komtesse Friis,Undirected,1
Charlotte Amalie,Grev Holsteins,Undirected,1
Charlotte Amalie,Louises,Undirected,2
Guds,Louises,Undirected,1
Anna Sophie,Guds,Undirected,1
Charlotte Amalie,Evropas,Undirected,1
Evropas,Geheimeraadinde,Undirected,1
Blohmes,Geheimeraadinde,Undirected,1
Blohme,Ottoman,Undirected,1
Blohme,Schulin,Undirected,1
Hedvigs,Pless,Undirected,1
,Pless,Undirected,11
Schulin,Sophie Magdalene,Undirected,1
Geheimeraadinden,Hedvig,Undirected,1
Anna Sophie,Carl von Pless,Undirected,2
Carl von Pless,elvte,Undirected,1
Charlotte Amalie,Guds,Undirected,1
Frederik den Fjerdes,Ulrik Adolf Holstein,Undirected,1
Froken Holstein,Sophie Hedvigs,Undirected,1
Geheimeraad von Osfen,Sophie Hedvigs,Undirected,1
Geheimeraad von Osfen,Sponeck,Undirected,1
Osten,Sponeck,Undirected,1
Christiane Sophie,Frederik Ernst,Undirected,1
Möstings,Peter Ryssel,Undirected,1
Møsting,Peter Ryssel,Undirected,1
Møsting,j,Undirected,1
Peter Ryssel,Ryssel,Undirected,1
Anna Sophie,Ryssel,Undirected,1
Anna Sophie,Hans Troyel,Undirected,1
Hans Troyel,Ryssel,Undirected,1
Charlotte Amalie,Ryssel,Undirected,2
Christian den,Ryssel,Undirected,2
Møsting,von der Lith,Undirected,2
Charlotte Amalie,Møsting,Undirected,1
Andreas Thorsen,Simonis,Undirected,1
Andreas Thorsen,Thorsen,Undirected,2
Abelone,Thorsen,Undirected,7
Gerhard,lille Abelone,Undirected,1
Abelone,Poul Onju2chowitsch,Undirected,1
Abelone,Gud,Undirected,1
Gerhard,Thorsen,Undirected,40
Christian Gersdorf,Gerhard,Undirected,6
Christian Gersdorf,Jsgaard,Undirected,1
Jsgaard,Kjærsgaard,Undirected,1
Kjærsgaard,Roelsegaard,Undirected,1
Konferenfsraad,Roelsegaard,Undirected,1
Gersdorf,Konferenfsraad,Undirected,1
Gersdorf,Margrethe,Undirected,1
Krabbe,Margrethe,Undirected,1
Geheimeraad Gersdorf,Krabbe,Undirected,1
Geheimeraad Gersdorf,Gerhard,Undirected,1
Frederik,Gerhard,Undirected,1
Gerhard,Sophie Magdalene,Undirected,2
Gerhard,Melone,Undirected,2
Czar Peter,øberst Soltikow,Undirected,1
Foslerson,Thorsen,Undirected,1
Czarens,Gerhard,Undirected,1
Czarens,Menzikow,Undirected,1
Christian Gersdorf,Thorsen,Undirected,1
Christian,Thorsen,Undirected,1
Andreas Høier,Thorsen,Undirected,1
Christian den,Thorsen,Undirected,1
Georg,Gersdorf,Undirected,1
De Thurah,Thorsen,Undirected,1
Christian,Gersdorf,Undirected,1
Bluhme,Gersdorf,Undirected,1
Bluhme,Zinzendorf,Undirected,1
Anna Sophie,Chrisfian den,Undirected,2
Chrisfian den,Gersdorf,Undirected,1
Carl Pless,Gersdorf,Undirected,1
Pless,Sophie Hedvigs,Undirected,1
Abelone,Gerhard,Undirected,11
Abelone,Christian Gersdorf,Undirected,1
Gerhard,Gersdorf,Undirected,10
Gersdorf,Zefyrs,Undirected,1
Gersdorf,Løitnant Frederik Reenberg,Undirected,1
Løitnant Frederik Reenberg,Tøger Reenberg,Undirected,1
Ristrup,Tøger Reenberg,Undirected,1
Reenberg,Ristrup,Undirected,1
Gerhard,Reenberg,Undirected,1
Abelone,Gerhard ene,Undirected,1
Abelone,Hatz von Hahn,Undirected,1
Gerhard,Hatz von Hahn,Undirected,1
Gerhard,Monsieur,Undirected,2
Gerhard fom,Hahns,Undirected,1
Hahns,Thorsen,Undirected,1
Kong August,Peters,Undirected,1
Gerhard,Hahn,Undirected,17
Abelone,Hahn,Undirected,4
Gerhard,Poul Onjuchowitsch,Undirected,7
Gerhard,Hakz von Hahn,Undirected,1
Abelone,Jesus,Undirected,1
Hahn,Thorsen,Undirected,2
Charlotte Amalie,Geheimeraadinde Charlotte Amalie Blohme,Undirected,2
Charlotte Amalie,Geheimeraadinde Blohme,Undirected,6
Charlotte Amalie,Seil,Undirected,1
Charlotte Amalie,Uveir,Undirected,1
Lise Rosenberg,Uveir,Undirected,1
Abro,Lise Rosenberg,Undirected,1
Charlotte Amalie,Lise Rosenberg,Undirected,4
Gerhard,Gud,Undirected,2
Charlotte Amalie,Gerhard,Undirected,33
Charlotte Amalie,otz,Undirected,1
Lise,Poul Onjuchowitsch,Undirected,2
Abro,Lise,Undirected,1
