source,target,type,weight
Dandsens,Hr. Detlef,Undirected,1
,Annas,Undirected,2
Annas,Eier as Goldebjerg,Undirected,1
Anna,Svend,Undirected,3
Anna,Detlef,Undirected,14
Detlef,cgsaa,Undirected,1
Anna,cgsaa,Undirected,1
Anna,Sidsfe,Undirected,2
Anna,Sands,Undirected,1
Anna,Goldebjerg,Undirected,2
Anna thede,Goldebjerg,Undirected,1
Detlef,sørend,Undirected,1
Arne,ester,Undirected,1
Anna,ester,Undirected,3
Anna,hnn,Undirected,1
Len,Prindsen,Undirected,1
Anna,Prindsen,Undirected,5
eg,strax,Undirected,1
Anna,Jonas,Undirected,9
Jonas,Marthas,Undirected,1
Marthas,Prindsen,Undirected,1
Hr. Dellef,Prindsen,Undirected,1
Anna,Hr. Dellef,Undirected,1
Detlef,Prindsen,Undirected,2
Anna,Arne,Undirected,1
Charakteers,Detlef,Undirected,1
Detlef,lidf,Undirected,1
Anna,yans,Undirected,1
Detlef,Martha,Undirected,7
Martha,Prindsen,Undirected,2
Gud,Martha,Undirected,1
,Martha,Undirected,2
Jonas,Martha,Undirected,13
Alf,Anna,Undirected,1
Anna,Martha,Undirected,11
Dands,Len,Undirected,1
Detlev,barsf,Undirected,1
Anna,Daggry,Undirected,1
JonaS,Jonas,Undirected,1
JonaS,Prindsen,Undirected,1
Prindsen,Wren,Undirected,1
Detlef,huul,Undirected,1
Martha,saadrn,Undirected,1
Jonas,saadrn,Undirected,1
Anna,Dtartha,Undirected,1
Hr. Detlef,Martha,Undirected,2
Esterat,Martha,Undirected,1
,Jonas,Undirected,8
Beviis,Jonas,Undirected,1
Detlef,Jonas,Undirected,8
Jonas,Sands,Undirected,1
Sands,esterat,Undirected,1
esterat,ker,Undirected,1
Jonas,lsd,Undirected,1
Gud,Jonas,Undirected,1
Detlef,efler,Undirected,1
Martha,efler,Undirected,1
Anna,zittrsnde,Undirected,1
Martha,Sune,Undirected,1
Jonas,ester,Undirected,1
Jonas,ban,Undirected,1
,Anna,Undirected,1
Detlef,as,Undirected,1
Anna,Ivar,Undirected,2
Anna,soer,Undirected,1
Jonas,Len Stærkeres,Undirected,2
este,jø,Undirected,1
Detlef,Ivar,Undirected,4
Detlef,Svend,Undirected,2
Ivar,Svend,Undirected,1
Anna,Hr. Detlef,Undirected,2
Prindsen,Svend,Undirected,1
AnnaS,Svend,Undirected,1
Ivar,Jonas,Undirected,5
,Bolt,Undirected,1
Detlef,soer,Undirected,1
Jonas,Svend,Undirected,2
Egenæs,Ivar,Undirected,1
,Egenæs,Undirected,1
Jonas,Jvars,Undirected,1
Ove Hjelm,Skovgaard,Undirected,1
Ove Hjelm,Oves,Undirected,1
Broder Ove,Oves,Undirected,1
Broder Ove,Ove,Undirected,1
Gud,Ove,Undirected,5
Gud,Olme,Undirected,1
Olme,Ove Hjelm,Undirected,1
Ove,Ove Hjelm,Undirected,1
Ove,Ove el,Undirected,1
Døttre,sor Ove,Undirected,1
Ove,artium,Undirected,2
Ove,ester,Undirected,1
A. Munchs,ester,Undirected,1
A. Munchs,hiinsides,Undirected,1
Gud,hiin,Undirected,2
Ove,deras,Undirected,2
Diogenes,Ove,Undirected,1
Fritz Bagger,Goldschmidts,Undirected,1
Goldschmidts,Riim,Undirected,1
Line,elsfe,Undirected,1
Line,blaa,Undirected,1
Ove,esterat,Undirected,1
Anders,Ove,Undirected,2
Agnes,Ove,Undirected,19
Agnes,tans,Undirected,1
Ove Hjelm,sidsf,Undirected,1
Goldschmidts,Richardts,Undirected,1
Cousine,Gud,Undirected,1
Coufines,Ove,Undirected,1
Bagger,Coufines,Undirected,1
Consines,Ove,Undirected,2
Jdetsamme,Ove,Undirected,1
Agnes,Berg,Undirected,2
Berg,ester,Undirected,1
Gud,ester,Undirected,2
Ove,Randal Leslie,Undirected,1
Ove,P. Berg,Undirected,1
Berg,hiin,Undirected,1
Ove,ril,Undirected,1
Agnes,John,Undirected,1
Gud,John,Undirected,1
Agnes,Caspersens,Undirected,1
,Agnes,Undirected,4
,Gud,Undirected,1
John,Ove,Undirected,3
Berg,Ove Hjelm,Undirected,1
Agnes Berg,Ove Hjelm,Undirected,1
,Ove,Undirected,2
Ddre,Ove,Undirected,1
Captain Berg,Ddre,Undirected,1
