Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Dandsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hr. Detlef,0,0,0,0,3,0.07,5,0.06,3,0.07,0.05,0.11,0.01,0.03
,0,0,0,0,10,0.3,23,0.34,10,0.3,0.18,0.4,0.06,0.17
Annas,0,0,0,0,2,0.03,3,0.03,2,0.03,0.02,0.04,0.01,0.03
Eier as Goldebjerg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anna,0,0,0,0,22,0.7,65,1.0,22,0.7,0.23,0.51,0.11,0.31
Svend,0,0,0,0,6,0.17,10,0.14,6,0.17,0.1,0.22,0.01,0.03
Detlef,0,0,0,0,14,0.43,45,0.69,14,0.43,0.15,0.33,0.04,0.11
cgsaa,0,0,0,0,2,0.03,2,0.02,2,0.03,0.05,0.11,0.0,0.0
Sidsfe,0,0,0,0,1,0.0,2,0.02,1,0.0,0.03,0.07,0.0,0.0
Sands,0,0,0,0,3,0.07,3,0.03,3,0.07,0.07,0.16,0.0,0.0
Goldebjerg,0,0,0,0,2,0.03,3,0.03,2,0.03,0.03,0.07,0.01,0.03
Anna thede,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sørend,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Arne,0,0,0,0,2,0.03,2,0.02,2,0.03,0.06,0.13,0.0,0.0
ester,0,0,0,0,16,0.5,22,0.33,16,0.5,0.28,0.62,0.16,0.44
hnn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Len,0,0,0,0,4,0.1,4,0.05,4,0.1,0.04,0.09,0.01,0.03
Prindsen,0,0,0,0,9,0.27,15,0.22,9,0.27,0.11,0.24,0.01,0.03
eg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
strax,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Jonas,0,0,0,0,17,0.53,57,0.88,17,0.53,0.26,0.58,0.09,0.25
Marthas,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.09,0.0,0.0
Hr. Dellef,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.09,0.0,0.0
Charakteers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
