source,target,timestamp
Oluf Ring,Olufs,1
Oluf Ring,Olufs,1
Olufs,Straahats,1
Oluf Anders Rings,Olufs,2
Elverhøjs,Olufs,2
Elverhøjs,Olufs,2
Olufs,Ring,2
Ane,Ring,2
Ane,Jens,2
Hektor,Jens,2
Hektor,Kims,2
Kims,Lotte,2
Lone.,Lotte,2
Lone.,Oluf,2
Oluf,Peter —,6
Oluf,Peter,7
Oluf,Peter,7
Ane,Oluf,7
Ane,Peter,7
Ane,Peter,9
Oluf,Peter,10
Ane,Peter,11
Ellen,Oluf,13
Peter,lille Ellen,14
Peter,lille Ellen,14
Oluf,lille Ellen,15
Ellen,sotte,18
Ellen,Peter,19
Oluf,Peter,21
Olaf,Oluf,22
Olaf,Oluf,22
Oluf,lille Ellen,29
Pastoren,Peter,31
Ane,Hektor,33
Hektor,Kims,33
Jens,Kims,33
Jens,Peter,33
Ellen,Peter,33
Oluf,Peter,34
Ellen,Luf,35
Ane,Ellen,36
Ane,Jens,36
Jens,Oluf,36
Ane —,Peter,37
Ane —,Kims,37
Oluf,Peter,38
Hr. Lundsen,Hr. Seler,39
Hr. Lundsen,Nielsen,39
Ellen,Nielsen,39
Ellen,Peter,39
Hektor,Peter,39
Hektor,Kims,39
Ane,Kims,39
Ane,Jens,39
Hr. Lundsen,Jens,39
Lundsen,Oluf,41
Duxen,Nygaard,42
Nygaard,Petersen,42
Nygaard,Petersen,42
Nielsen,Nygaard,42
Nielsen,Nygaard,42
Nielsen,Nygaard,42
Nielsen,Povlsen,42
Nygaard,Petersen,43
Niels Ebbesen,Nygaard,43
Niels Ebbesen,Nielsen,43
Jochum Petersen,Nielsen,43
Jochum Petersen,Nygaard,43
Ivar Hvitfeld,Nygaard,43
Ivar Hvitfeld,Meyer,43
Meyer,Nygaard,43
Ivar,Nygaard,43
Ivar,Nygaard,43
Meyer,Nygaard,43
Meyer,Nielsen hannem,43
Nygaard,Povl,47
Nygaard,Tantalus,47
Nygaard,Tantalus,47
Nygaard,Povl,47
Nygaard,Povl,47
Nygaard,Povl,47
Oluf,Povl,47
Hr. Lundsen,Povl,49
Hr. Ryping,Povl,49
Hr. Ryping,NMHR,49
Hr. Ryping,NMHR,49
Peter,Ørvarod,50
Berurjoder,Ørvarod,50
Berurjoder,Ørvarod,50
Hjalmar,Ørvarod,50
Hjalmar,Ingeborg,50
Ingeborg,Ørvarod,50
Hr. Lundsen,Ørvarod,50
Hr. Lundsen,Povl,50
Frejrs,Povl,50
Dickens,Wardle,55
Jens,Wardle,55
Jens,Kane,55
Flegma,Jens,56
Flegma,Jens,56
Jens,Oluf,56
Jens,Peter,57
Hektor,Peter,57
Oluf,Povl,58
Peter,Povl,58
Ane,Peter,58
Ane,Hektor,58
Hektor,Kims,58
Kims,Lotte,58
Lone —,Lotte,58
Oluf,Povl,59
Oluf,Povl,59
Hektor,Povl,63
Hektor,Hr. Prahl,63
Hr. Prahl,Oluf,63
Oluf,Povl,63
Oluf,lille Ellen,64
Povl,lille Ellen,64
Oluf,Povl,67
Oluf,Povl,69
Nielsen,Oluf,70
Nielsen,Povl,70
Ane,Ellen,72
Ellen,Peter,73
Ane,Peter,73
Ane,Kims,73
Jens,Kims,73
Kristian Hansen,Oluf Ring,74
Hansen,Kristian Hansen,74
Hansen,Oluf Ring,75
Ingemann,Oluf,77
Cæsar,Povl Nygaard,79
Oluf Ring,Povl Nygaard,79
Oluf Ring,Ring,79
Nygaard,Ring,79
Nygaard,Oluf Ring,79
Nygaard,Oluf Ring,79
Nygaard,Oluf,81
Hans Engelstrup,Nygaard,81
Hans Engelstrup,Nygaard,81
Engelstrup,Nygaard,81
Engelstrup,Oluf,81
Engelstrup,Nygaard,83
Oluf,ane,84
Amanda Engelstrup,ane,84
Amanda Engelstrup,Nygaard,84
Nygaard,Oluf,84
Engelstrup,Oluf,87
Nygaard,blaa,94
Oluf,blaa,94
Mathilde Aastrup,Oluf,95
Mathilde,Oluf,98
Mathilde,Nygaard,98
Mathilde,Oluf,100
Oluf,htin,100
Oluf,htin,100
Mathilde,Oluf,101
Mathilde,Oluf,104
Mathilde,Oluf,106
Amanda Engelstrup,Oluf,113
Amanda Engelstrup,Oluf,113
Mathilde,Oluf,115
Mathilde Aastrup,Oluf,116
Engelstrup,Oluf,116
Engelstrup,Frk. Amanda,116
Frk. Amanda,Mathilde,116
Frk. Engelstrups,Mathilde,116
Frk. Engelstrups,Povl Nygaard,116
Nygaard,Povl Nygaard,116
Medea,Oluf,117
Mathilde,Oluf,117
Lynggaard,Mathilde,117
Mathilde,Povl Nygaard,118
Oluf,Povl Nygaard,118
Anton,Oluf,118
Anton,Oluf,118
Mathilde,Oluf,118
Anton,Mathilde,118
Anton,Oluf,118
Lynggaard,Oluf,119
Lynggaard,Oluf,121
Lynggaard,Oluf,121
Lynggaard,Oluf,121
Mathilde,Oluf,122
Oluf,Vagn Aagesen,122
Engelstrup,Povl Nygaard,125
Engelstrup,Povl Nygaard,125
Drachmann,Engelstrup,126
Mathilde Aastrup,Oluf,129
Mathilde,Oluf,129
Mathilde,Oluf,130
Mathilde,Oluf,131
Mathilde,Oluf,137
Mathilde,Oluf,142
Frk. Engelstrup,Oluf,145
Frk. Engelstrup,Mathilde,145
Mathilde,Oluf,145
Mathilde,Oluf,146
Mathilde,Oluf,147
Mathilde,Oluf,147
Mathilde,Oluf,152
Mathilde,Olufs Hjerte,152
Oluf,schgu,155
Oluf,Petersen,162
Oluf,Petersen,162
Mathilde,Oluf,164
Frøken Aastrup,Guds,170
Amanda Engelstrup,Oluf,179
Mathilde,Oluf,179
Mathilde,Petras,186
Mathilde,Oluf,193
Amanda,Oluf,193
Amanda,Mathilde,195
Amanda,Frøken Engelstrup,196
Amanda,Mathilde,199
Mathilde,Oluf,206
Hans,Oluf,206
Graad,Mathilde,207
Amanda,Mathilde,208
Mathilde,Oluf,208
Amanda,Mathilde,209
Amanda,Oluf,209
Amanda,Oluf,209
Amanda,Mathilde,209
Mathilde,Oluf,210
Amanda,Oluf,210
Lynggaard,Mathilde,212
Amanda,Mathilde,216
Amanda,Mathilde,216
Amanda,Mathilde,216
Mathilde,Povl Nygaard,216
Amanda,Mathilde,217
Amanda,Mathilde,222
Amanda,Mathilde,223
Amanda,Oluf,223
Kristian Hansen,Oluf,226
Nygaard,Oluf,229
Oluf,Oluf Ring,230
Nygaard,Oluf Ring,230
Nygaard,Oluf,233
Nygaard,Oluf,236
Amanda,Amanda Engelstrup,247
Amanda,Asen,247
Amanda Engelstrup,Asen,247
Amanda Engelstrup,Hans,247
Hans,Sands,247
Sherry,Willibald,249
Oluf,Povl,250
Nygaard,Oluf,251
Nygaard,Oluf,251
Nygaard,Oluf,252
Nygaard,Povl,252
Oluf,Povl,252
Oluf,Povl,252
Elverhøj,Povl,252
Amanda,Kuhlau,257
Trala,trala,259
Mathilde,Oluf,261
Engelstrup,Mathilde Aastrup,262
Oluf,Povl Nygaard,264
bene cut em curare,vanus timor,269
Horats,bene cut em curare,269
Horats,Simeons,269
Simeons,Tesus,269
Lucas,Tesus,269
Gud,Rosenfeld,270
Oluf,Povl Nygaard,276
Ellen,Gud,277
Ellen,Nygaard,277
Nygaard,Oluf,278
Grønsø,Kramsgaard,279
Agneta,Kramsgaard,279
Agneta,Amalia,279
Amalia,Grønsø,279
Grønsø,Nete,279
Malle,Nete,279
Grønsø,Malle,279
Amalia,Grønsø,279
Amalia,Gudd,279
Agneta,Gudd,279
Agneta,Fanny Birke,279
Fanny Birke,Nygaard,279
Kramsgaard,Pastor Grønsøs,280
Fanny,Kramsgaard,280
Ellen,Fanny,280
Hansen,Hostrups,283
Engelstrup,Hansen,283
Engelstrup,Povl,283
Gud,Oluf,286
Oluf,Professor —,290
Professor —,s,290
Oluf,ornat Povl,292
Ellen Ring,Oluf,292
Hansen,Oluf Ring,295
Hansen,Oluf,295
Oluf,Ring,296
Oluf,Povl Nygaard,296
Oluf,Povl Nygaard,296
Gud,Oluf Ring,298
Nygaard,Oluf,307
Nygaard,Oluf,307
Gud,Oluf,309
Oluf,Povl,310
Darwin,Spencer,312
Engelstrup,Spencer,312
Engelstrup,Mathilde,312
Amanda,Mathilde,312
Amanda,Oluf,312
Amanda,Oluf,313
Amanda,Oluf,314
Oluf,Povl Nygaard,315
Oluf,Povl Nygaard,316
Ellen Ring,Povl Nygaard,316
Amanda,Oluf,318
Oluf,Povl Nygaard,320
Gud,Oluf,322
E. R.,Ellen,324
Amanda,lian,326
Amanda,lian,326
Amanda,Oluf,326
Amanda,Oluf,326
Amanda,Frk. E. Ring,326
Frk. E. Ring,Oluf,326
Frk. Engelstrup,Oluf,326
Graad,Povl Nygaard,329
Amanda Engelstrup,Oluf,330
Amanda,Oluf,331
Amanda,Mathilde,339
Amanda,Oluf,339
Oluf,Povl Nygaard,340
Darwin,Elverhøj,341
Darwin,Spencer,341
Engelstrup,Hansen,342
Engelstrup,Povl Nygaard,342
Oluf,Povl Nygaard,342
Oluf,philol.,342
Horats,philol.,342
Horats,theol.,342
A. Kyster,theol.,342
A. Kyster,Oluf Ring,342
Oluf,Oluf Ring,342
Brandes,Hr. Clausen,345
Brandes,Schneider,345
Jansen,Povl,346
Jakobsen,Jansen,346
Hansen,Jakobsen,346
Engelstrup,Hansen,346
Engelstrup,Hansen,346
Bitter,Clausen,347
Bitter,Clausen,347
Clausen,bibendi,347
Bravo,bibendi,347
Anule,Clausen,348
Anule,Oluf,348
Clausen,Jacobe,352
Jacobe,Jane,352
Bitter,Clausen,353
Clausen,Horats,353
Mathilde,Oluf Ring,355
Oluf,Oluf Ring,355
Bacchus,Oluf,355
Bacchus,Clausen,355
Clausen,Hr. Linsom,355
Hr. Linsom,Oluf,355
Jansen,Oluf,356
Bacchus,Clausen,358
Oluf,Povl,362
Gud,Oluf Ring,370
Gud,Kristus,370
Eberhard,Engelstrup,373
Oluf,Rosenfeld,390
Gud,Oluf,392
Kristus,Oluf,394
Oluf,Rosenfeld,396
Oluf,Rosenfeld,396
Gud,Kristus,397
Kristus,William Rosenfeld,397
Kristus,William Rosenfeld,397
Avtores,Zebaoth,398
William Rosenfeld,Zebaoth,398
Rosenfeld,William Rosenfeld,398
Abraham,William,399
Kristus,William,399
Oluf,Rosenfeld,411
Justitsraad Petersen,Rosenfeld,412
Justitsraad Petersen,Rosenfeld,412
Brægmann,hans Fiemor,413
Anker,Brægmann,413
Anker,Fiemor,413
Fiemor,Gud,413
Justitsraad Petersen,William Rosenfeld,415
Kristus,William Rosenfeld,415
Petersen,Rosenfeld,416
Petersen,Rosenfeld,416
Oluf,Ring,417
Oluf,Povl,417
Oluf,Povl,417
Oluf,Rosenfeld,418
Oluf,Rosenfeld,418
Oluf,Rosenfeld,418
Oluf,Rosenfeld,418
Oluf,Rosenfeld,418
Oluf,Rosenfeld,418
Oluf,Rosenfeld,420
Oluf,Rosenfeld,420
Oluf,Rosenfeld,423
Oluf,Rosenfeld,429
Oluf,Rosenfeld,437
Amanda,Oluf,439
Amanda,Rosenfeld,439
Amanda,Rosenfeld,439
Amanda,Mathilde,439
Ludvig XIV.’s,Ruyters,443
Napoleon,Ruyters,443
Gott sei,Wilhelm der siegreiche,444
Gott sei,willig,444
ein Schrecken ganz Europas war und noch unter,willig,444
Wendung,ein Schrecken ganz Europas war und noch unter,444
Berg,Ploug,446
Birkedal,G. Winther,448
Birkedal,Tirs,448
Tirs,kejs,448
Estrup,kejs,448
Evropa,kejs,455
Evropa,kejs,455
Amanda,Oluf,458
Amanda,Mathilde,458
Ellen,Mathilde,458
Ellen,Oluf,458
Oluf,Povl,458
Amanda,Povl,458
Oluf,Povl,460
Ellen,Povl,467
Ellen,R.,467
Amanda,Oluf,468
Amanda,Povl,470
Mathilde,Povl,470
Amanda,Mathilde,470
Amanda,Wilhelm Teils,470
Gessier,Wilhelm Teils,470
Amanda,Gessier,470
Amanda,Oluf,475
Amanda,Oluf,477
Ellen,Povl,478
Amanda,Gud,488
Mathilde,Mathilde Aastrup,489
Mathilde,Oluf Ring,489
Mathilde,Oluf Ring,489
Amanda,Oluf,490
Mathilde,Oluf,490
Dickens,Lars,493
Dickens,Lars,493
Amanda,Rosenfeld,500
Gud,Oluf,504
Gud,véd,504
Oluf,véd,504
Ellen,Lynggaard,505
Mathilde,Oluf,510
Mathilde,Oluf,510
Fru Rings,Oluf —,511
Fru Rings,Povl,511
Oluf,Povl,511
Amanda,Oluf,511
Mathilde,Oluf,525
