Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bruun,0,0,0,0,7,0.09,8,0.03,7,0.09,0.11,0.24,0.01,0.02
Mathilde Knudsen,0,0,0,0,5,0.06,6,0.02,5,0.06,0.06,0.13,0.01,0.02
Helene,0,0,0,0,31,0.47,165,0.62,31,0.47,0.29,0.63,0.16,0.39
Philosoph,0,0,0,0,2,0.02,2,0.0,2,0.02,0.03,0.07,0.0,0.0
Plato,0,0,0,0,7,0.09,8,0.03,7,0.09,0.08,0.17,0.02,0.05
C,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.04,0.01,0.02
Spinozas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gerda,0,0,0,0,29,0.44,128,0.48,29,0.44,0.27,0.59,0.14,0.34
Almas,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
corresponderer,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
Ach,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Victor Bruun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Henrik Bunsen,0,0,0,0,5,0.06,5,0.02,5,0.06,0.02,0.04,0.01,0.02
Marcus Brutus,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
Henriks,0,0,0,0,3,0.03,3,0.01,3,0.03,0.03,0.07,0.01,0.02
hans v. Dyck-Hat,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stauff,0,0,0,0,12,0.17,29,0.11,12,0.17,0.16,0.35,0.04,0.1
Viktor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Victor,0,0,0,0,19,0.28,71,0.27,19,0.28,0.23,0.5,0.06,0.15
Henrik,0,0,0,0,23,0.34,110,0.41,23,0.34,0.24,0.52,0.09,0.22
Max,0,0,0,0,65,1.0,265,1.0,65,1.0,0.46,1.0,0.41,1.0
