source,target,type,weight
haur,son,Undirected,1
Bianca,Marquicns,Undirected,2
Bianca,Mama,Undirected,1
Camille Desmoulins,Robespierre,Undirected,1
Bravo,Marquis Villemont,Undirected,1
Bravo,Marquien,Undirected,1
Marquien,dein,Undirected,1
Villemont,loe,Undirected,1
Brutus,Robespierre,Undirected,1
Brutus,Cassius,Undirected,3
Cassius,Charles Dampierer,Undirected,1
Guds,Marquien,Undirected,1
Heloise,Marquien,Undirected,1
Blanca,Marquisen,Undirected,5
Gud,Heloise,Undirected,1
Gud,Marquisen,Undirected,3
Bravo,loe,Undirected,1
Brutus,loe,Undirected,1
Marquisen,Richard,Undirected,3
Heloise,hnn,Undirected,1
Heloise,Villemont,Undirected,1
,Cassius,Undirected,1
Brutus,Marquise,Undirected,2
Brutus,Jean Bapfiste,Undirected,1
Brutus,Simon,Undirected,8
Brutus,Marquis Villemont,Undirected,1
Simon,loe,Undirected,1
Brutus,Karl,Undirected,1
Brutus løi,Marquien,Undirected,1
Marquien,Simon,Undirected,1
Brutus,Gud,Undirected,1
Gud,Hr. Marquis,Undirected,1
Hr. Marquis,Simon,Undirected,1
Patriot Brutus,Simon,Undirected,1
Brutus,Patriot Brutus,Undirected,1
Brutus,nn,Undirected,1
Delmont,Marquise Villemont,Undirected,1
Blanca,Heloise,Undirected,1
Marquisen itide,Offre,Undirected,1
Lille Blanca,Offre,Undirected,1
Gud,Lille Blanca,Undirected,1
Marquise Villemont,hnn,Undirected,1
Marquisen,sine Kjæres,Undirected,1
Marquise Villemont,renesfe,Undirected,1
Robespierre,renesfe,Undirected,1
Marat,Robespierre,Undirected,1
Ino,Marquisen,Undirected,5
Bertrand,Mr. Clayrmont,Undirected,2
Bertrand,anen,Undirected,1
Mr. Clayrmont,anen,Undirected,1
Blanca,Gud,Undirected,10
Blanca,Clayrmont,Undirected,2
Bertrand,Blanca,Undirected,6
Clayrmont,Gud,Undirected,2
Bertrand,Mr. Luigi Barbados,Undirected,1
Luigi Barbados,sfak,Undirected,1
Don Cæsor Barbados,Signor Luigi Barbados,Undirected,1
Luige Barbados,Signor Barbados,Undirected,1
Tom“,dein,Undirected,1
Ruigi,Tom,Undirected,14
Luigi,Signor Barbados,Undirected,2
Zuna,nei,Undirected,1
Massa,Zuna,Undirected,10
Panther,Zuna,Undirected,3
Massa Ruigis Pidsk,Zuna,Undirected,2
Zuna,fortrak,Undirected,1
Znna,Znna ile,Undirected,1
Massa Luigi,Znna ile,Undirected,1
Massa Luigi,Massa Ruigi,Undirected,1
Massa Ruigi,Zuna,Undirected,2
Ruigi,Zuna,Undirected,9
Massas Pidst,Zuna,Undirected,1
Mr. Clayrmont,Zuna,Undirected,1
Luigi,Rnigi,Undirected,1
Massa Luigi,Zuna,Undirected,1
Massa,Ruigi,Undirected,1
Briennes,Zuna,Undirected,1
Briennes,Gud,Undirected,1
Bertrand,Zuna,Undirected,14
Luigi,loe,Undirected,1
Ruigi,nien,Undirected,1
Mr. Harrington,Tom“,Undirected,1
Harrington,Tom,Undirected,7
Air.,Harrington,Undirected,2
Harrington,heida,Undirected,1
Miss Blanca Clayrmont,Tom,Undirected,1
Luigi Barbados,Tom,Undirected,2
Bertrand,loe Ruigi,Undirected,1
Luigi,Ruigi,Undirected,5
Signor,Tom,Undirected,2
Nøde,Tom,Undirected,5
Harrington,Signor,Undirected,2
Harrington,Karl,Undirected,1
Signor Luigi Barbados,Tom,Undirected,1
Luigi Barbados,Mr. James Turnbill,Undirected,1
Tom,Turnbill,Undirected,1
Luigi,Tom,Undirected,9
Mr. Turnbill,Tom,Undirected,1
Mr. Turnbill,frenr,Undirected,1
Tom,iland,Undirected,2
Sennor,Tom,Undirected,1
Signor Luigi,Tom,Undirected,2
Luigi,Toni loe,Undirected,1
Kapitain,Tom,Undirected,1
Engelsf,Tom,Undirected,1
Karl,Tom,Undirected,1
Berkrands,Blanca,Undirected,1
Brienne,Wkke,Undirected,1
Blanca,Brienne,Undirected,12
Bertrand,Brienne,Undirected,11
Bertrand,Luigi,Undirected,1
Brienne,Tomahavken,Undirected,1
Bertrand,hani,Undirected,1
Blanca,Zuna,Undirected,7
Bertrand,Hesf,Undirected,1
Blanca,Hesf,Undirected,1
Blanca,Znna,Undirected,2
Brienne,Zuna,Undirected,5
Mitjel Blane,Tom,Undirected,1
Brienne,Daggry,Undirected,1
Bianca,Zuna,Undirected,1
Brienne,Hain,Undirected,1
Jones Smith,Ponpon,Undirected,3
Brienne,Jones Smith,Undirected,6
Brienne,høilys,Undirected,1
Blanca,Prairi,Undirected,3
Jones,Ponpon,Undirected,8
Blanca,Jones,Undirected,3
Brienne,Jones,Undirected,13
Ponpon,rasf,Undirected,1
Brienne,rasf,Undirected,1
Bravo,loe Jones,Undirected,1
Bertrand,Jones Smith,Undirected,1
Blanca,Jones Smith,Undirected,1
Bertrand nær,Zuna,Undirected,1
Bertrand,Jones,Undirected,1
Ponpon,Zuna,Undirected,1
Hesfene,Jones,Undirected,1
Hesfene,Panther,Undirected,1
Brienne,Tom,Undirected,6
Jones,Tom,Undirected,5
Maria 6a Cloria,Ruigi,Undirected,1
Luigi Barbados,Maria 6a Cloria,Undirected,1
Luigi Barbados,Ruigi,Undirected,4
Luigi,Zuna,Undirected,3
