source,target,timestamp
Apollos,Lord Byron,1
Helena,Phryne,2
Elisabeth Stilling,Straahat,3
Apolio,Lord Byron,4
Elisabeth,Peter,5
Elisabeth,Hammers,10
Hammer,Hammers,10
Elisabeth,Hammer,10
Elisabeth,Hammer,10
Hammer,L’,10
L’,Odyssevs,10
Elisabeth,Hammer,11
Elisabeth,Hammer,12
Elisabeth,Hammer,12
Elisabeth,Hammer,12
Byrons,Elisabeth,15
Byrons,Puschkin,15
Elisabeth,Puschkin,15
Elisabeth,Hammer,15
Elisabeth,Hammer,15
Kein Mensch,nur Einer,17
Elisabeth,Sofie,24
Elisabeth,Sofie,24
Hammer,Sofie,25
Elisabeth,Hammer,25
Benedikt Rau,Wilhelm Schadow,26
Benedikt,Wilhelm Schadow,26
Sympathi,Theodor Hillebrandt,27
Marius,Theodor Hillebrandt,27
Horace Vernets,Marius,27
Benedikt,Faders,33
Faders,Hammer,33
Benedikt,frede,34
Michel Angelo,Vasari,36
Brunellecso,Michel Angelo,36
Brunellecso,Mantegna,36
Elisabeth,Sofie,38
Hammer,Sofie,38
Hammer,Hr. Rau,38
Benedikt Rau,Sofie,41
Benedikt Rau,Sofie,41
Elisabeth,Sofie,42
Benedikt,Elisabeth,45
Benedikt,Elisabeth,51
Elisabeth,Hammer,62
Benedikt,Elisabeth,66
Benedikt,Elisabeth,66
Elisabeth,Eremit,71
Benedikt,Elisabeth,73
Benedikt,Elisabeth,76
Benedikt,Elisabeth,76
Benedikt,Elisabeth,77
Elisabeth,Hammer,79
Elisabeth,Sofie,80
Benedikt,Sofie,80
Benedikt,Elisabeth,80
Benedikt,Elisabeth,81
Benedikt,Elisabeth,81
Benedikt,Elisabeth,84
Benedikt,Elisabeth,94
Benedikt,Elisabeth,105
Benedikt,Elisabeth,107
Benedikt,Elisabeth,108
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,109
Benedikt,Elisabeth,110
Benedikt,Elisabeth,111
. Rembrandt,Elisabeth,111
. Rembrandt,Michel Angelo,111
Benedikt,Michel Angelo,111
Benedikt,Elisabeth,120
Benedikt,Elisabeth,125
Benedikt,Elisabeth,130
Benedikt,Elisabeth,133
Benedikt,Elisabeth,140
Benedikt,Elisabeth,144
Benedikt,Elisabeth,146
Elisabeth,Julie,146
Benedikt,Elisabeth,148
Benedikt,Elisabeth,149
Benedikt,Elisabeth,149
Benedikt,Elisabeth,152
Benedikt,Elisabeth,153
Benedikt,Gratie,154
Benedikt,Caros,156
Caro,Caros,156
Benedikt,Caro,156
Benedikt,Caro,156
Benedikt,Caro,156
Benedikt,Pans,158
Benedikt,Elisabeth,159
Benedikt,Elisabeth,159
Benedikt,Elisabeth,161
Benedikt,Gondolens,161
Benedikt,Elisabeth,162
Benedikt,Elisabeth,162
Benedikt,Elisabeth,162
Benedikt,Elisabeth,163
Benedikt,Elisabeth,163
Benedikt,Elisabeth,164
Benedikt,Elisabeth,166
Benedikt,Elisabeth,167
Elisabeth,Hammer,173
Elisabeth,Hammer,173
Hammer,sia,173
Elisabeth,sia,173
Elisabeth,Hammer,177
Benedikt,Elisabeth,177
Benedikt,Hammer,178
Benedikt,Elisabeth,191
Elisabeth,Elisabeth Benedikt,192
Benedikt,Elisabeth,194
Benedikt,Elisabeth,199
Elisabeth,Hammer,199
Benedikt,Hammer,199
Benedikt,Hammer,201
Benedikt,Hammer,202
Benedikt,Hammer,202
Benedikt,t,202
Elisabeth,Hammer,205
Elisabeth,Hammer,205
Elisabeth,Hammer,205
Benedikt,Elisabeth,205
Benedikt,Hammer,212
Benedikt,Hammer,212
Benedikt,Elisabeth,213
Benedikt,Elisabeth,214
Benedikt,Heine,215
Heine,Robert Franz,215
Benedikt,Helene,232
Benedikt,Gud,234
Julie,Romeo,239
Benedikt,Elisabeth,248
Rolf,Winther,259
Rolf,Stillings,259
Elisabeth,Stillings,259
Elisabeth,Frøken Stilling,263
Benedikt,Elisabeth,266
Elisabeth,Rolf,267
Elisabeth,Rolf,278
Elisabeth,Rolf,278
Elisabeth,Rolf,278
Elisabeth,Rolf,278
Elisabeth,Rolf,278
Elisabeth,Gertz,289
Rolf,Winther,298
Elisabeth,Rolf,299
Elisabeth,Rolf,305
Elisabeth,Rolf,306
Elisabeth,Rolf,307
Gud,Rolf,307
Rolf,c,308
Elisabeth,Rolf,311
Elisabeth,Rolf,311
Elisabeth,Rolf,314
Elisabeth,Rolf,320
Elisabeth,Rolf,322
Elisabeth,Rolf,326
Elisabeth,Rolf,326
Elisabeth,Gertz,328
Elisabeth,Rolf,330
Elisabeth,Rolf,330
Elisabeth,Rolf,331
Elisabeth,Rolf,331
Elisabeth,Rolf,335
Frøken Stilling,Gertz,336
Elisabeth,Rolf,337
Elisabeth,Rolf,338
Elisabeth,Rolf,341
Elisabeth,Rolf,342
Elisabeth,Rolf,343
