Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Apollos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lord Byron,0,0,0,0,2,0.05,2,0.01,2,0.05,0.0,0.0,0.0,0.0
Helena,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Phryne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Elisabeth Stilling,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Straahat,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Apolio,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Elisabeth,0,0,0,0,16,0.75,155,1.0,16,0.75,0.42,0.82,0.27,0.75
Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Hammers,0,0,0,0,2,0.05,2,0.01,2,0.05,0.11,0.22,0.0,0.0
Hammer,0,0,0,0,8,0.35,33,0.21,8,0.35,0.27,0.53,0.09,0.25
L’,0,0,0,0,2,0.05,2,0.01,2,0.05,0.05,0.1,0.03,0.08
Odyssevs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Byrons,0,0,0,0,2,0.05,2,0.01,2,0.05,0.08,0.16,0.0,0.0
Puschkin,0,0,0,0,2,0.05,2,0.01,2,0.05,0.08,0.16,0.0,0.0
Kein Mensch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
nur Einer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sofie,0,0,0,0,4,0.15,10,0.06,4,0.15,0.22,0.43,0.01,0.03
Benedikt Rau,0,0,0,0,4,0.15,5,0.03,4,0.15,0.15,0.29,0.01,0.03
Wilhelm Schadow,0,0,0,0,2,0.05,2,0.01,2,0.05,0.11,0.22,0.0,0.0
Benedikt,0,0,0,0,21,1.0,116,0.75,21,1.0,0.51,1.0,0.36,1.0
Sympathi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Theodor Hillebrandt,0,0,0,0,2,0.05,2,0.01,2,0.05,0.0,0.0,0.0,0.0
Marius,0,0,0,0,2,0.05,2,0.01,2,0.05,0.0,0.0,0.0,0.0
Horace Vernets,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Faders,0,0,0,0,2,0.05,2,0.01,2,0.05,0.13,0.25,0.0,0.0
frede,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.16,0.0,0.0
Michel Angelo,0,0,0,0,4,0.15,4,0.02,4,0.15,0.11,0.22,0.08,0.22
Vasari,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Brunellecso,0,0,0,0,2,0.05,2,0.01,2,0.05,0.02,0.04,0.03,0.08
Mantegna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Rau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Eremit,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
. Rembrandt,0,0,0,0,2,0.05,2,0.01,2,0.05,0.09,0.18,0.01,0.03
Julie,0,0,0,0,2,0.05,2,0.01,2,0.05,0.07,0.14,0.03,0.08
Gratie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.16,0.0,0.0
Caros,0,0,0,0,2,0.05,2,0.01,2,0.05,0.1,0.2,0.0,0.0
Caro,0,0,0,0,2,0.05,4,0.02,2,0.05,0.1,0.2,0.0,0.0
Pans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.16,0.0,0.0
