source,target,type,weight
Eriks,Oskar,Undirected,1
Erik felv,Ols,Undirected,1
Erik,Gud,Undirected,7
Oskar,Western,Undirected,5
Ols,Oskar,Undirected,43
Erik,Oskar sfal,Undirected,1
Ols,Western,Undirected,5
Kaardcn,Oskar,Undirected,1
Greve,Gud,Undirected,2
Greve,Oskar,Undirected,1
Greve,Kunz,Undirected,1
Erik,Kunz,Undirected,1
Grev Paul,Ncveu,Undirected,1
Hr. Greve,Paul,Undirected,1
Oskar,Paul,Undirected,17
Ols,Ulrikkas,Undirected,1
Ojnc,Ols,Undirected,1
Ojnc,Oskar,Undirected,1
J,Oskar,Undirected,1
Paul,Tornhill,Undirected,9
Marie,soer,Undirected,1
Kunz,Tornhill,Undirected,1
Lconores,Marie,Undirected,1
Leonore,figee,Undirected,1
Marie,Tornhill,Undirected,3
Gud,Tornhill,Undirected,2
Marie,Paul,Undirected,4
Oskar,Ulrikkas,Undirected,1
Oskar,Wanda,Undirected,17
Erik,Ulrikka,Undirected,80
Tornhill,Wanda,Undirected,6
Johannes Ols,Tornhill,Undirected,1
Leonore Kingsried,Tornhill,Undirected,1
Marie,Ols,Undirected,9
Grev Gustavs,Leonore,Undirected,1
Marie,Oskar,Undirected,14
Leonore,Wanda,Undirected,1
Grev Tornhills,Leonore,Undirected,1
Gabriel,Greve,Undirected,1
Gabriel,Ieg,Undirected,1
Eden,Ieg,Undirected,1
Erik Swentburg,Marie Stux,Undirected,1
Marie Stux,s,Undirected,1
Jndblanden,Oskar,Undirected,1
Marie,Wanda,Undirected,2
Oskar,Takl,Undirected,1
Ols,Takl,Undirected,1
Erik,Paul,Undirected,3
Erik,Tornhill,Undirected,33
Gabriel,Ols,Undirected,2
Gabriel,Oskar,Undirected,1
Clients,Oskar,Undirected,1
Clients,Ols,Undirected,1
,Ols,Undirected,2
Oskar,ncppe,Undirected,1
Ols,ncppe,Undirected,1
Erik,Oskar,Undirected,95
Oskar,høst,Undirected,1
Paul,Wanda,Undirected,4
Gud,ester,Undirected,1
Grevinde Tornhill,Oskar,Undirected,1
Marie,vaa,Undirected,1
Erik,Marie,Undirected,5
Støi,Ulrikka,Undirected,1
Ols,bles,Undirected,1
Marie,Ulrikka,Undirected,8
Johannes Nepomuk Ols,Tornhill,Undirected,1
,Marie,Undirected,1
Marie,Menederske,Undirected,1
,Gud,Undirected,1
Gud,Marie,Undirected,1
Ols,hendeL,Undirected,1
Ols,grk,Undirected,1
grk,tu,Undirected,1
Erik,Orloff,Undirected,1
Katharina,Tornhill,Undirected,1
Erik,Onskc,Undirected,1
Erik,Grev Tornhill,Undirected,1
Erik,Katharina,Undirected,1
Grev Tornhill,Katharina,Undirected,1
Erik,cerbodig,Undirected,1
Tvrnhill,ban,Undirected,1
Erik,Rybing,Undirected,1
Erik,Lafleur,Undirected,7
Lafleur,Ulrikka,Undirected,17
