source,target,timestamp
Frands,lian,4
Frands,lian,4
Frands,Knud,6
Frands,Tapper,6
Aabys,Tapper,7
Aabys,Aare,7
Aare,Tapper,7
Frands Pingers,Tapper,7
Frands Pingers,lian,7
Aaen,Knud Vinge,9
Knud,Sophie Fenger,12
Assessor Fenger,Knud,12
Gud,Sophie,15
Amalie,Knud,17
Knud,Sophie,19
Amalie,Sophie,19
Aaen,Amalie,19
Amalie,Paulsen,25
Baron Redtz,lian,31
Amalie,Sophie,32
Knud,Sophie,33
Knud,Sophie,33
Amalie,Sophie,35
Bettelmann,Edelmann,36
Bettelmann,Ramse,36
Ramse,Sophie,36
Amalie,Sophie,36
Knud,Sophie,37
Amalie,Sophie,37
Paulsen,Sophie,39
Knud,Sophie,39
Amalie,Knud,39
Amalie,Knud,39
Knud,Sophie,39
Amalie,Sophie,40
Frands,Kirsten,45
Frands,Kirsten,45
Frands,Gud,45
Frands,Gud,45
Frands,Kirsten,45
Frands,Tapper,47
Andersen,ded,51
Søren,Søren Træskomand,52
Søren,lian,53
Peer Andersen,lian,53
Frands,Tapper,54
Tapper,lian,55
Frands,ded,58
Frands,Mutter,62
Mutter,Tapper,66
Søren,Tapper,69
Frands,ded,72
Tapper,lian,73
Søren,lian,74
Søren,age,74
Søren Træskomand,store Peer Andersen,75
Hegel,Karl Vinge,76
Hegel,lian,76
Fenger,lian,76
Birgitte,Fenger,76
Birgitte,Knud,76
Sigurd Fofnersbane,Sigurds,78
Brøchners,lian,79
Brøchners,Strausz,79
Amalie Koch,Strausz,79
Amalie Koch,Fenger,79
Fenger,Sophie Fenger,79
Sophie Fenger,Vinge,79
Gud,Vinge,79
Gud,Knud,79
Amalie,Knud,79
Amalie,Frands,79
Frands,Vinge,79
August,Branner,80
Branner,Candidat.,80
August,Branner,84
Branner,tonia,86
Cato,quae alteri saeculo prosini,87
Cato,Paulsen,87
Knud,Paulsen,87
Amalie,Paulsen,88
Paulsen,gracieust,88
Knud,gracieust,88
Branner,Knud,88
Branner,Sophie Fenger,88
Paulsen,Sophie Fenger,88
Branner,Paulsen,89
Paulsen,Sophie,89
Sophie,Vinge,89
Branner,Vinge,89
Branner,Paulsen,89
Paulsen,Sophie,89
Amalie,Sophie,91
Amalie,Knud,91
August,Knud,93
Christne,lian,95
Amalie,Knud,105
Frøken Fenger,Paulsen,110
Amalie,Theologens,112
Amalie,Knud,112
Amalie,Gud,115
Gud,Sophie,115
Sophie,liun,115
Knud,liun,115
Branner,Knud Amalie,120
Gud,Paulsen,122
Gud,Sophie,122
Horats,Qvintus,125
Horatius Flaccus,Qvintus,125
Frøken Fenger,Horatius Flaccus,125
Frøken Fenger,Kejser Augusts,125
Branner,Kejser Augusts,125
Branner,Gaasefj,125
Gaasefj,edren,125
Vinge,edren,125
Pastor Vinge,Vinge,125
Hakon Jarl,Pastor Vinge,125
Hakon Jarl,lian,125
Gaasefj,lian,125
Gaasefj,edren,125
Vinge,edren,125
Branner,Knud,128
Branner,Knud,131
Gud,Knud,134
Gitte,Knud,135
Gitte,Karl,135
Amalie,Gitte,136
Gaasefj,edren,137
Christen,lian,141
Knud,lian,141
Branner,Knud,142
Amalie,Knud,143
Branner,Frøken Kochs,144
Frøken Fenger,Frøken Kochs,144
Frøken Fenger,Paulsen,144
Branner,Herr Branner,145
Branner,Herr Branner,145
Amalie Koch,Knud,147
Examinators,Paulsen,148
Examinators,Sophie Fenger,148
Aarestrups,Amalie,150
Paulsen,Sophie Fenger,151
Knud Vinge,Sophie Fenger,151
Amalie Koch,Knud Vinge,151
Branner,Paulsen,153
Knud,Paulsen,153
Paulsen,Sophie Fenger,154
Amalie,Paulsen,154
Amalie,Knud,154
Knud,liam,154
Amalie,liam,154
Amalie,Paulsen,154
Paulsen,Sophie,154
Branner,Sophie,154
Branner,Vinge,154
Paulsen,Vinge,154
Frejas,Paulsen,154
Frejas,Knud og,154
Amalie,Knud og,154
Amalie,Paulsen,155
Paulsen,Sophie,155
Amalie,Sophie,155
Amalie,Knud,156
Amalie,Knud,157
Knud,Sophaen,157
Sophaen,Sophie Fenger,157
Paulsen,Sophie Fenger,157
Branner,Sophie,158
Branner,Sophie,158
Amalie,Sophie,158
Amalie,Knud,158
Paulsen,Sophie,159
Branner,Paulsen,159
Amalie,Knud,160
Amalie,Knud,161
Amalie,Knud,162
Frøken Fenger,Paulsen,170
Frøken Fenger,Jupiter Pluvius,170
Branner,Jupiter Pluvius,170
Branner,Frands,172
Branner,Gud,181
Branner,Gud,184
Branner,Gud,186
Ded,ded,187
Ded,ded,187
Branner,Gud,189
Branner,lian,191
Branner,liam,191
Søren,liam,191
Branner,Paulus,194
Gud,Paulus,194
Gud,Oxer,194
Oxer,Paulus,194
Knud,Paulus,194
Byron,Knud,194
Byron,Shelley,194
Pauli,Paulus,198
Branner,Paulsen,204
Branner,Sophie Fenger,204
Glands,Sophie Fenger,204
Knud,folen Branders,208
Branner,folen Branders,208
Branner,Paulsen,215
Branner,Paulsen,216
Knud,Paulsen,216
Branner,Knud,216
Branner,Paulsen,216
Amalie,Sophie,217
Knud,Sophie,217
Amalie Koch,Jesaja,218
Amalie Koch,Sophie Fenger,218
Amalie,Knud,220
Knud,lian,222
Amalie,Knud,224
Amalie,Knud,228
Amalie,lian,228
Amalie,lian,228
Knud,Vinge,229
Amalie,Knud,231
Alfred Kocli,Koch,233
Berner Oberland —,Koch,233
Berner Oberland —,Knud Vinge,233
Grosserer Kochs,Knud Vinge,233
Grosserer Kochs,Koch,233
Herr Kochs,Knud,234
Athene,Herr Kochs,234
Athene,Herr Koch,234
Herr Koch,Koch,234
Koch,liar,234
liar,lier,234
Koch,lier,234
Herr Koch,Konewka,235
Konewka,lian,235
Knud,lian,235
Knud,Paulsen,235
Paulsen,nascetur ridiculus,235
Herr Koch,Hobbes,237
Amalie,Theodor,242
Amalie,Bob,244
Amalie,Theodor,246
Amalie,Knud Vinge,246
Amalie,Gud,247
Amalie,Theodor,248
Cadetten,Herr Koch,253
Herr Koch,Knud Vinge,253
Knud Vinge,Theodor,253
Herr Koch,Theodor,255
Gud,Theodor,256
Herr Koch,Theodor,256
Herr Koch,Pastor- Vinges,256
Herr Koch,kjære Marie,264
Herr Koch,høs,264
Herr Koch,høs,264
Gud,Knud,272
Humphreys,Knud,274
Knud,Simoni,275
Frederik den femte,Simoni,278
Simoni,Sopha,279
Knud,Simoni,281
Knud,Simoni,282
Frøken Dinesen,Redtz,286
Frøken Dinesen,Knud,286
Knud,Simoni,291
Aukthor,Jette,295
Herr Tang,Knud,297
Herr Tang,Knud,297
Herr Tang,Knud,297
Amalie,Koch,301
Knud,Marie Koch,305
Amalie,Knud,306
Knud,Vinge,306
Amalie,Vinge,306
Amalie,Knud,306
Amalie,Magnus,307
Herr Koch,Magnus,308
Herr Koch,Magnus Koch,310
Magnus,Magnus Koch,310
Amalie,Magnus Koch,311
Amalie,Knud,311
Louise,Magnus,312
Paulsen,Sophie Fenger,314
Charlotte,Sophie Fenger,314
Charlotte,William,314
Knud converserede,Koch,316
Amalie,Knud converserede,316
Amalie,Paulsen Sophie Fenger,316
Magnus,Paulsen Sophie Fenger,316
Magnus,Theodor,316
Amalie,Knud,317
Knud,Koch,317
Koch,Magnus,317
Paulsen,Theodor,318
Magnus,Theodor,318
Knud,Magnus,318
Herr Koch,Magnus,320
Herr Koch,Paulsen,321
Herr Koch,Magnus,325
Herr Koch,Magnus,326
Herr Koch,Magnus,326
Magnus,Theodor,327
Paulsen,Theodor,327
Knud,Koch,328
Fenger,Knud,328
Fenger,Louise Koch,328
Amalie,Louise Koch,328
Amalie,lian,329
Knud Vinge,Simoni,330
Amalie,Annette,336
Amalie,Knud,344
Gud,Paulsen,347
Magnus,Ola vertoner,351
Amalie,Magnus,351
Amalie,Sophie Fenger,351
Simoni,Sophie Fenger,351
Amalie,lian,352
Amalie,Knud,354
lian,livor,356
Knud Vinge,Simoni,359
Redtz,Simoni,359
Kellermann,Knud,364
Johannesberg,Rcdtz,365
Johannesberg,Metternichs,365
Kellermann,Metternichs,365
Knud,Tanhauser,372
Venus,skoggerlo,378
Elisabeths,Venus,380
Christi,Elisabeths,380
Goethe,Knud,385
Goethe,Lord Byron,385
Harem,Lord Byron,385
Gud,Redtz,386
Sopha,elssko,395
Knud,Sopha,395
Gud,Knud,395
Branner,Sophie,396
Sophie,lee,396
Branner,lee,396
Branner,Cathechet,396
Amalie,liris Du,398
Amalie,liun,406
Augusta,Theodor,407
Amalie,Koch,408
Amalie,Sophaen,410
Herr Tang,Knud Vinge,411
Amalie,Theodor,416
Amalie,Magnus,416
Magnus,Sophie Fenger,416
Sophie Fenger,Theodor,416
Frøken Bruun,Theodor,416
Frøken Bruun,Romeo,416
Julie,Romeo,416
Paulsen,Theodor,417
Paulsen,Rosalinder,417
Julie,Rosalinder,417
Julie,Sophie,417
Sophie,consumeres,417
Herr Koch,consumeres,417
Amalie,Herr Koch,417
Amalie,Branner,417
Amalie,Branner,419
Branner,Knud —,419
Karl,Knud,420
Branner,Knud,421
Amalie,Branner,423
Amalie,Knud,423
Branner,Knud,423
Amalie,Knud,425
Branner,Knud,426
Frøken Koch,Gud,427
Branner,Gud,428
Amalie,Branner,428
Amalie,Branner,428
Branner,liun,428
Branner,liun,428
Flan,Sopha,431
Sopha,lian,431
Branner,Gud,432
Amalie,Branner,434
Amalie,Sien,436
Amalie,liendes,436
Schumanns,liendes,436
JHen,Schumanns,436
Knud,Simoni,438
Knud,Simoni,438
Knud,Simoni,438
Branner,Knud,438
Assessor Fenger,liun,439
Assessor Fenger,Branner,439
Amalie,Branner,439
Amalie,Branner,439
Branner,sorn,441
Adam,Branner,441
Adam,Adam Homos,441
Amalie,Herr Koch,442
Amalie,Branner,444
Amalie,Gud,445
Gud,Paulsen,445
August Branner,Paulus,447
Knud,Paulus,447
Gud,Koch,448
Amalie,Koch,448
Gud,Simoni,450
Knud,Simoni,450
Knud,liun,453
Ragazza,Ragazzo,454
Ragazza,Signore,454
Dumph hallender Huf,fern ein rauschender Flusz,456
Mein altes Rosz,Strachwitz,457
Mein altes Rosz,Schumann,457
Schumann,baronesse Redtz,457
Dronning Elisabeths,baronesse Redtz,457
Frøken Dinesen,violette Atlaskes,461
halft,liun,462
Apollo,Knud,470
Apollo,Knud,470
Frøken Dinesen,Knud,471
Amalie,Knud,471
Egekjær,Knud,472
Amalie,Knud,473
Frøken Spands,tom,475
Knud,tom,475
Tdrginev,Torginev,477
Herr Vinge,Knud,478
Anna,Emilie,479
Frøken Spand,Knud,481
Frøken Spand,Knud,481
Herr Vinge,Knud,481
Frits Spand,Knud,482
Amalie,Frøken Dinesen,485
Amalie,Knud,487
Amalie,Knud,487
Agnes,Knud,490
Knud,liendes,502
Branner,Gud,503
Branner,lian,505
lian,liun,505
Branner,Koch,507
Amalie,Branner,507
Aaget,Amalie,507
Branner,Noch,508
Knud,liam,511
Branner,Vinge,514
Branner,Vinge,514
Agnes,Frederik,516
livis,senes,522
Baas,livis,522
Baas,Byron,522
Byron,Jeanne d,522
Jacob,Jeanne d,522
Groomen,Jacob,522
Knud,livor liun,524
livor liun,sigrid,524
dér,sigrid,524
Altairs,dér,524
Altairs,Amalie,524
Amalie,Knud,524
Amalie,Knud,524
liam,lian,525
Wallensteins,lian,525
Amalie,Branner,532
Amalie,Knud,532
Amalie,Knud,532
Amalie,Knud,532
Knud,Søren Træskomand,532
Hermann,Søren Træskomand,532
Amanda,Hermann,532
Amalie,Knud,533
Branner,Søren,535
Branner,Søren,535
Knud,Søren,538
lian,rejtig,539
Branner,Frands,544
Branner,Frands,544
Frands,Karl,548
Amalie,Branner,549
Branner,Knud,549
Amalie,Knud,552
Birgitte,Knud,552
Birgitte,Knud,552
Amalie,Knud,552
Amalie,Branner,553
Amalie,Branner,557
Branner,Brannerslukkede,557
Knud,Sophie,558
Branner,Knud,559
Bo,Knud,559
Bo,Branner,559
Amalie,lier,561
Amalie,Knud,562
Knud,Redtz,564
liam,liun,565
Knud,liam,565
Knud,lian,565
Pas,lian,565
Knud,Pas,565
Agnes,Knud,565
Knud,Simoni,566
Agnes,Knud,570
Knud,Simoni,571
Knud,Plato,572
Knud,Knud Plato,572
Agnes,Knud,580
Agnes,Knud,580
Agnes,Knud,580
Agnes,Vega,582
Knud,Vega,582
Amalie,Knud,582
Agnes,Amalie,582
Agnes,Vega,583
Agnes,Amalie,585
Amalie,Branner,585
Agnes,Gud,588
Agnes,Amalie,589
Branner,Knud,591
Branner,liam,591
Branner,liam,591
Branner,Simoni,591
Baronen,Knud,592
Knud,Simoni,592
Koch,Simoni,593
Koch,ri,593
Simoni,ri,593
Gud,Simoni,593
Gud,Hys,593
Borggrens,Simoni,594
Knud,Simoni,597
Baronen,Kedtz,600
Baronen,Knud,600
Amalie,Simoni,602
Gud,Simoni,605
Knud,Simoni,608
Amalie,Simoni,609
Knud,Simoni,609
Branner,Knud,612
Amalie,Branner,613
Amalie,liun,613
Knud,liun,613
Agnes,Amalie,614
Knud,Simoni,615
Amalie,Knud,615
Amalie,Knud,616
Knud,Simoni,616
Branner,Sopha,619
Branner,Simoni,619
Simoni,mat,619
Amalie,Branner,620
Branner,Gud,622
Branner,Elias,623
Elias,Jesabel,623
Amalie,Branner,627
Branner,riide,628
Napoleon,Simoni,632
Napoleon,buffa,632
Euterpe,Knud,633
Euterpe,Knud,633
Simoni,Sophaen,634
Knud,lian,635
Knud,lian,635
Frands Simoni,aa,637
Frands Simoni,Simoni,637
Knud,Simoni,640
Knud,Simoni,643
Amalie,Knud,643
Balstads,ir,646
Balstads,liun,646
Johannes den Døbers,Salome,648
Amalie,liun,653
Knud,liun,653
Simoni,sorn,658
Agnes’,Amalie,661
Frøken Jørgensen,Herr,666
Knud Amalie,Simoni,668
Knud,Knud Amalie,668
Amalie,Knud,672
Kjøn,Simoni,673
Knud,Simoni,674
Knud,Simoni,675
Amalie,Knud,675
Knud,Simoni,676
Knud,Simoni,676
Amalie,Simoni,676
Dands,Simoni,677
Amalie,Knud,678
Amalie,Knud,679
Hans,Knud,679
Amalie,Knud,683
Amalie,Knud,689
Amalie,Knud,691
Amalie,Knud,691
Amalie,Knud,691
Amalie,Knud,691
Simoni,Sopha,692
Amalie,Simoni,695
Amalie,Frands Simoni,698
Cæsar,iland,702
Agnes,Amalie,711
Consumatum,Simoni,714
Simoni,Vinge,717
Simoni,liun,721
Knud,Simoni,723
Amalie,lian,727
Simoni,lian,727
Amalie,Simoni,727
Agnes,Knud,729
Agnes,Amalie,734
Heines,Knud,746
Amalie,Simoni,752
Amalie,Simoni,755
Knud,Simoni,755
Agnes,Knud,756
Frøken Dinesen,Knud,756
Agnes,Frøken Dinesen,756
liar,lien,758
Knud Vinge,liar,760
Agnes,Knud Vinge,760
Frøken Dinesen,liendes,761
Knud,liendes,761
Knud,lien,761
Agnes,Knud,763
Agnes,hnn,764
Agnes,wie,765
Pastor Vinge,Tapper,768
Tapper,lian,768
Tapper,lian,768
Olsen,Vinge,769
Byron,Vinge,769
Byron,Cyrus,769
Cyrus,Knud,769
Agnes,Knud,772
Gitte,Vinge,776
Gitte,Knud,776
Goethe,Knud,776
Agnes,Knud,777
Branner,Knud,785
Branner,Knud,787
Branner,Knud,787
Amalie,Knud,787
Amalie,Knud,787
Paulsen,Sophie Fenger,788
Paulsen,Sophie,788
Branner,Knud,789
Branner,Knud,789
Knud,mari,790
Branner,Knud,791
Branner,Knud,791
Branner,Knud,792
Branner,Knud,794
Branner,Knud,794
Branner,Gud,795
Branner,Knud,796
Branner,Knud,797
Amalie,Knud,797
