source,target,type,weight
Clemence,Ingsnue,Undirected,1
Kjørsel,sif,Undirected,1
Danebrog,Kirstine,Undirected,1
elsfede,sidsfe,Undirected,1
Carstens,Cornelius,Undirected,2
Carstens,hnn,Undirected,1
Lizard,sif,Undirected,1
sif,sif Ansigts,Undirected,2
Tangs,sif,Undirected,1
Or. xUil,Philip M. Cornelius,Undirected,1
Carsten kjær,Jkkevcerd,Undirected,1
Tu,hnn,Undirected,1
Carsten,Hr. Cornelius,Undirected,1
Carsten,Kirstine,Undirected,12
Carsten,Emilie Lizard,Undirected,1
Emilie Lizard,Emilies,Undirected,1
Carsten,Emilies,Undirected,1
Carsten,Dr. Cornelius,Undirected,6
Dr. Cornelius,Præsf,Undirected,1
Aaens,Præsf,Undirected,1
Aaens,Carsten,Undirected,1
Carsten,Enkelle,Undirected,2
Carsten,Cornelius,Undirected,26
Cornelius,Emilie Lizard,Undirected,1
Carsten,hansFantasi,Undirected,1
,Dr. Cornelius,Undirected,8
,Christensen,Undirected,1
Christensen,Hammer,Undirected,3
Christensen,Peder Tang,Undirected,3
Christensen,Gud,Undirected,2
Pasfor,Peder Tang,Undirected,1
Peder Tang,paany,Undirected,1
Hans,Karlen,Undirected,4
Pastor Christensens,Peter Vilhelm Hammer,Undirected,1
P. V. Hammer,ester,Undirected,1
Kirstine,Pasfor Christensen,Undirected,1
Kirstine Tang,Pasfor Christensen,Undirected,1
Christensen,Dr. Cornelins,Undirected,1
,Dr. Cornelins,Undirected,2
,Peder Tang,Undirected,1
Kirstine Tang,Peder Tang,Undirected,1
Ester,Kirstine,Undirected,2
Kirstine,Madvigs,Undirected,1
lille Kirstine,oni,Undirected,1
Christensen,lille Kirstine,Undirected,1
Gud,lille Kirstine,Undirected,1
Pastor Christensen,lille Kirstine,Undirected,1
Carsten Tang,xbilos. Cornelius,Undirected,1
Kirstine,xbilos. Cornelius,Undirected,1
Carsten,Cornelins,Undirected,3
Carsten,Gud,Undirected,1
Carsten,Hammer,Undirected,1
Hammer,Kirstine,Undirected,1
Kragemaal,kjæræ,Undirected,1
Christensen,Kragemaal,Undirected,1
Baggesens,lille Kirstine,Undirected,1
Baggesens,Hauch,Undirected,1
Hauch,Øhlenschlægers,Undirected,1
lille Kirstine,Øhlenschlægers,Undirected,1
Carsten“,Kirstine,Undirected,1
Dr. Cornelius,Kirstine,Undirected,2
,Carsten,Undirected,1
Carsten,P. Tang,Undirected,1
Cornelius,Peder Tang,Undirected,6
Aladdin,Carsten,Undirected,1
Cornelius,son,Undirected,1
