source,target,timestamp
Kusken,Lorden,1
Guds,Kusken,1
Alfred,Alvilda,4
Alfred,Alvilda,7
Alfred,Rødm,8
Alfred,Alvilda,10
Alfred,Alvilda,10
Alfred,Alvilda,11
Alfred,Alvilda,13
Alfred,Alvilda,18
Lady Alvilda Brovns,Lorden,29
John,Lady Alvilda,32
Lady Alvilda,Lord Haslington,32
John,Tom,34
Brovns,Kennedy,38
Brovns,Lady Avilda Brovn,38
Lady Avilda Brovn,Lord Hastington,38
Lord Brovns,Lord Hastington,38
Alfred,uo,41
Alfred,Alvilda,44
Iohn,Tom,50
Greven,Tom,50
Alvilda,Greven,51
Alvilda,Haar,58
Alfred,Greven,59
Alvilda,Hastington,61
Alsred,Alvilda,61
Alsred,Præsfen,61
Anetta Tibaldi,Præsfen,61
Alvilda,Hastington,63
Alfred,Hastington,63
Lord,Lord Brovn,64
Alvilda,Lord,64
Alvilda,Hastington,64
Alvilda,Hastington,66
Alvilda,Ellen,66
Alvilda,Ellen,66
Ellen,Greven,67
Alvilda,Greven,70
Alvilda,Greven,76
Hastington,Kennebh,77
Alfred Tibaldi,Greven,82
Alfred,Alvilda,85
Alfred,Gud,86
Ellen,Lord,90
Lady Alvilda,Lord,90
Alfred Tibaldi,Kaptain Holler,91
Alfred,Alvilda,92
Alvilda,Marie Stuart,93
Alfred,Lord Hastington,94
Alfred,Pisfoler,95
John,Tom,101
John,Tom,103
Alfred,John,104
John,Tom,106
Alfred,John,106
Alfred,Grev Hastington,108
Alfred,Tom,112
John,Tom,112
Alvilda,Hastington,114
Alfred,Alvilda,115
Alfred Tibaldi,Jonas,121
Schmidt,ban,122
Alfred,Louise,127
Alfred,Alvilda,128
Alfred,Louise^,129
Alfred,Louise,131
Hastington,Louise,132
Alfred Tibaldi,Lady Marwitz,136
Louise,Marvikz,139
Grev Hastington,Marvikz,139
Alfred,Greven,141
Jago,Schmidt,142
Louise,Schmidt,142
Mylady,Schmidt,143
Alfred,Louise,148
Louise,vik,151
Alfred,vik,151
Alfred,Louise,151
St. Jago,ane,152
Alfred,ane,152
Alfred,Louise,152
Alfred,Gud,153
Alfred,Louise,154
Alfred,oer,162
Alfred,oer,162
Alfred,Louise,165
Alfred,Schmidt,172
Alfred,Schmidt,174
Alfred,Schmidt,179
Alfred,Louise,179
Annette Tibaldis,Hastington,184
Alfred,Fortuna,186
Grev St. Germain,Ludvig den Hellige,187
Ludvig,Ludvig den Hellige,187
Greve,Ludvig,187
Gustav Adolf,Lucrezia Borgia,189
Barbarina,Gustav Adolf,189
Barbarina,Frederik den Store,189
Frederik den Store,Napoleon,189
Napoleon,Talma,189
Alfred,Greven,194
Alfred,Alvilda,196
Kelner,Lady Marwitz,203
Dick,Mylady,208
Dick,Tibaldi,210
Alfred,Louise,211
Alfred Tibaldi,Louise,211
Hr. Tibaldi,Mylady,214
Dick,Hr. Tibaldi,214
Dick,Lady Marvikz,214
Hr. Tibaldi,Mylady,215
Alfred,Louise,216
Dick,Greven,218
Baron Rothschilds,Dick,225
Haslington,Huri,229
Alfred,Louise,230
Alfred,Louise,230
Alfred,Louise,230
Hr. Tibaldi,Mylady,232
Louise,visf,237
Alfred,Louise,240
Louise,St. Germain,240
Alfred,Louise,242
Alfred,Louise,242
Grev St. Germain,Mylady,244
Ludvig,Mylady,244
Hr. Tibaldi,Ludvig,244
Hr. Tibaldi,Mylady,244
Louise,Mylady,244
Alfred,Louise,244
Alfred,ogfaa,244
Mr. Tibaldi,ogfaa,244
Mr. Tibaldi,St. Germain,244
Alfred,St. Germain,244
Alfred,Alvilda,245
Louise,St. Germain,247
Alfred,Louise,247
Dick,Joseph,250
Dick,Joseph,256
Dick,Papagpjen,256
Dick,Joseph,261
Asen,Dick,263
Dick,Rose,263
James Marvikz,Louise Glenarvan,273
James Marvikz,Louise Glenarvan,275
Assislance,Louise Glenarvan,275
Dick,Joseph,278
Dick,Joseph,279
Dick,Lady Louise Marvitz,280
Leres,Rose,284
Juan,Rose,285
Juan,Rose,291
Juan,Rose,292
Juan,Rose,302
Fader,Jack,303
Dick,Fader,303
Alfred,Juan,314
Alfred,Juan Lopez,315
Dick,Juan,316
Dick,Gavtyven,316
Dick,Juan,318
Alfred Tibaldi,Juan,318
Joseph,Lopez,323
Dick,Juan,324
Dick,Juan,324
Joseph,Lopez,325
Dick,Lopez,325
Halunk,Juan,326
Alfred,Dick,327
Alfred,Juan,328
Alfred,Juan,328
Alfred,Juan,329
Juan,Louise,332
Alfred,Juan,333
Alfred,Juan,334
Alfred,Louise,334
Louise,Rose,334
Alfred,Juan,336
Alfred,Arne,336
Alfred,Louise,338
Alfred,Juan,338
Fernando,Juan,339
Fernando,Lopez,339
Fernando,Tibaldi,340
Grev St. Germain,Sennor Juan Lopez,344
Alfred,Lopez,349
Alfred,Juan,350
Hr. Greve,Lopez,352
Alfred Tibaldi,St. Germain,353
Greven,Lopez,354
Rose,Sennor Lopez,355
Juan,Rose,356
Juan,Rose,356
Rose,Tibaldi,357
Juan,Rose,357
Alfred Tibaldi,Juan,357
Greven,Lopez,358
Alfred,Greven,358
Sennor Lopez,St. Germain,360
Sennor Lopez,St. Germain,360
Juan,St. Germain,360
Henry Blaye,Mairen,361
Grev Hastington,Rose Blanche Huot,363
Grev Hastington,Rose Huot,363
Henry Blaye,Rose Huot,363
Greve,Rose,365
Juan,Rose,368
Juan,St. Germain,370
Alfred,Juan,370
Alfred,paany,370
Juan,St. Germain,371
Alfred,Sennor Lopez,372
Alfred,Juan,373
Alfred,Sennor Juan,375
Bresche,Greven,379
Alfred,Rose,382
Alfred,Juan,384
Alvilda,Louise,385
Alfred,Louise,389
