Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Excellensens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ludvig,0,0,0,0,6,0.06,17,0.04,6,0.06,0.04,0.07,0.01,0.02
Ludvig Høg,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.0,0.0
Høg,0,0,0,0,23,0.27,102,0.23,23,0.27,0.24,0.41,0.09,0.2
Stella,0,0,0,0,24,0.28,167,0.37,24,0.28,0.19,0.33,0.11,0.24
Excellensen,0,0,0,0,3,0.02,3,0.0,3,0.02,0.02,0.03,0.01,0.02
Gud,0,0,0,0,10,0.11,22,0.05,10,0.11,0.14,0.24,0.03,0.07
Dr. Hermansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Julie,0,0,0,0,3,0.02,3,0.0,3,0.02,0.02,0.03,0.01,0.02
Nina,0,0,0,0,27,0.31,249,0.55,27,0.31,0.28,0.48,0.07,0.16
William,0,0,0,0,84,1.0,448,1.0,84,1.0,0.58,1.0,0.45,1.0
Aage,0,0,0,0,4,0.04,9,0.02,4,0.04,0.06,0.1,0.01,0.02
H,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Fysikus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Eugenie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Krinoline,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.01,0.02
Dronning Isabella,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Marguerites,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.05,0.0,0.0
Berg,0,0,0,0,12,0.13,35,0.08,12,0.13,0.15,0.26,0.03,0.07
Hochheimer,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
blaa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tran,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Malthus,0,0,0,0,2,0.01,3,0.0,2,0.01,0.03,0.05,0.0,0.0
Aspasia,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.01,0.02
Perikles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kronprindsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Nina »,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ane,0,0,0,0,2,0.01,3,0.0,2,0.01,0.08,0.14,0.0,0.0
Prindsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Balslev,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Luthers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Artium,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rektors,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Harriet,0,0,0,0,3,0.02,4,0.01,3,0.02,0.09,0.16,0.0,0.0
Adolf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Øehlenschlæger,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.09,0.0,0.0
Moer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Mynsters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Cæsar de Bazan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Michael Wiehes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.01,0.02
Hakon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dina,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Romeo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Boleros,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Valsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Willam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gudens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Proverbet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Sofie,0,0,0,0,8,0.08,73,0.16,8,0.08,0.16,0.28,0.0,0.0
,0,0,0,0,3,0.02,3,0.0,3,0.02,0.09,0.16,0.0,0.0
Jensen,0,0,0,0,3,0.02,7,0.01,3,0.02,0.08,0.14,0.0,0.0
H.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Mo’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Mo,0,0,0,0,3,0.02,5,0.01,3,0.02,0.1,0.17,0.0,0.0
Tylis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Hr. Berg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Graad,0,0,0,0,2,0.01,2,0.0,2,0.01,0.08,0.14,0.0,0.0
Madam Madsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Bresche,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Ewalds,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
