source,target,timestamp
Bartholine,Lyhne,9
Bartholine,Lyhne,9
Bartholine,Niels,10
Lyhne,Theori,11
Lyhne,Theori,11
Niels,Prinds,19
Kong Valdemar,Tove,20
Niels,Vaulunder,21
Henrik Magnard,Vaulunder,21
Henrik Magnard,Niels Kiim,21
Niels Kiim,Peter Simple,21
Odysseus,Peter Simple,21
Edele Lyhnes,Nielses,22
Horizont,Hr. Bigums,24
Gud,Svanens,25
Etatsraad Neergaard,Lyhne,27
Edele,Etatsraad Neergaard,27
Edele,Edele Lyhnes,27
Carthago,Ninive,29
Axelstad,Carthago,29
Lyhne,Niels,32
Edele,Niels,32
Edele,Niels,32
Edele,Rosenessentsen,40
Niels,Rosenessentsen,40
Edele,Niels,42
Edele,Hr. Bigum,45
Beatrice,Edele,45
Beatrice,Laura,45
Laura,Viktoria Colonna,45
Edele,Viktoria Colonna,45
Alcibiadeses,Don Juans,46
Bigum,Frøken Lyhne,55
F'røken Lyhne,Frøken Lyhne,55
Frøken Lyhne,Prometheus,56
Edele,Hr. Bigum,58
Edele,Lyhne,63
Edele,Lyhne,63
Lyhne,Niels,63
Gud,Niels Lyhne,65
Edele,Gud,66
Adam,Gud,66
Adam,Eva,66
Eva,Gud,66
Augusti,Gud,66
Augusti,Golgatha,66
Gud,Jesus,68
Edele,Gud,68
Edele,Gud,68
Gud,hami,68
Edele,Hr. Bigum,74
Hr. Bigum,Titans,74
Edele,Lyhne,75
Erik,Lyhne,75
Erik,Niels og,75
Niels og,Petersen,75
Erik,Lyhne,76
Bendrejer,Erik,76
Bendrejer,Erik,76
Erik,Guido Reni,76
Guido Reni,Rafael,76
Andrea del Sarto,Rafael,76
Andrea del Sarto,Luini,76
Luini,Tintoretto,76
Salvator Rosa,Tintoretto,76
Carravaggio,Salvator Rosa,76
Frithiofs,Nielses,77
Erik,Frithiofs,77
Erik,Niels,77
Frithiof,Niels,77
Frithiof,Niels,77
Erik,Niels,77
Erik,Renegats,77
Niels,Renegats,77
Erik,Niels,77
Erik,Lyhne,78
Lyhne,Mikkelsen,78
Erik,Mikkelsen,79
Erik,Niels,80
Erik,Niels,80
Erik yar,Niels,80
Erik yar,Spenglers,80
Lassen,Niels,81
Erik,Niels,87
Erik,Frithiof,99
Erik,Frithiof,99
Erik,Niels,100
Erik,Niels,100
.Frithiof,Niels,100
Erik,Frithiof,101
Frithiof,Niels,101
Erik,Niels,101
Hr. Bigum,Niels,102
Frithiof,Hr. Bigum,102
Frithiof Petersen,Lyhne,105
Erik,Mikkelsen,106
Hr. Refstrup,Mikkelsen,111
Mikkelsen,Trafifelini,111
Frithiof,Trafifelini,111
Erik,Frithiof,115
Erik,Niels,116
Gud,Niels,120
Erik,Frithiof,122
Erik,Frithiof,122
Helge,Øehlenschlagers,125
Helge,Øehlenschlagers,125
Helge,Konning Helge,125
Helge,Tangkjær,126
Erik,Niels,127
Erik,Niels,127
Frithiof,Niels,127
Erik Refstrup,Frithiof,127
Niels,Niels Lyhne,130
,Niels,130
Niels,Niels Lyhne,151
Niels,Niels Lyhne,151
Nicolaus,Niels Lyhne,155
Nicolaus,Niels,155
Frithiof,berg,157
Niels,Niels Lyhne,160
Erik,Niels Lyhne,160
Erik,Niels,160
Erik,Niels,160
Erik,Niels,160
Erik,Niels,160
Erik,Niels,160
Erik,Niels,160
Niels,Nielses,161
Rousseaus Heloise,Schiller,165
Schiller,Staffeldt,165
Evald,Staffeldt,165
Evald,Novalis,165
Kobbere,Novalis,165
Jens Forvalter,Niels,168
Duysen,Jens Forvalter,168
Gud,Niels,173
Gud,Niels,173
Clarens,Rousseaus,176
Clarens,Rousseaus,176
Clarens,Julies,176
Clarens,Julies,176
Clarens,Niels,177
Erik,Niels Lyhne,179
bornert,zigeuneragtig,180
Niels,zigeuneragtig,180
Hardenskjold,Niels,187
Niels,Or,188
Hjerrild,Niels,205
Hjerrild,Niels,205
Baggesen,Hjerrild,205
Baggesen,Oehlenschlæger,205
Hjerrild,Oehlenschlæger,205
Hjerrild,Niels,205
Hjerrild,Hr. Lyhne,211
Hjerrild,Niels,215
Gud,Niels Lyhne,216
Hjerrild,Niels,217
Erik Refstrupsk,Erik malte,221
Erik Refstrupsk,Luini,221
Erik Refstrup,Svend,223
Niels,Svend,223
Niels,Rosalie,224
Claudi,Rosalie,224
Claudi,Erik,224
Claudis Kjøkkenhave,Erik,224
Arachne,Napoleon,225
Berendt Berendtsen Claudi,Claudi,227
Claudi,Palzows,231
Fennimore,Palzows,231
Fennimore,Niels,231
Erik,Niels,231
Erik,Niels,231
Kousine,Niels,231
Niels,Thomas Rasmussens,233
