Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Alma,0,0,0,0,12,0.34,28,0.22,12,0.34,0.26,0.55,0.06,0.18
Skov,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Erna,0,0,0,0,33,1.0,124,1.0,33,1.0,0.47,1.0,0.34,1.0
Brun,0,0,0,0,6,0.16,9,0.07,6,0.16,0.17,0.36,0.02,0.06
Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Tangs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Urne,0,0,0,0,6,0.16,12,0.09,6,0.16,0.18,0.38,0.04,0.12
Tang,0,0,0,0,26,0.78,74,0.59,26,0.78,0.4,0.85,0.25,0.74
Pastor Urne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Taug,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
lians,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Boje,0,0,0,0,4,0.09,7,0.05,4,0.09,0.11,0.23,0.0,0.0
Bondesen,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.13,0.03,0.09
Grundtvig,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.03
Ingemann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Holst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Hvidby,0,0,0,0,5,0.12,5,0.03,5,0.12,0.16,0.34,0.02,0.06
Heise,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.13,0.03,0.09
Schumann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Augustin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Calvin,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.03
Luther,0,0,0,0,3,0.06,6,0.04,3,0.06,0.09,0.19,0.03,0.09
Gud,0,0,0,0,17,0.5,27,0.21,17,0.5,0.32,0.68,0.14,0.41
Karl den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Bette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
Mylady,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Petersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.03
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eru Bojes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
