source,target,timestamp
Per,Povl,2
Erik dit,Povl,2
Dilen,Junker,3
Erik,Junker,3
Beati quorum,sunt iniquitates,5
Junker Eriks,jne,8
Christ,Jørgen,18
Jesus,Maria,21
Tys,jol,27
Gud,Jørgen,31
Jørgen,eg,37
Jørgen,zar,41
Junker Erik,maaski,48
Junker,Jørgen k'aderens,52
Erik,Junker,57
Erik,Junker,66
Erik,Jørgen,66
Aaen,allenfals,76
Erik,Junker,87
Hagen,dunes,91
Gud,Jørgen,93
Gud,Jørgen,93
Erik,Junker,101
Erik,Junker,102
Erik,Leopards,102
Junkeren,Jørgen,105
Junker Erik,Kanniks,108
Farbrorens,Junkeren,110
Gud,inat,111
Junker,Mads,116
Erik,Junker,116
Erik,Jørgen,116
Jørgen,Mads,116
Jørgen,viPosen,119
J,Mads,123
Jørgen,Mads,132
Junkeren,Mads,132
Erik,Kofte,133
Gud,Kristoffer,134
Jørgen,Madsi,135
Arne,Kvas,136
Junker Erik,Jørgen,137
Andreas,Erik,142
Erik,Jørgen,146
Junker,Jørgen,146
Jørgen,Mads,147
Jørgen,Mads,151
Erik,Jørgen,152
Erik,Jørgen,152
Erik,Jørgen gnaven,153
Gud,Jørgen,160
Junker,Jørgen,161
Jørgen,Mads,161
Junker Erik,Mads,163
Mads,Mikkel,163
Mikkel,Morten,163
Erik,Jørgen,164
Ane,Jørgen,164
Junker Erik,Prosit Mahlzeit,168
Gud,Jørgen,171
Ane,Erik,172
Ane,Jørgen,175
Ane,Junkeren,175
Erik,Jørgen,176
Erik,Jørgen,176
Jørgen,Mads Kulsviers,182
Erik,Jørgen,183
Junker,trine,192
Sid,hosl,206
Diana,Pluto,209
Josefs,Sebastian,213
Christ,Gud,220
Josef,Madonna,227
Sebastian,Silenus,230
Satanas,Silenus,230
Satanas,Sebastian,230
Junker Erik,Sebastian,230
Junker Erik,van Geldern,230
Karina,van Geldern,230
Karina,d,230
Erik,Mester Sebastian,231
Erik,Junker,232
Erik,Sebastian,235
Junker Erik,Karina,238
Davids,d'atour.,244
Davids,Ridder Heracles,244
Ridder Heracles,hin,244
David,Omphales,245
David,Heracles,245
Junker Erik,Sebastian,247
Junker Erik,Sebastian,250
Junker Erik,Karina,250
Sapphos,Sebastian,251
Hebe,Jupiter,252
Ganymedes,Jupiter,252
Ganymedes,Hebe,252
Cythere,Hebe,252
Karina,n,254
Junker Erik,detl,255
Sebastian,detl,255
Junker Erik,Karina,257
Erik,Sebastian,258
Jomfru Karinas,Junker,259
Christ,Erik,268
Junkeren,aegge,271
Junker Erik,Karina,276
Junker Erik,Sebastian,276
Junker,Junker Erik,281
Gud,Skolar,282
Erik,amore,283
Karina,amore,283
Erik,Junker,293
Jomfru Karina,Sebastian,294
Erik,Jomfru Karina,295
Luthen,egge,302
Junker Erik,Karina,307
Junker,Sebastian,308
Erik,Junker,308
F'ode,Maurer,312
Maria,esus,316
Junker Erik,ivold,322
Erik,Junker,325
Erik,Junker,325
Erik,Junker,325
Junker,Junker Erik,326
Erik,Junker,326
Junker,Jørgen,336
Erik,Junker,336
Braad,Junker Erik,339
Junker Erik,Karina,351
Mads,Mads Kulsviers,353
Ane,Mads,353
Ane,Jørgen,353
Junker,Junker Erik,358
Erik,Junker,358
Erik,Junker,361
Erik,Junker Erik,376
Karl,Oluf,387
Erik,Junker,388
Farbrorens,Junker Erik,395
Junker Erik,sky,397
Junker Erik,Sebastian,400
Oluf,Sebastian,400
Junker Niels,Oluf,400
Erik,Junker,403
Erik,Luth,403
Erik,Sebastian,405
Erik,Junker,407
Erik,Karina,409
Erik,Junker,411
Karina,Morphei,413
Junker Erik,Junker Niels,428
Erik,Junker,429
Junker,Niels,431
Junker Niels,s,435
Junker Erik,Karina,436
Erik,Junker,438
Farbroren,sid Kofte,439
Aaen,Karina,450
Aaen,Karina,450
Oluf,Sebastian,456
Kaarde,Sebastian,459
Jørgen,Mads Kulsvier,462
