source,target,timestamp
Napoleons,t,2
Don Juans,darem la mano,3
Beethovens,dands,4
Henrik,Svend,5
Høifjeld,Phantasi,8
Henrik,rose,21
Henrik,Jensen,28
Beethovens,Orla Lehmann,30
Beethovens,Fladstrand,30
Henrik,Karen,38
Cornelia,Marie,39
Karen,Marie,40
Cornelia,Henrik,41
Cornelia,Karen Marie,47
Cornelia,Karen Marie,50
Karen Marie,Nei,52
Henrik,Karen Marie,54
Henrik,kjønt,56
Henrik,Karen Marie,61
Cornelia,Karen Marie,63
Cornelia,Karen Marie,63
Jakob,Karen Marie,70
Jakob,Madam,77
Karen Marie,Sivert,80
Orlogs,Sivert,83
Cornelia,Henrik,87
Henrik,Karen Marie,92
Haydns,Rondoer,93
Jakob,Sivert,95
Sivert,philosophere,97
Karen Marie,Sivert,98
Cornelia,Karen Marie,98
Karen Marie,Napoleon,102
Ane,Cornelia,104
Henrik,Karen Marie,105
Jeanne d,Svanens,106
Jeanne d,Karen Marie,106
Cornelia,Jeannes,108
Maglekilde,Sivert,110
Karen Marie,Maglekilde,110
Henrik,Karen Marie,110
Mille,Sivert,112
Karen Marie,Sivert,112
Henrik,Karen Marie,114
Jakob,Karen Marie,117
Adam,Jakob,119
Henrik,Karen Marie,123
Androkles,Jakob,125
Jakob,Karen Marie,125
Henrik,Karen Marie,125
Henrik,Jakob,126
Cornelia,Henrik,138
Cornelia,Henrik,139
Henrik,Karen Marie,142
Cornelia,Karen Marie,142
Cornelia,Henrik,146
Henrik,Karen Marie,150
Karen Marie,Mester,152
Karen,Steffen,153
Karen,Marie,153
Karen Marie,Marie,153
Jakob,Lisbeth,160
Gud,Jakob,160
Gud,Lisbeth,160
Cornelia,Karen Marie,161
Lotusblomsts,lee,170
Cornelia,Henrik,176
Bille,Signe,180
Collega,Sthør,190
Fladstrand,Honoratiores,193
Fladstrand,S thørs,193
Fladstrand,S thørs,193
Due,Døttre,196
Cornelia,Due,197
Cornelia,Karen Marie,197
Henrik,Karen Marie,197
Gud,Moses,198
Muhameds,Napoleon,200
Karle,Muhameds,200
Cornelia,Henrik,202
Cornelia,Karen Marie,202
Henrik,Karen Marie,202
Cornelia,Henrik,203
Henrik,Karen Marie,203
Cornelia,Liun,206
Jakob,Karen Marie,210
Cornelia,Henrik,212
Jeanne Deans,Karen Marie,213
Cornelia,Karen Marie,213
Cornelia,Karen Marie,218
Henrik,Karen Marie,218
Gud,Henrik,218
Kreti,Pieti,227
Adam,Collega,229
Karen Marie,Sivert,230
Karen Marie,Lisbeth,233
Karen Marie,Lisbeth,243
Karen Marie,Lisbeth,243
Karen Marie,Lisbeth,243
Jakob,Karen Marie,248
Henrik,Sthør,249
Jakob,Sthør,249
Cornelia,Jakob,249
Davids,Kong Saul,252
Karen Marie,Kong Saul,252
Karen Marie,Martha,252
Maria,Martha,252
Jesu,Maria,252
Jesu,Martha,252
Jakob,Karen Marie,253
Jakob,Karen Marie,255
Karen Marie,Lisbeth,261
Jakob,Karen Marie,263
Jakob,Sivert,266
Jakob,Sivert,271
Karen Marie,Sivert,283
Karen Marie,Sivert,287
Karen Marie,Lisbeth,291
Lisbeth,Sthør,291
Adjunct Sthør,Cornelia,294
Adjunct Sthør,C. D.,294
C. D.,Karen Marie,294
Karen Marie,Sthør,294
Cornelia,Jakob,297
Cornelia,Karen Marie,306
Jakob,Karen Marie,311
Cornelia,Sivert,312
Cornelia,Sivert,312
Cornelia,Karen Marie,312
Cornelia,Karen Marie,312
Jomfru Cornelia,Moer,314
Cornelia,Karen Marie,315
Cornelia,Henrik,316
Henrik,Jakob,316
Karen Marie,Lisbeth,322
Karen Marie,sis,325
Gud,Karen Marie,329
Henrik,Karen Marie,335
Henrik,Karen Marie,336
Cornelia,Karen Marie,336
Cornelia,Karen Marie,337
Cornelia,Karen Marie,341
Cornelia,Karen Marie,341
Flan,Karen Marie,345
Cornelia,Moder,346
Cornelia,lee,347
Hensemand,Karen Marie,356
Karen Marie,Molde,359
Henrik,Karen Marie,360
Henrik,Molde,360
Henrik,Molde,360
Ploug,hans Høire Hostrup,362
Mantzius,hans Høire Hostrup,362
Mantzius,Ploug,362
Mantzius,Ploug,362
Kjærestens,Mantzius,362
Heidikkedom,Kjærestens,362
Heidikkedom,Ploug,362
Hostrup,Ploug,363
Flostrup,Ploug,363
Flostrup,Kjærestens,363
Kjærestens,Ploug,363
Cornelia,Ploug,363
Cornelia,Ploug,363
Hostrup,Ploug,363
Hostrup,Mantzius,363
Mantzius,Ploug,363
Henrik,Ploug,363
Cornelia,Henrik,366
Cornelia,Karen Marie,366
Arne,Karen Marie,368
Cornelia,Karen Marie,368
Cornelia,Karen Marie,373
Cornelia,Karen Marie,373
Cornelia,Karen Marie,374
Cornelia,Karen Marie,374
Cornelia,Henrik,375
Henrik,Karen Marie,375
Fladstrand,Lisbeth,377
Collega,Fladstrand,377
Collega,Lisbeth,377
Jakob,Sivert,382
Jakob,Sivert,383
Dang,Sivert,383
Cornelia,Dang,383
Cornelia,Karen Marie,383
Jomfru Dues,Karen Marie,383
Ane,Cornelia,385
Ane,Cornelia,386
Cornelia,k,387
Gud,Karen Marie,396
Ane,Cornelia,399
Karen Marie,Lisbeth,409
Cornelia,Karen Marie,421
Ane,Cornelia,423
Karen Marie,Lisbeth,426
Lisbeth,Sivert,426
Lisbeth,Sivert,426
Cornelia,Lisbeth,426
Ane,Cornelia,427
Egregie,Molde,431
Henrik,Molde,433
Christian Sund,Molde,433
Christian Sund,Molde,433
Henrik,Molde,433
Cornelia,Henrik,433
Cornelia,Karen Marie,433
Christian Frederik Jepsen Sund,Jep Jepsen,434
Christian,Jep Jepsen,434
Christian,Jep Jepsen,435
Christian,Jesper Brockmand,435
Christian,Jesper Brockmand,435
Christian Jepsen,Christian Sund,436
Christian Sund,Henrik,436
Obelisker,Publicums,437
Christian,Henrik,438
Christian Frederik Jepsen Sund,Henrik,439
Henrik,Sund,440
Henrik,Sund,442
Cornelia,Henrik,443
Cornelia,Sund,443
Don Quixote,Henrik,445
Karen Marie,Steffen,450
Steffen,iland,456
Christian,Henrik,460
Henrik,Sund,462
Cornelia concipere,Henrik,468
Jakob,Karen Marie,470
Cornelia,Gud,474
Cornelia,Gud,474
Faders,Gud,474
Henrik,Jakob,478
Gud,Jakob,478
Cornelia,Henrik,480
Cornelia,Gud,480
Henrik,Karen Marie,481
Gud,Jaspis,483
Gud,Jaspis,483
Gud,Jesu,486
Christne,Jesu,486
Christne,Jesu,486
Christi,Gud,488
Christi,Gud,488
Cornelia,Henrik,492
Henrik,Karen Marie,494
Karen Marie,Sund,494
Jesu,Karen Marie,505
Fladstrand,Sund,512
Fladstrand,Henrik,513
Christian,Henrik,513
Aare,Ingemann,528
Salomon,Sund,532
Lectien,Salomon,533
Henrik,Sund,538
Karen Marie,Sund,538
Cornelia,Karen Marie,538
Cornelia,Karen Marie,538
Karen Marie,Lisbeth,538
Henrik,Lisbeth,539
Lisbeth,Nik,540
Karen Marie,Nik,540
Karen Marie,Lisbeth,544
Cornelia,Karen Marie,557
Cornelia,Lisbeth,557
Karen Marie,Lisbeth,558
Cornelia,Karen Marie,562
Henrik,Karen Marie,565
Steffen,Sund,579
Karen Marie,Steffen,579
Karen Marie,Steffen,583
Cornelia,Karen Marie,584
-Henrik,Christian,587
Henrik,Sund,590
Henrik,Sund,596
Henrik,Karen Marie,605
Jakob,Karen Marie,605
Karen Marie,Steffen,607
Steffen,Sund,610
Henrik,Sund,614
Christus,Gud,618
Abraham,David,620
David,Urias,620
Christus,Gud,621
Christen,Christus,623
Henrik,Karen Marie,624
Karen Marie,Steffen,624
Karen Marie,Steffen,624
Karen Marie,Steffen,624
Cornelia,Karen Marie,629
Flan,Sund,631
Henrik,Sund,632
Cornelia,Karen Marie,633
Cornelia,Sund,634
Henrik,Sund,634
Christian,Henrik,634
Cornelia,Karen Marie,639
Cornelia,kjær,644
Lisbeth,kjær,644
Karen Marie,Lisbeth,644
Cornelia,Karen Marie,644
Cornelia,Karen Marie,644
Damens,Lisbeth,651
Cornelia,Lisbeth,652
Cornelia,Lisbeth,655
Cornelia,Lisbeth,665
Cornelia,Karen Marie,668
Cornelia,Karen Marie,668
Karen Marie,lee,670
Cornelia,Karen Marie,671
Henrik,T,673
Lisbeth,T,673
Cornelia,Karen Marie,676
Cornelia,Karen Marie,677
Cornelia,Karen Marie,677
Cornelia,Steffen,681
Ane,Steffen,683
Ane,Steffen,683
Karen,Steffen,683
Karen,Marie,683
Karl,Steffen,684
Cornelia,Gud,687
Henrik,Seil,690
Henrik,Seil,690
Henrik,Molde,690
Henrik,Molde,690
Cornelia,Karen Marie,691
Henrik,Sund,692
Henrik,Karen Marie,692
Cornelia,Karen Marie,692
Cornelia,Henrik,700
Henrik,Sund,700
Henrik,Sund,700
Henrik,Karen Marie,700
Karen Marie,Sund,703
Cornelia,Karen Marie,703
Henrik,Karen Marie,705
Cornelia,Henrik,705
Henrik,Karen Marie,706
Cornelia,Henrik,706
Cornelia,Lisbeth,709
Cornelia,Henrik,712
Cornelia,Karen Marie,713
Cornelia,Karen Marie,713
Cornelia,Lisbeth,715
Cornelia,Gud,718
Cornelia,Julie,719
Cornelia,Henrik,720
Henrik,kim,722
Henrik,Sivert,723
Henrik,Steffen,724
Henrik,Steffen,724
Henrik,Karen Marie,724
Karen Marie,Steffen,724
Henrik,Steffen,724
Henrik,Steffen,724
Cornelia,Henrik,725
Cornelia,Henrik,725
Henrik,Steffen,725
Henrik,Steffen,726
Henrik,Steffen,728
Henrik,Steffen,730
Henrik,Steffen,731
Henrik,Luvart,731
Henrik,Luvart,731
Cornelia,Henrik,733
Cornelia,Karen Marie,733
Cornelia,Karen Marie,734
Cornelia,Karen Marie,735
Cornelia,Henrik,742
Cornelia,Kjøl,742
Henrik,Karen Marie,744
Cornelia,Henrik,746
Henrik,Sivert,752
Karen Marie,Sivert,752
Henrik,Steffen,754
Henrik,Karen Marie,755
Adjunct Sthør,Henrik,760
Henrik,Lisbeth,760
Henrik,Lisbeth,760
Henrik,Karen Marie,761
Cornelia,Karen Marie,763
Henrik,Sund,766
Henrik,Karen Marie,766
Henrik,Karen Marie,766
Henrik,Karen Marie,766
Karen Marie,Sthør,767
Henrik,Sthør,767
