source,target,type,weight
Motle,livis,Undirected,1
Guttorm Hvide,Motle,Undirected,1
Gunhild,Guttorm Hvide,Undirected,1
Gunhild,Pohjola,Undirected,1
Pohjola,Spaadomskraft,Undirected,1
Baad,Lavrekas,Undirected,2
Laurukainen,lian,Undirected,1
Blomberg,Rosenhoff,Undirected,1
Lundin,Røj,Undirected,1
Lavrekas,Lundin,Undirected,2
Lavrekas,Rosenhoff,Undirected,1
Lavrekas,Mores,Undirected,1
Claes Lundin,Lavrekas,Undirected,2
Laurukainen,hans,Undirected,1
Atterboms,Virgil,Undirected,1
Bæives,Laurukainen,Undirected,1
Lavrekas,Toini,Undirected,18
Laurukainen,Lavrekas,Undirected,7
Lavrekas,Napoleon,Undirected,1
Lavrekas,Zarskoje-Selo,Undirected,1
Laurukainen,Paavo,Undirected,14
Gud,Jubmel,Undirected,1
Sarakka,Veike,Undirected,2
Hora-gales,Vaibi,Undirected,1
Bæive,Hora-gales,Undirected,1
Bæive,Horagales,Undirected,2
Alits,Vaibi,Undirected,7
Hora-gales,Horagales,Undirected,1
Hora-gales,Starbo,Undirected,1
Bæive,Noaiden,Undirected,1
Bæive,Noaide-gazze,Undirected,1
Guden,Vaibi,Undirected,3
Ibmel,Vaibi,Undirected,3
Bæive,Vuolab,Undirected,2
Gude-,Snorre Sturlesøn,Undirected,1
Lavrekas,ban,Undirected,1
Lavrekas,Vuolab Bæive,Undirected,1
Lavrekas,Vuolab,Undirected,3
Lappen,Laurukaineh,Undirected,1
Lappen,Lavrekas,Undirected,1
Laurukainen,Vuolab,Undirected,1
Lauri,Toini,Undirected,8
Gud,Lavrekas,Undirected,8
Laurukainen,Toini,Undirected,8
Toini,ban,Undirected,1
Jesus Kristus,Lavrekas,Undirected,3
Gud,Vuolab,Undirected,2
Gud,Laurukainen,Undirected,5
Issak,Jouhan,Undirected,1
Stallo,Vuolab,Undirected,5
Stene,Vuolab,Undirected,1
Bæive,Stallo,Undirected,1
Aran,Boassa,Undirected,2
Aran,Uske,Undirected,1
Bæive,Kadnihaks,Undirected,1
Bæive,Kadnihak,Undirected,1
