source,target,timestamp
Motle,livis,1
Guttorm Hvide,Motle,1
Gunhild,Guttorm Hvide,1
Gunhild,Pohjola,1
Pohjola,Spaadomskraft,1
Baad,Lavrekas,4
Baad,Lavrekas,4
Laurukainen,lian,8
Blomberg,Rosenhoff,17
Lundin,Røj,19
Lavrekas,Lundin,20
Lavrekas,Rosenhoff,21
Lavrekas,Mores,25
Claes Lundin,Lavrekas,31
Lavrekas,Lundin,33
Claes Lundin,Lavrekas,33
Laurukainen,hans,35
Atterboms,Virgil,37
Bæives,Laurukainen,39
Lavrekas,Toini,41
Laurukainen,Lavrekas,46
Lavrekas,Toini,53
Lavrekas,Toini,59
Lavrekas,Toini,59
Lavrekas,Toini,60
Laurukainen,Lavrekas,62
Lavrekas,Napoleon,63
Lavrekas,Zarskoje-Selo,64
Lavrekas,Toini,66
Laurukainen,Paavo,67
Laurukainen,Paavo,67
Gud,Jubmel,80
Sarakka,Veike,86
Hora-gales,Vaibi,90
Bæive,Hora-gales,92
Bæive,Horagales,95
Alits,Vaibi,96
Bæive,Horagales,98
Hora-gales,Horagales,98
Hora-gales,Starbo,98
Bæive,Noaiden,99
Bæive,Noaide-gazze,99
Guden,Vaibi,101
Guden,Vaibi,101
Ibmel,Vaibi,101
Ibmel,Vaibi,101
Guden,Vaibi,101
Bæive,Vuolab,103
Gude-,Snorre Sturlesøn,105
Lavrekas,ban,113
Lavrekas,Vuolab Bæive,116
Lavrekas,Vuolab,117
Lappen,Laurukaineh,118
Lappen,Lavrekas,118
Laurukainen,Vuolab,121
Lauri,Toini,124
Lauri,Toini,124
Gud,Lavrekas,125
Laurukainen,Toini,128
Toini,ban,128
Lavrekas,Toini,130
Lavrekas,Toini,130
Jesus Kristus,Lavrekas,130
Lavrekas,Toini,132
Jesus Kristus,Lavrekas,137
Gud,Vuolab,141
Gud,Laurukainen,142
Issak,Jouhan,143
Stallo,Vuolab,144
Stene,Vuolab,144
Stallo,Vuolab,145
Stallo,Vuolab,145
Bæive,Stallo,146
Aran,Boassa,149
Aran,Boassa,149
Aran,Uske,149
Bæive,Kadnihaks,150
Bæive,Kadnihak,150
Louhis,Sampo,152
Louhi,Sampo,152
Louhi,Sampo,153
Louhi,Sampo,153
Noaide,Sampo,153
Gobdas,Noaide,153
Aran,Gobdas,153
Veike,Vuolab,157
Stallo,Vuolab,157
Stallo,Vuolab,157
Sarakka,Veike,162
Gammen,Veike,168
Muste,Veike,169
Basse,Muste,169
Muste,Vaibi,170
Muste,lille Muste,176
Renen,Vuolab,177
Renen,Vuolab,180
Renen,Vuolab,181
Maanelys,Renen,183
Renen,Vuolab,185
Muste,Vaibi,186
Muste,Vaibi,187
Muste,Vaibi,187
Muste,Vaibi,193
Vaibi,Vaibi Bæive,200
Alits,Vaibi,201
Alits,Vaibi,204
Alits,Toini,204
Lavrekas,Toini,205
Toini,Vaibi,219
Toini,Vaibi,219
Basse,Muste,220
Alits,Toini,222
Toini,Vaibi,224
Muste,Vaibi,226
Muste,Noaide,226
Jumala,Noaide,226
Ibmel,Jumala,226
Herren,Ibmel,226
Herren,Vaibi,226
Bæive,Renen,228
Bæive,Jouhan,228
Gud,Jouhan,228
Gud,Vuolab,228
Bæive,Vuolab,228
Abraham,Bæive,228
Toini,Vaibi,232
Aaget,Gud,233
Gud,Samer,233
Gud,Vaibi,234
Vaibi,Vuolab,234
Gammen,Toini,235
Toini,Uske,236
Toini,Uske,236
Saivvo,Vaibi,238
Haldek,Vaibi,238
Haldek,bo,238
Kalia bardnes,Kalla bardne,240
Kalia bardnes,Kalla barnek,240
Orion,t,242
Kalla bardne,t,242
Kalla,Kalla bardne,242
Kalla,bardnes,242
Saivvo,Saivvofolk,246
Radien,Vaibi,249
Toini,Vaibi,250
Hind,Vaibi,250
Kantela,Lavrekas,254
Lavrekas,sine Runot,258
Kantela,Kantelar,259
Hedenold,Vaibi,260
Hedenold,Kantelar,260
Kantela,Laurukainen,261
Kantela,Vaibi,261
Toini,Vaibi,261
Toini,Vaibi,262
Toini,Vaibi,262
Toini,Vaibi,265
Toini,Vaibi,267
Laurukainen,Lavrekas,268
Gud,Lavrekas,268
Alits,Toini,272
Toini,lian,273
Gud,Toini,273
Gud,Vaibi,273
Toini,Vaibi,275
Vaibi,Vuolab,275
Alits,Vaibi,277
Alits,Noaiden,277
Laurukainen,Toini,279
Alits,Laurukainen,279
Alits,Vaibi,279
Alits,Vaibi,280
Alits,Vuolab,280
Vaibi,Vuolab,280
Vaibi,Vuolab,280
Gud,Vaibi,282
Renen,Vaibi,283
Vaibi,Vuolab,284
Alits,Vaibi,287
Boassa,Vaibi,288
Aran,Vaibi,288
Bæive,Gud,290
Muste,Vaibi,294
Muste,Vaibi,294
Muste,Vaibi,300
Alits,Bæive,301
Noaiden,Vuolab,302
Noaiden,Saivvo,302
Saivvo,Vuolab,302
Gammen,Vuolab,302
Gammen,Saivvo,302
Alits,Vuolab,308
Noaide,Vaibi,309
Noaide,Vaibi,311
Noaide,Vuolab,313
Saivvo,Vuolab,313
Alits,Glentens,318
Glentens,Vuolab,318
Noaiden,lian,321
Alits,Vuolab,326
Alits,Vuolab,327
Alits,Noaiden,329
Lauri,Toini,333
Toini,Vuolab,337
Laurukainen,Paavo,344
Majmaaned,Miesse-manno,346
Hanne,Majmaaned,346
Hanne,Muste,346
Girjes,Muste,346
Bæive,Toini,348
Jesus Kristus,Vaibi,349
Bæive,Suome,350
Bæive,Vaibi,350
Toini,Vaibi,351
Lavrekas,Toini,354
Lavrekas,Paavo,354
Gud,Toine,356
Gud,Laurukainen,356
Lavrekas,Toini,357
Gud,Toini,357
Gud,Laurukainen,357
Lavrekas,Toini,360
Lauri,Toini,360
Lauri,Toini,365
Lauri,Moder,367
Lauri,Moder,367
Lavrekas,Toini,368
Jetanis,Kadniha —,371
Bæive,Rener,378
Fella,Renen,391
Bæive,Ranne,394
Muste,Ranne,394
Girjes,Muste,394
Girjes,Tschalmo,394
Praxis,Vaibi,396
Praxis,Vaibi,396
Aaget,Vaibi,398
Noaide,Vaibi,399
Renen,Vaibi,400
Sames,Vuolab,401
Jesus Kristus,Vuolab,402
Stallo,lian,403
Alits,Stallo,403
Gud,Gud Fader,412
Gud,Gud Helligaand,412
Laurukainen,Toini,414
Lavrekas,Toini,417
Afoderen,Paavo,419
Afoderen,Paavo,419
Lavrekas,Paavo,419
Laurukainen,Paavo,420
Laurukainen,Lavrekas,425
Gud,Lavrekas,425
Gud,Lavrekas,426
Laurukainen,Toini,427
Laurukainen,Toini,427
Peisen,Toini,427
Gud,Laurukainen,428
Gud,Jesu,428
Jesu,Lavrekas,429
Lavrekas,Toini,430
Gud,Jesu,433
Jærnhaand,Laurukainen,437
Lauri,Toini,440
Paavo,Toini,440
Lauri,Toini,442
Paavo,Toini,442
Laurukainen,Paavo,442
Laurukainen,lille Paavo,442
Lavrekas,lille Paavo,442
Gud,Lavrekas,442
Gud,Lauri,442
Lauri,lille Paavo,442
Lauri,lille Paavo,442
Gud,Lauri,442
Lauri,ban,443
Lauri,ban,443
Lauri,Lavrekas,443
Kantela,Lavrekas,443
Kantela,Lavrekas,443
Kantela,Laurukainen,444
Kantela,Toini,444
Laurukainen,Toini,444
Laurukainen,Toini,444
Kantela,Toini,444
Gud,Kantela,444
Gud,Kantela,444
Kantela,Lauri,444
Toini,lille Paavo,445
Gud,lille Paavo,445
Gud,Paavo,445
Laurukainen,Paavo,445
Gud,Lavrekas,446
Kantela,Lavrekas,446
Lauri,Toini,447
Laurukainen,Toini,447
Laurukainen,Paavo,455
Kantela,Paavo,455
Emil von Rosenhof,Masaniello,471
esprit,lille Emil,472
Emil,Masaniello,475
Alin Onkels,Frøken Regitze,476
Hr. Bergstrøm,Jomfru Regi tze,478
Byron,Jomfru Regi tze,478
AVerther,Byron,478
AVerther,Alan,478
Alan,Gøthe,478
AVerther,Gøthe,478
AVerther,Lothar,478
Grev Lothar,Lothar,478
Brutus,Grev Lothar,478
Emil,Sujet,484
Erik,Lothar,485
Alette,Erik,485
Alette,Jørgine,485
Erik,Lothar,488
Alette,Erik,488
Alette,Jorgine,488
Erik,Lothar,489
Erik,Mette,489
Jørgine,Mette,489
Hr. Stråhlenhjelm,Lothar,490
Hr. Stråhlenhjelm,Lothar,490
Husbond,Lothar,492
Katzenjammer,lian,494
Erik,Lothar,495
Erik,Mette,495
Jørgine,Mette,495
Erik,Lothar,498
Erik,Jørgine,498
Arenus,Lothar,501
Arenus,Lothar,501
Hr. Bergstrom,Lothar,502
Lothar,Theori,503
Erik,Lothar,503
Erik,Mette,503
Jørgine,Mette,503
Erik,Lothar,504
Erik,Mette,504
Jørgine,Mette,504
Hr. Bergstrom,Jørgine,504
Husbond,Lothar,507
Lothar,Rasmus,507
Alen,Lothar,508
Hr. Bergstrøm,brummedø,509
Erik,Lothar,510
Alette,Erik,510
Alette,Jørgine,510
Emil,Hr. Bergstrøm,513
Hr. Bergstrøm,Hr. Westberg,515
Hr. Molander,Hr. Westberg,515
Emil,Hr. Bergstrom,527
Hr. Stråhlenhjelm,strængt,528
Bergstrom,strængt,528
Emil,Hr. Bergstrøm,542
Laurukainen,Paavo,550
Laurukainen,Paavo,551
Kantela,Laurukainen,551
Kantela,Paovo,551
Lavrekas,Paovo,551
Kantela,Lavrekas,551
Laurukainen,Paavo,552
Lavrekas,Paavo,554
Laurukainen,Paavo,554
Laurukainen,Pasvig,554
Gleb,Trifan,555
Feodor Ivanovitsch,Luoite min,559
Laurukainen,Lavrekas,562
Kantela,Laurukainen,569
Hr. Molander,Lavrekas,573
Lavrekas,Paavo,573
Laurukainen,Lavrekas,580
Kantela,Laurukainen,588
Lavrekas,Vuolab,592
Vaibi,Vuolab,592
Jesus Kristus,Vaibi,592
Jesus Kristus,Lavrekas,594
Vaibi,Vuolab,597
Lavrekas,k,598
Ibmel,k,598
Ibmel,gosa joditschak,598
Kathe Ibmel,gosa joditschak,598
Kathe Ibmel,lekus,598
doalvoshji,lekus,598
doalvoshji,dærvan deihi ruoktot,598
Sarakka,Sarakka muo sarram,605
Lavrekas,lille Paavo,607
Lavrekas,Paavo,610
Gud,Lavrekas,610
Lavrekas,Paavo,611
Lavrekas,Paavo,611
Laurukainen,Paavo,611
Gud,Laurukainen,611
Gud,Paavo,611
Aledynk,Laurukainen,612
Aledynk,Paavo,612
Lavrekas,Paavo,612
Laurukainen,Lavrekas,612
Laurukainen,Paavo,612
Kantela,Paavo,612
Kantela,Paavo,612
Gud,Paavo,612
Gud,Paavo,612
Lavrekas,Paavo,612
Kantela,Lavrekas,612
Kantela,Laurukainen,612
Laurukainen,Paavo,612
Jesu,Lauri,614
Hr. Stråhlenhjelm,Laurukainen,616
Laurukainen,Peldoivis,616
Lavrekas,Rosenhof,628
Alængdens,Rosenhof,628
Hr. Stråhlenhjelm,JOOO,636
Basuners,Gud,641
Lindroth,Veraab,644
Lavrekas,Veraab,644
Gud,Paavo,653
Lavrekas,Paavo,656
Adam,Peder,662
David,Peder,662
David,Uria,662
Per,Uria,662
Per,Povl,662
Kristus,Povl,662
Lysengels,Satan,664
Lysengels,Satan,664
Gud,Hr. Ekstrøm,665
Gud,Hr. Ekstrøm,665
Gud,Paavo,675
Alod,Lavrekas,678
Kantela,Paavo,683
Lavrekas,Paavo,684
Lavrekas,Paavo,686
Kurtise,Valsen,688
Aran,Kurtise,688
Aran,Gud,688
Hr. Stråhlenhjelm,Paavo,694
Hr. Stråhlenhjelm,Hr. Westberg,698
Hr. Westberg,Tyfus,698
Hr. Bergstrøm,Tyfus,698
Hr. Bergstrøm,Kola,698
Blomberg,Hr. Bergstrøm,705
Alan,Hr. Blombergs,706
Alands,me'd,707
Korhoinens,Rosenhof,722
Alan,Pastor Ekstrems,733
Gud,Pastor Ekstrems,736
Johan,Silke,746
Eva,Silke,746
Eva,Johan,746
Johan,Silke,746
Johan,Silke,746
Ajax,Kristoffer Ekstrøm,747
Madam Enberg,Madam Evas,749
Amalie,Hr. Lundin,759
Hr. Lundin,Hr. Wilson,759
Hr. Sanders,Hr. Wilson,759
Hr. Kristoffer,Konstance,765
Aland,Amalie,768
Aland,Frøken Ekstrøm,768
Alerci,Papa,769
Amalie,Papa,769
Amalie,Papa,769
Amalie,Hr. Lundin,770
Amalie Blomberg,Lavrekas,777
Konstance Ekstrøm,Lavrekas,778
Lavrekas,Stenberg,785
IPaavo,Paavo,788
Paavo,edens,791
Charles Dickens,David Copperfield,792
David Copperfield,Ekstrøm,792
Charles Dickens,David Copperfield,796
Lavrekas,Paavo,802
Lavrekas,Paavo,804
Lauri,Paavo,806
Lavrekas,Paavo,810
Gud,Paavo,811
Lavrekas,Paavo,815
Lavrekas,Paavo,815
Hr. Stråhlenhjelm,Paavo,817
Emil Kosenhof,Hr. Stråhlenhjelm,817
Emil Kosenhof,Hr. Bergstrøm,817
Korhoinen,Paavo,820
Korhoinen,skjelmske,820
Frøken Birgitze,Lavrekas,828
Lavrekas,Paavo,829
Frøken Regitze,Stråhlenhjelm,830
Blomberg,Frøken Regitze,830
Blomberg,Frøken Blomberg,830
Peterkopf,von Seelenheim,838
Mama,Papa,840
Aina,Mama,840
Aina,Madam Enberg,840
Amazone å l,Paavo Korhoinen,841
Amalie Blomberg,Paavo Korhoinen,851
Abekat,Hr. Bergstrøm,859
Hr. Bergstrøm,Prof. Elberfeldt,860
Hr. Stråhlenhjelm,Prof. Elberfeldt,860
Hr. Bergstrøm,Hr. Stråhlenhjelm,860
Blomberg,Trente mille tonnerres,863
Amalie,Trente mille tonnerres,863
Briljant,Paavo,865
Alellem,Paavo,866
Hr. Stråhlenhjelm,Rosenhof,871
Lavrekas,Paavo,873
Ding dang,hopsa,879
Ding dang,Gud,879
Gud,Kristoffer,881
Lida,Strida,887
Anna,Lida,887
Hojda,Nojda,888
Bjarmernes,Dvinas,902
Dvinas,Erik den,902
Birgir Jarl,Erik den,902
Hr. Strålenhjelms,Karlsbad,905
Elberfeldt,Karlsbad,905
Elberfeldt,Hr. Stråhlenhjelm,909
Charlatan,vantros,913
Hr. Bergstrom,Hr. Stråhlenhjelm,920
Hr. Stråhlenhjelm,Prof. Elberfeldt,926
Hr. Stråhlenhjelm,Lavrekas,928
Ekstrem,Ekstrøm,934
Hr. Stråhlenhjelm,Lavrekas,951
Adieu,Ekstrøm,955
Adam,Hr. Lundin,956
Paavo,Prof. Blomberg,957
Lavrekas,Prof. Blomberg,958
Hydra,Studiosi,963
Samson,Studiosi,963
Hr. Brulins,Prof. Blomberg,964
Frøken Blomberg,Frøken Ekstrøm,970
Ekstrøm,Frøken Blomberg,970
Lundin,tete,978
Ekstrøm,Paavo,989
Lavrekas,Paavo,989
Lavrekas,Paavo,990
Septimius Severus,Titus,994
Caligulas,Titus,994
Caligulas,Cæsars,994
Ciseros,Cæsars,994
Buon mattino,Signore,998
Amor,Apollo,999
Amor,Merkur,999
Bacchus,Vesuv,1002
Blomberg Stanislausordenens,Rosenhof,1009
Elberfeldt,Hr. Stråhlenhjelm,1016
Amalie Blomberg,Elberfeldt,1017
Borgstrøm,Hr. Bergstrom,1022
Hr. Bergstrom,Lothar,1024
Hr. Stråhlenhjelm,Lothar,1024
Bergstrøm,Eva,1029
Bergstrøm,Eva,1029
Eva,Hr. Lundin,1029
Hr. Bergstrøm,Hr. Lundin,1036
Frøken Regitze,Hr. Bergstrøm,1037
Hr. Lundin,Lundin,1039
Frøken Regitze,Hr. Lundin,1039
Frøken Regitze,Hr. Borgstrøm,1041
Frøken Regitze,Hr. Bergstrøm,1050
Frøken Regitze,Hr. Bergstrøm,1051
Bergstrøm,Frøken Regitze,1053
Bergstrøm,Frøken Regitze,1053
Bergstrom,svor,1056
Prof. Blomberg,Rosenhof,1060
Lavrekas,Toini,1065
Lavrekas,Toini,1065
Lavrekas,Paavo,1073
Oktavianus,Paavo Korhoinen,1075
Gud,Paavo,1079
Hr. Lundin,Prof. Blomberg,1090
Hr. Lundin,Hr. von Rosenhof,1090
Hr. Stråhlenhjelm,Hr. von Rosenhof,1090
Hr. Bergstrøm,Hr. Stråhlenhjelm,1090
Korboinens,Paavo,1093
Amalie Blomberg,Paavo,1095
Hr. Stråhlenhjelm,Rosenhof,1098
Kantela,Rosenhof,1100
Lavrekas,xMand,1102
Emil Rosenhof,Lundin,1108
Larsson,Rosenhof,1111
Paavo,Rosenhof,1119
Paavo,Rosenhof,1120
Paavo,Rosenhof,1121
Paavo,Rosenhof,1122
Rosenhof,Uhr,1127
Vaibi,Vuolab,1128
