Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Motle,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
livis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guttorm Hvide,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Gunhild,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Pohjola,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Spaadomskraft,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Baad,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.09,0.0,0.0
Lavrekas,0,0,0,0,36,1.0,113,0.95,36,1.0,0.33,1.0,0.15,0.94
Laurukainen,0,0,0,0,17,0.46,52,0.43,17,0.46,0.22,0.67,0.04,0.25
lian,0,0,0,0,5,0.11,5,0.03,5,0.11,0.05,0.15,0.01,0.06
Blomberg,0,0,0,0,14,0.37,16,0.13,14,0.37,0.12,0.36,0.02,0.12
Rosenhoff,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.12,0.0,0.0
Lundin,0,0,0,0,11,0.29,17,0.14,11,0.29,0.13,0.39,0.03,0.19
Røj,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Mores,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Claes Lundin,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.09,0.0,0.0
hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Atterboms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Virgil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bæives,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Toini,0,0,0,0,16,0.43,64,0.53,16,0.43,0.25,0.76,0.03,0.19
Napoleon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Zarskoje-Selo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Paavo,0,0,0,0,32,0.89,119,1.0,32,0.89,0.33,1.0,0.12,0.75
Gud,0,0,0,0,34,0.94,66,0.55,34,0.94,0.32,0.97,0.16,1.0
Jubmel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Sarakka,0,0,0,0,2,0.03,3,0.02,2,0.03,0.0,0.0,0.01,0.06
Veike,0,0,0,0,4,0.09,5,0.03,4,0.09,0.03,0.09,0.01,0.06
Hora-gales,0,0,0,0,4,0.09,4,0.03,4,0.09,0.04,0.12,0.01,0.06
Vaibi,0,0,0,0,28,0.77,83,0.69,28,0.77,0.23,0.7,0.14,0.88
Bæive,0,0,0,0,18,0.49,20,0.16,18,0.49,0.14,0.42,0.05,0.31
Horagales,0,0,0,0,2,0.03,3,0.02,2,0.03,0.02,0.06,0.0,0.0
Alits,0,0,0,0,8,0.2,20,0.16,8,0.2,0.12,0.36,0.0,0.0
Starbo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Noaiden,0,0,0,0,6,0.14,7,0.05,6,0.14,0.07,0.21,0.0,0.0
Noaide-gazze,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Guden,0,0,0,0,1,0.0,3,0.02,1,0.0,0.02,0.06,0.0,0.0
Ibmel,0,0,0,0,5,0.11,7,0.05,5,0.11,0.03,0.09,0.03,0.19
Vuolab,0,0,0,0,23,0.63,55,0.46,23,0.63,0.28,0.85,0.1,0.62
Gude-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Snorre Sturlesøn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,3,0.06,4,0.03,3,0.06,0.07,0.21,0.0,0.0
Vuolab Bæive,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Lappen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.09,0.01,0.06
Laurukaineh,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lauri,0,0,0,0,11,0.29,24,0.19,11,0.29,0.19,0.58,0.01,0.06
Jesus Kristus,0,0,0,0,3,0.06,6,0.04,3,0.06,0.08,0.24,0.0,0.0
Issak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jouhan,0,0,0,0,3,0.06,3,0.02,3,0.06,0.04,0.12,0.01,0.06
Stallo,0,0,0,0,4,0.09,8,0.06,4,0.09,0.05,0.15,0.0,0.0
Stene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Aran,0,0,0,0,6,0.14,7,0.05,6,0.14,0.06,0.18,0.01,0.06
Boassa,0,0,0,0,2,0.03,3,0.02,2,0.03,0.03,0.09,0.0,0.0
Uske,0,0,0,0,2,0.03,3,0.02,2,0.03,0.03,0.09,0.0,0.0
Kadnihaks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kadnihak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Louhis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sampo,0,0,0,0,3,0.06,5,0.03,3,0.06,0.01,0.03,0.01,0.06
Louhi,0,0,0,0,2,0.03,4,0.03,2,0.03,0.0,0.0,0.0,0.0
Noaide,0,0,0,0,6,0.14,8,0.06,6,0.14,0.05,0.15,0.02,0.12
Gobdas,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
Gammen,0,0,0,0,4,0.09,4,0.03,4,0.09,0.06,0.18,0.0,0.0
Muste,0,0,0,0,8,0.2,18,0.14,8,0.2,0.03,0.09,0.04,0.25
Basse,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
lille Muste,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Renen,0,0,0,0,5,0.11,10,0.08,5,0.11,0.06,0.18,0.01,0.06
Maanelys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Vaibi Bæive,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
