source,target,timestamp
Falbe,Madam,1
Bentzen,Kure,4
Bentzen,Mam Spåckboms,7
Bentzen,Else,8
Else,Späckbom Barnet,8
Else,Späckbom Barnet,8
Bentzen,Else,8
Madam Spackboms,Noahs,13
Falbe,Kristian Falbe,17
Frøken Falbe,Frøken Falbes,19
Else,Falbe,20
Falbe,Kristian,20
.Else,Kristian,20
Frøken Falbe,Kristian,21
Else,Spohr,25
Jørgen Tambur,Schirrmeister,33
Jørgen Tambur,Rondo grazioso,33
Else,Jergen,37
Else,Frøken Falbe,40
Else,Frøken Falbe,41
Else,Frøken Falbe,41
Frøken Falbe,Mam Spåckboms,43
Frøken Falbe,Mam Spåckboms,43
Else,Mam Spåckboms,44
Frøken Falbe,Mam Spåckboms,45
Bentzen,Mam Spackbom,46
Kierkegaard,With,51
Kierkegaard,Luther,51
Luther,Otto With,51
Otto With,Randulfs,51
Martens,hans Lena,53
Else,hans Lena,53
Else,Madam Spackbom,53
Bentzen,Frøken Falbe,60
Garman,Hansker,62
Hansker,With,62
Madam,Späckbom havde,63
Formandens,Madamen,70
Else,Madamen,70
Else,Formandens,77
Else,Formandens,77
Else,Mam Späckbom,81
Else,Svend,84
Loppen,Svend,85
Klodrian,Svend,86
Else,Kousul With,88
Else,With,89
Else,With,93
Kalliwoda,Onslow,96
Haydn,Kalliwoda,96
Haydn,Jørgen Tambur,96
Jørgen Tambur,hamres,96
Schirrmeister,hamres,96
Christian Falbe,Else,97
Else,Mam,97
Mam,Späckbom mærkede,97
Else,Svend,98
Else,Svend,98
Mam,Svend,98
Else,Mam,98
Else,Svend,99
Else,Mam Späckbom,101
Else,Mam Spåckboms,105
Else,Mam Spåckboms,108
Else,With,113
Else,Frøken,114
Else,Svend,116
Else,Svend,116
Else,Svend,117
Else,Svend,118
Else,reist,122
Else,Svend,124
Else,Frøken Falbe,128
Else,Svend,138
Else,Svend-,144
Else,Svend,144
Else,Mam Spåckboms,146
Else,Svend,150
Else,Svend,156
Frøken Falbe,Svend,158
Else,iveien,163
Else,Frøken Falbe,167
Else,Frøken Falbe,167
Christian,P'røken Falbe,169
Frøken Falbe,Madam Spåckbom,171
Else,Falbe,173
Falbe,Frøken Falbe,178
Christian,Falbe,178
Konsul Withs,miti,189
Iver,Svend,190
Else,Jørgen Tambur,197
Else,Svend,198
Frøken Falbe,Svend,199
Schirrmeister,Svend,199
Else,Svend,202
Jørgen Tambur,Madam Ellingsens,204
Else,Svend,205
Svend,tilbens,208
Ellingsen &,Konsul Withs,209
Frøken Falbe,t Madam Spåckboms,215
Christian,Else,216
Bentzen,sint,225
Hansen,sint,225
Else,Svend,226
Konsul With,Randulf,234
Konsul With,Martens,234
