source,target,timestamp
Erik,ValdemarSejr,1
Erik,Valdemars,1
Kong Erik,Valdemars,1
Hertng,Kong Erik,1
Abels,Hertng,1
Abels,Kong Valdemars,1
Kong Valdemars,Mechtilde,1
Adolf,Mechtilde,1
Adolf,Gud,1
Abel,Gud,1
Abel,Holsfeu,1
Erik,Holsfeu,1
Abel,Erik,1
Abel,tik Holsfens,1
Abel,tik Holsfens,1
Abel,ban,1
Kong Erik,ban,1
Abel,Kong Erik,2
Abel,ban,2
Forelobig svntes,ban,2
Forelobig svntes,ban,2
Kong Erik,ban,2
Kong Erik,ban,2
Abel,Kong Erik,3
Jutta,Kong Erik,3
Jutta,bvor,3
bvor,hnn,3
Eil,as,6
as,ban,6
Dronning Juttas,ban,6
Dronning Juttas,ban,6
Henrik Hermanson,ban,6
Henrik Hermanson,Tageson,6
Henrik,Tageson,6
Henrik,ban,6
Dronning Inttas,ban,6
Dronning Inttas,Kong Erik,6
Abel,Kong Erik,6
Abel,ban,6
ban,fhi,6
ban,fhi,6
ban,fhi,6
ban,fhi,6
Ellen,ban,6
Ellen,Henrik,6
Ellen,Henrik,6
Ellen,ban,6
Ellen,ban,6
Ellen,Henrik,6
Ellen,Henrik,6
Ellen,Henrik,6
Ellen,Henrik,6
ban,dam,7
Henrik,dam,7
Henrik,ban,7
Halt,Sidsels,9
Sidsel Iakobsdatter,bende,10
bende,hnn,10
hnn,sif,10
Sidsels,sif,10
Sidsel,Sidsels,10
Sidsel,bende,10
bei,bende,10
Henrik,ban,11
Henrik,ban,11
Henrik,Sidsel,11
Henrik,Sidsel,13
Sidsel,fil,14
Henrik,Sidsel,16
Henrik,paanv,18
Henrik,Sidscls,18
Katfen,Sidscls,18
Henrik,Katfen,18
Henrik,Sidsel,18
Sidsel,bende,18
Henrik,bende,18
Henrik Sidsel,fude,19
Henrik Sidsel,Sidsel,19
Henrik,Sidsel,21
Ellen,Sidsel,21
Ellen,Mette,21
Mette,Sidsel,21
Sidsel,bun,21
Henrik,bun,21
Henrik,ban,24
ban,tbi ban,24
ball,tbi ban,24
ball,ban,24
Sidsel,ban,24
Sidsel,ban,24
Munk,ban,24
Henrik Hermansøns,Munk,24
Henrik Hermansøns,illill,24
Ellen,illill,24
Ellen,milt,24
ban,fil Ømgaard,25
børte ban,fil Ømgaard,25
Henrik,børte ban,25
Henrik,ban,25
Søren Asgotus,ban,25
Abel,Henrik,28
Ole,Søren,29
Ole,Svend,29
Henrik,Stig,30
Gud,ban,31
Belials,ban,31
Abel,Belials,31
Henrik,faukesnld,32
Henrik,ban,32
Ellen Iversdatter,ban,32
Ellen Iversdatter,alf svr,34
Ellen,Søren,35
Kong Erik,Søren,35
Gud,Kong Erik,35
Gud,ban,37
Ellen,Henrik,38
Henrik,Søren,38
Ellen,Søren,38
Gud,Henrik,39
Henrik,ban,39
Gud,ban,39
Gud,bo o rover,41
Gud,Svend,41
Svend,ban,41
Robert,bam,42
Abbed Stefan,bam,42
Abbed Stefan,Bernhard,42
Bernhard,Clairvanr,42
Benedikts,Clairvanr,42
Benedikts,Bernhard,42
Johannes,Søren Asgotus,45
Søren,ban,46
Søren,offe,46
bvori ban,offe,46
ban,bvori ban,46
ban,bvem,46
ban,bvem,46
Olaus,ban,47
Henrik Hermansøn,Søren,48
Henrik Hermansøn,benad Bejen,48
benad Bejen,bentedes,48
Søren,bentedes,48
Søren,tbi Almnen,48
Søren fil,tbi Almnen,48
Ellen,Karen,49
Ellen,bun,49
bun,huir,49
Søren,huir,49
Ellen,Munkeir,50
Ellen,Gud,52
Karen,Søren,53
ban,bvad,54
Ellen,Karen,55
Ellen,hnn,55
Gud,Søren,56
Ellen,Karen rakfe,57
Broder Olaus,Ellen,57
Berdens,Broder Olaus,57
Berdens,hnn,57
Olaus,hnn,57
Karen,Olaus,57
Berden,Karen,57
Berden,Ellen,57
Berden,Ellen,57
Berden,Karen,57
Ellen,Karen,57
Ellen,Olans,57
,Olans,57
,dans,57
Ellen,Olans,58
Ellen,Olaus,58
Ellen,Olaus,58
Berden,Ellen,58
