source,target,timestamp
Plydses,Sundstrøm,1
Evropa,Stærke-Sørens,2
Frederik den sjette,Lystrup,4
Jørgen,Lystrup,10
Emma,Knud,15
Emma,Knud,17
Emma,Knud,18
Karls,Saxes,22
Karls,Rolf Krakes,22
Rolf Krakes,Uffes,22
Absalons,Uffes,22
Jørgen Siversen,Knud,24
Emma,Knud,26
Jørgen Siversen,Karl,27
Emma,Karl,27
Emma,Knud,27
Emma,Jørgen Siversen,28
Ellen,Jørgen Siversen,28
Emma,Knud,33
Frans Larsen,Knud,39
Karl,Knud,39
Ellen,Emma,42
Ellen,Emma,42
Ellen,Emma,42
Charles Julius Besser,Peddersen,44
Knud,ester,45
Ellen,Emma,46
Besser,Jørgen Siversen,49
Besser,Ellen,49
Emma,Hr. Sundstrøm,50
Emma,Knud,50
Emma,Knud,50
Ellen,Emma,50
Ellen,Knud,50
Hr. Sundstrøm,Knud,51
Karl,Knud,51
Besser,Karl,52
Emma,Knud,53
Knud,Polle,58
Knud,Polle,58
Knud,Stine,58
Jørgen Siversen,Stine,58
Emma,Knud,60
Emma,Rørby,60
Rørby,ester,60
Enima,hnn,61
Emma,Knud,62
Emma,Knud,62
Knud,hnn,62
Knud,Lystrup,63
Emma,Knud,64
Emma,Knud,65
saad ,saad ' n,71
Frits,Knud,73
Aage,Weyses,75
Aage,Beethovens,75
Emma,Frits,76
Bondekarl,Emma,76
Jørgen Siversen,Klavs,77
Frits,Jørgen Siversen,77
Knud,Lystrup,79
Emma,Jørgen Siversen,81
Frits,Jørgen Siversen,88
Emma,Frits,89
Emma,Frits,93
Ralliken,itte,94
Emma,Frits,95
Emma,ester,97
Frits,ester,97
Emma,Frits,97
Emma,hnn,101
Emma,Frits,103
Frits,Gud,105
Frits,Knud,107
Emma,Knud,107
Emma,Frits,107
Andersen,Byron,112
Frits,Gud,113
Emma,Frits,114
Emma,Frits,115
Knud,Lystrup,116
Emma,Lystrup,116
Emma,Jørgen Siversen,116
Frans,Jørgen Siversen,116
Emma,Frans,116
Emma,Knud,116
Frans,Knud,121
Emma,Knud,124
Knud,Lystrup,125
Emma,Rasmus Mortensen,131
Emma,Rørby,134
Emma,Knud,135
Emma,Hnn,138
Gud,Knud,140
Frits,Gud,140
Emma,Knud,146
Jørgen,Karen Jørgens,150
Gud,Karen Jørgens,150
Ellen,Gud,150
Ellen,Jørgen,151
Ellen,Karen Jørgens,151
Ellen,Knud,153
Knud,nor,153
Knud,nor,153
Ellen,Knud,154
Emma,Kuud,155
Emma,Lise,155
Ellen,Smeddens,156
Kirsten,Smeddens,156
Knud,hnn,157
Svend,hnn,157
Knud,Svend,157
Søren,vos,159
Lars Lars,nøre,161
Jørgen Siversen,Knud,162
Ellen,Knud,162
Ellen,Karens,162
Ellen,Karens,162
Emma,Knud,163
Knud,Tenne,165
Karen,Knud,166
Emma,Knud,168
Emma,Knud,168
Besser,Knud,169
Knud,Knud Olsen,169
Besser,Knnd,170
Knnd,Knud et,170
Hr. Besser,vos,172
Besser,Knud Olsen,174
Knud,Knud Olsen,174
Frans Larsen,Søren Hugger,175
Knud,Tu Fredsens,176
Jørgen Siversen,Søren,182
Jørgen Siversen,Knud,182
Frans Larsen,Jørgen Siversen,185
Besser,Frans Larsen,187
Besser,Frans,187
Frans,Jørgen Siversen,187
Gud,Jørgen Siversen,190
Jngen,Jørgen,191
Besser,Jørgen,194
Jørgen,Niks,194
Besser,Jaj,197
Jaj,jaj,197
Napoleon,jaj,197
Napoleon,soni,197
Jørgen Siversen,tor,198
Jørgen Siversen,Niks,198
Gud,maj,200
Knud,Knud Olsen,202
,H,209
,jane,209
Emma,Knud,213
Emma,frods,213
Emma,Frits,217
Emma,Onkels,217
Emma,Lystrup,219
Jørgen Siversen,Lystrup,219
Jørgen Siversen,Knud,220
jø,vos,222
jø,vos,222
Karen,jø,222
Brangen,Jørgen Siversen,227
Morten,Rasmus,229
Gud,Knud,231
Klavs,vos,233
Emma,Klavs,237
Klavs,Kristen,244
Besser,Ellen,246
Besser,Knud,246
Emma,Frits,248
Frits,Lystrup,252
Jørgen Siversen,Knud,253
Emma,Knud,253
Emma,Frits,253
Ellen,Knud,255
Ellen,Knud,255
Jørgen Siversen,Knud,255
Jørgen Siversen,Knud,255
Karen Jørgens,Knud,256
Ellen,Karen Jørgens,256
Ellen,Emma,256
Emma,Knud,256
Ellen,Knud,256
Ellen,Emma,256
Frederik Holst,Frits,258
Frederik Holst,Frits,258
Frits,Knud,258
Frits,Knud,258
Frits,Skjæggel,258
Frits,Kabuds,261
Emma,Knud,263
Emma,Frits,263
Ellen,Frits,263
Bravo,Frits,269
Frits,Holst,269
Frits,Holst,269
Frits,Knud,270
Emma,Frits,270
Jørgen Siversen,Per Brast,271
Jørgen,Knud,272
,Skjænd,273
,Lystrup,273
Lystrup,skjænd,273
,skjænd,273
,Knud,273
Knud,Per Grejsen,277
Knud,Per Grejsen,277
Frits,Kristen Knort,278
,Frits,279
,Emma,279
Emma,Knud,279
Knubs,Knud,279
Emma,Frits,280
Emma,Knud,281
Holst,Knud,282
Holst,Knud,282
Emma,Knud,282
Ellen,Knud,283
Emma,Knud,283
Knud,Per Grejsen,284
Jørgen Siversen,Per Grejsen,284
Jørgen Siversen,Mads,285
Holst,Knud,286
Knud,Mads,289
Emma,Knud,290
Emma,Knud,290
Emma,Knud,295
Emma,Holst,295
Knud,Valsetrin,296
Knud,Valsetrin,296
Frits,Knud,296
Frits,Jørgen Siversen,298
Frits,Jørgen Siversen,298
Gud,vos,301
,Frits,303
Frits,Holst,308
Frits,Holst,308
Jørgen Siversen,Pren,309
aan,itte,311
Holst,Lystrup,314
Jørgen,Lystrup,314
Frits,Lystrup,315
Ellen,Emma,317
Ellen,Emma,317
Emma,Gud,323
Ellen,Gud,323
Emma,Knud,324
Ellen,Emma,325
Ellen,Emma,327
Ellen,Frits,327
Gud,Knud,328
Gud,Knud,328
Gud,Knud,328
Frits,Gud,328
Ellen,Knud,329
Ellen,Knud,329
Knud,Stine,330
Ellen,Stine,330
Ellen,Knud,330
Emma,Knud,331
Emma,Gud,334
Ellen,Gud,334
Ellen,Gud,334
Ellen,Emma,336
Emma,Knud,336
Emma,Knud,336
Emma,Knud,338
Emma,Frits,341
Frits,Lysfrup,341
Frits,Lysfrup,341
Frits,Lystrup,341
Frits,Lystrup,341
Emma,Frits,341
Emma,Frits,341
Emma,Frits,342
Frits,hnn,342
Ellen,hnn,342
Emma,Knud,343
Emma,Knud,343
Knud,tsl,343
Emma,Gud,346
Emma,Knud,349
Emma,Knud,349
Emma,Gud,351
Gud,Knud,352
Emma,Knud,353
Karl,Knud,356
Karl,Knud,356
Emma,Sidse Malene Christ,359
Emma,ristens,359
Morten Clausen,ristens,359
Emma,Knud,363
Emma,Knud,369
Emma,Knud,369
Emma,Knud,372
Emma,Knud,373
Emma,Knud,373
Asten,Emma,374
Emma,Knud,375
Emma,Knud,376
Emma,Knud,378
Emma,Knud,379
Emma,Knud,379
Emma,Knud,379
Emma,Knud,380
Knud,sknlde,381
Emma,Knud,383
Emma,Knud,389
Knud,grandt,393
Emma,grandt,393
Bien,Knud,395
Emma,Syngebæk,396
Knud,Syngebæk,396
Jærnskovl,Knud,396
Knud,Sioe,398
Sioe,dein,398
Emma,Knubs,399
Knubs,Knud,399
Lange,Lystrup,401
Lange,nien,402
Nørby,nien,402
Jørgen Siversen,Nørby,402
Gud,Karen Jørgens,403
Karen,Sidse Per Grejs,409
Karen,inge,409
Vallem,inge,409
Gud,Vallem,409
Gud,Sidse,409
Gud,Sidse,409
Ellen,Gud,409
Ellen,Saad,409
Saad,hnn,409
Jørgen,Sidse PerGrejs,410
Jørgen,Lystrup,411
ilel,ing,413
Jørgen,Karen saad,415
Jørgen Siversen,Karen saad,415
Jørgen,Mads Løve,416
Lars Søren,Mads Løve,416
Lars Søren,Povl Madsen,416
Jørgen Sioersen,Povl Madsen,416
Jørgen,Karen,417
Knud,ganfle,418
Knud,Siversen,421
Emma,Siversen,421
Knud,ded,425
Jørgen Smed,Knud,426
Besser,Per,439
Per,Poul,439
Ieg,Sumarum,441
Ieg,Thyko Brahes,442
Ieg,saad,442
saad,uns,442
saad,uns,442
Besser,Lange,444
Frederik den,Lystrup,450
Jsteddagens,Jørgen,451
Jørgen,Søren,451
Jørgen,Søren,451
Frans,Knud,452
Bo,Knud,457
Frans,Knud,461
Besser,Ellen,465
Ellen,Jørgen Siversen,465
Knud,Sky,466
Knud,Sky,466
Alan,Lystrup,468
Gud,oni,477
Jørgen Siversen,Søren Hugger,478
Jørgen Siversen,Knud,478
Bester,Knud,478
Besser,Knud,481
Besser,Jørgen Siversen,483
Frans Larsen,Jørgen Siversen,483
Frans Larsen,Knud,483
Jørgen stulde,Knud,483
Frans,Jørgen stulde,483
Frans,Jørgen,483
Jørgen Siversen,jaj,484
Besser,Knud,494
Besser,nte,494
Emma,Per Grejsen,495
Jesper,Per Grejsen,495
Knud,Tom,498
Knud,Tom,498
Emma,Lystrup,503
Emma,Knud,504
Bodil,Knud,507
Bodil,Knud,507
Bo,Frans,510
Bodil,Knud,511
Bodil,Frans,513
Frans,Knud,513
Knud Ølsen,Povl Madsen,515
Emma,Knud,516
Emma,Knud,516
Karl,Knud,516
Karl,Knud,516
Emma,Knud,516
Emma,hnn,516
Knud,hnn,516
Knud,kain,516
Nn,kain,516
Knud,soni,518
Gud,soni,518
Frederik,Mads Løve,522
Frederik,Jørgen Sivers,522
Jørgen Sivers,Niels,522
Knud,Knud Olsen,531
Jørgen Siversen,Knud,532
Emma,Jørgen Siversen,539
Asthma,Jørgen Siversen,541
Jørgen,hænd,546
Jørgen Siversen,Lystrup,548
Emma,Knud,549
Emma,Gud,549
Emma,Knud,550
Emma,Knud,552
Emma,Knud,559
Emma,Knud,567
Knnd,kasfe,568
Emma,Gud,569
Emma,Gud,570
Emma,Gud,570
Emma,Gud,570
Emma,Knud,571
Graad,Knud,571
Graad,Knud,571
Emma,Knud,576
Emma,Knud,580
Emma,Knud,582
Jørgen Siversen,Karen Jørgens,585
Ellen,Karen Jørgens,585
Besser,Ellen,585
Peddersen,em,588
Niks,lassen,590
Emma,mari,592
Knud,mari,592
Emma,Nørby,593
Emma,Gud,593
Ellen,Gud,593
