source,target,timestamp
Capt. Hansen,Juno,1
Brun,Eieren,2
Brun,Hansen,2
Hansen,Karl Johan,2
Ane,Karl Johan,3
Olaf,lian,7
Bjørns,Olaf,8
Bjørns,Olaf,8
Aurora,isommer,14
Jonas,s,19
Joakim,s,19
Joakim,Jonas Sebastian,19
Gutten,Kapt. Behrens,20
Gutten,Jonas,20
Jonas,Sebastian,20
Brun,Jonas“,21
Beckers,Meyer,22
Brun,Sigrid,25
Sigrid,Theodor,25
Brun,Kaal,27
Aurora,Olaf,29
Aurora,Sigrid,31
Amor,Sigrid,31
Eufemia,Eufemia Rohde,37
Eufemia,Major Falk,37
Nille,Puyters,40
Aurora,Sigrid,41
Mama,Sigrid,41
Mama,Papa,41
Olaf,Sigrid,42
Aurora,Sigrid,47
Heiberg,Sigrid,47
liensank,liun,49
Aurora,Frøken Rohde,50
Aurora,Theodor,52
Aurora,Papa,52
Aurora,Gerhard,53
Gerhard,Konsul Bruns,53
Aurora,Konsul Bruns,53
Aurora,Frøken Rohde,54
Aurora,Tante,58
Aurora,Olaf,59
Aurora,Olaf,59
Aurora,Theodor,65
Gerhard,Theodor,65
Gerhard,Sigrid,65
Aurora,Sigrid,65
Aurora,Olaf,65
Frøken Rohde,Olaf,65
Rhinskvin,Theodor,67
Kristofini,Tante Nilles,69
Puyter,lian,70
Aurora,Olaf,75
Aurora,Gerhard,79
Gerhard,Sigrid,79
Gerhard,Sigrid,79
Aurora,Gerhard,80
Jomfru Kaas,Sigrid,81
Frøken Brun,Puyter,86
Goethe,Tante Nilles,88
Heiberg,Ole Bull,95
Gud,Nille,97
Katharina af,Morten Luther,98
Katharina af,Philip Melanchton,98
Frøken Rohde,Katharina,100
Aurora,Mortensen,103
Meyer,Mortensen,103
Hanne Strøm,Meyer,103
Hanne Strøm,Meyer,103
Frøken Rohde,Hoffmans,107
Frøken Rohde,Olaf,107
Eg,no,108
Betuven trur eg,Eg,108
Brun,Eg,109
Eg,meg,109
deg,meg,109
Aurora,eg,111
Aurora,Puyter,112
"Aurora,¹¹",Olaf,115
Doremand,Olaf,116
Gerhard,Sigrid,117
Aurora,Gerhard,117
Aurora,Olaf,117
Aurora,Don Juan,119
Aurora,Don Juan,119
Aurora,Gratie,119
Aurora,Olaf,120
Kjerulfs,Sigrid,121
Kristofine,Nille,131
Nille,Vaarlivs,131
Kristofine,Tante Nilles,132
Maren,Tante Nilles,132
Maren,Ulrikens,132
Aurora,Gerhard,140
Brun,Heiberg,144
Frøkner Puyter,Gerhard,145
Aurora,Sigrid,147
Faun,Gerhard,148
