Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Capt. Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Juno,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Brun,0,0,0,0,28,0.3,62,0.19,28,0.3,0.2,0.39,0.14,0.38
Eieren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Hansen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.0,0.0
Karl Johan,0,0,0,0,4,0.03,4,0.01,4,0.03,0.03,0.06,0.0,0.0
Ane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olaf,0,0,0,0,38,0.41,85,0.26,38,0.41,0.23,0.45,0.13,0.35
lian,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
Bjørns,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
Aurora,0,0,0,0,91,1.0,330,1.0,91,1.0,0.51,1.0,0.37,1.0
isommer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Jonas,0,0,0,0,6,0.06,7,0.02,6,0.06,0.01,0.02,0.03,0.08
s,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.03
Joakim,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Jonas Sebastian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gutten,0,0,0,0,4,0.03,4,0.01,4,0.03,0.03,0.06,0.01,0.03
Kapt. Behrens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sebastian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jonas“,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Beckers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Meyer,0,0,0,0,5,0.04,7,0.02,5,0.04,0.02,0.04,0.01,0.03
Sigrid,0,0,0,0,34,0.37,125,0.38,34,0.37,0.26,0.51,0.08,0.22
Theodor,0,0,0,0,18,0.19,48,0.14,18,0.19,0.16,0.31,0.04,0.11
Kaal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Amor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Eufemia,0,0,0,0,6,0.06,6,0.02,6,0.06,0.01,0.02,0.02,0.05
Eufemia Rohde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Major Falk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nille,0,0,0,0,11,0.11,14,0.04,11,0.11,0.11,0.22,0.04,0.11
Puyters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Mama,0,0,0,0,19,0.2,30,0.09,19,0.2,0.12,0.24,0.08,0.22
Papa,0,0,0,0,16,0.17,33,0.1,16,0.17,0.12,0.24,0.04,0.11
Heiberg,0,0,0,0,17,0.18,37,0.11,17,0.18,0.19,0.37,0.04,0.11
liensank,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
liun,0,0,0,0,3,0.02,4,0.01,3,0.02,0.04,0.08,0.01,0.03
Frøken Rohde,0,0,0,0,10,0.1,19,0.05,10,0.1,0.12,0.24,0.02,0.05
Gerhard,0,0,0,0,35,0.38,152,0.46,35,0.38,0.28,0.55,0.09,0.24
Konsul Bruns,0,0,0,0,3,0.02,3,0.01,3,0.02,0.07,0.14,0.0,0.0
Tante,0,0,0,0,5,0.04,6,0.02,5,0.04,0.07,0.14,0.01,0.03
Rhinskvin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kristofini,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tante Nilles,0,0,0,0,4,0.03,4,0.01,4,0.03,0.0,0.0,0.02,0.05
Puyter,0,0,0,0,18,0.19,32,0.09,18,0.19,0.15,0.29,0.04,0.11
Jomfru Kaas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Frøken Brun,0,0,0,0,7,0.07,8,0.02,7,0.07,0.05,0.1,0.01,0.03
Goethe,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Ole Bull,0,0,0,0,7,0.07,7,0.02,7,0.07,0.08,0.16,0.03,0.08
Gud,0,0,0,0,20,0.21,27,0.08,20,0.21,0.14,0.27,0.07,0.19
Katharina af,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Morten Luther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Philip Melanchton,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Katharina,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Mortensen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Hanne Strøm,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Hoffmans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Eg,0,0,0,0,10,0.1,10,0.03,10,0.1,0.02,0.04,0.06,0.16
no,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Betuven trur eg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
meg,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
deg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
eg,0,0,0,0,4,0.03,5,0.01,4,0.03,0.06,0.12,0.02,0.05
"Aurora,¹¹",0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Doremand,0,0,0,0,4,0.03,4,0.01,4,0.03,0.08,0.16,0.0,0.0
Don Juan,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Gratie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Kjerulfs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Kristofine,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.02,0.05
Vaarlivs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Maren,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Ulrikens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøkner Puyter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Faun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Asta,0,0,0,0,2,0.01,4,0.01,2,0.01,0.04,0.08,0.0,0.0
Voltaire,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Rousseau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Heyse,0,0,0,0,3,0.02,3,0.01,3,0.02,0.06,0.12,0.0,0.0
Luther,0,0,0,0,4,0.03,6,0.02,4,0.03,0.07,0.14,0.0,0.0
Aurora Gerhards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Praxis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Toby agterud,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
paany,0,0,0,0,9,0.09,11,0.03,9,0.09,0.12,0.24,0.01,0.03
Le fiore della Primavera,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.0,0.0
Forsmaa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,4,0.03,5,0.01,4,0.03,0.05,0.1,0.01,0.03
Aurora taug,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Zitto,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
unorsk,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.12,0.0,0.0
cara,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
mia,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
pegte,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.12,0.0,0.0
Olaf Lies,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
stelle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Herr Parelius,0,0,0,0,8,0.08,12,0.03,8,0.08,0.09,0.18,0.01,0.03
W.,0,0,0,0,3,0.02,3,0.01,3,0.02,0.03,0.06,0.0,0.0
Herr Schreiner,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Schreiner,0,0,0,0,10,0.1,12,0.03,10,0.1,0.08,0.16,0.02,0.05
Pauvre,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.0,0.0
Ida,0,0,0,0,5,0.04,7,0.02,5,0.04,0.04,0.08,0.0,0.0
Bethowen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rafael,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Michel Angelo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Minerva,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Jupiters,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
ami,0,0,0,0,3,0.02,4,0.01,3,0.02,0.02,0.04,0.01,0.03
