Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hanne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jensen,0,0,0,0,15,0.54,45,0.42,15,0.54,0.27,0.66,0.1,0.48
Kongsbaks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Frøken Parsbjærg,0,0,0,0,5,0.15,5,0.04,5,0.15,0.1,0.24,0.02,0.1
glaj,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Vilhelmine,0,0,0,0,24,0.88,75,0.71,24,0.88,0.37,0.9,0.16,0.76
Gud,0,0,0,0,12,0.42,19,0.17,12,0.42,0.18,0.44,0.05,0.24
Madam Strøms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mølsted,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Agnete,0,0,0,0,7,0.23,25,0.23,7,0.23,0.19,0.46,0.02,0.1
Aksel,0,0,0,0,27,1.0,105,1.0,27,1.0,0.41,1.0,0.19,0.9
Brentano,0,0,0,0,2,0.04,2,0.01,2,0.04,0.0,0.0,0.0,0.0
Madam Strøm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hoffmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
von Strahlenheim,0,0,0,0,2,0.04,2,0.01,2,0.04,0.05,0.12,0.01,0.05
Rosenvinge,0,0,0,0,2,0.04,2,0.01,2,0.04,0.01,0.02,0.0,0.0
Angelo,0,0,0,0,2,0.04,2,0.01,2,0.04,0.02,0.05,0.0,0.0
Strøm,0,0,0,0,13,0.46,28,0.26,13,0.46,0.26,0.63,0.07,0.33
Frydendahl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olsenlager,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Faders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Frøken Hillerup,0,0,0,0,4,0.12,4,0.03,4,0.12,0.13,0.32,0.0,0.0
Parsbjærg,0,0,0,0,7,0.23,11,0.1,7,0.23,0.14,0.34,0.03,0.14
Karen,0,0,0,0,24,0.88,69,0.65,24,0.88,0.35,0.85,0.21,1.0
Møllers,0,0,0,0,2,0.04,2,0.01,2,0.04,0.04,0.1,0.01,0.05
L’,0,0,0,0,2,0.04,2,0.01,2,0.04,0.03,0.07,0.0,0.0
Kongsbak,0,0,0,0,6,0.19,13,0.12,6,0.19,0.13,0.32,0.02,0.1
