source,target,timestamp
Sten,Stens,3
Edvard,Karl,8
Amalie,didhen,15
Edvard,Kristi,19
Edvard,Uhr,21
Bjeldeklang,Uhr,21
Fru Bul,Sten,23
F.s,Sten,24
Anna,Sofie,25
Anna,Berg,26
Anna,Svanens,29
Anna,Svanens,29
Berg,Olaf Falk,30
Anna,Hr. Berg,34
Berg,Olaf,35
Berg,Olaf,36
Berg,Olaf,36
Berg,Olaf,36
Kjøns,Olaf,36
Berg,Kjøns,36
Berg,Olaf,36
Berg,Olaf,36
Anna,Berg,36
Berg,Olaf,37
Edvard,Sten,43
Anna,Morgenstund,49
Anna,Olaf,51
Anna,Olaf,58
Bul,Olaf,61
Bul,Gutten,61
Gutten,Olaf,61
Anna,Olaf,62
Bronce,Olaf,62
Bronce,Frederik den,62
Anna,Frederik den,62
Anna,Olaf,64
Anna,Olaf,64
Anna,Ingemanns,65
Erik Menveds,Ingemanns,65
Anna,Olaf,67
Anna,Olaf,67
Anna,Olaf,67
Anna,Olaf,69
Olaf,Papa,71
Olaf,Papa,71
Anna,Papa,73
Anna,Olaf,73
Anna,Papa,80
Olaf,Papa,80
Anna,Byrons,84
Edvard,Sten,86
Edvard,Olaf,86
Olaf,Sten,86
Edvard,Sten,86
Edvard,Olaf,86
Anna,Olaf,86
Anna,Olaf,86
Anna,Olaf,86
Anna,Olaf,86
Anna,Edvard,88
Anna,Edvard,88
Anna,Edvard,88
Anna,Olaf,88
Edvard,Olaf,89
Mama,Olaf,100
Anna,Edvard,101
Edvard,Olaf,103
Anna,Olaf,107
Edvard,Olaf,107
B.,Z.,119
B.,W.,119
Anna,Olaf,123
Anna,Olaf,123
Anna,Olaf,124
Anna,Z.,126
Anna,Edvard,138
Anna,Olaf,140
Gud,Kristus,143
Anna,Olaf,144
Anna,Olaf,146
Edvard,Olaf,148
Edvard,Olaf,148
Edvard Sten,Olaf,151
Anna,Olaf,153
Anna,Olaf,153
Anna,Faust,153
Faust,Margrethes,153
Anna,Margrethes,153
Anna,Olaf,153
Anna,Olaf,156
Anna,Olaf,156
Olaf,oppebie Annas,159
Anna,Mama,161
Berg,Olaf,167
Berg,Olaf,167
Anna,Berg,167
Anna,Edvard Sten,168
Anna,Olaf,168
Edvard,Sten,169
Anna,Olaf,173
Gud,Olaf,173
Gud,Jesus Kristus,176
