Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Messina,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Penelope,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Carlo Verling,0,0,0,0,4,0.04,4,0.01,4,0.04,0.06,0.11,0.0,0.0
Hansen,0,0,0,0,28,0.39,101,0.35,28,0.39,0.28,0.53,0.16,0.28
Carlo,0,0,0,0,71,1.0,284,1.0,71,1.0,0.53,1.0,0.57,1.0
Escadren,0,0,0,0,3,0.03,3,0.01,3,0.03,0.07,0.13,0.01,0.02
k,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
s,0,0,0,0,7,0.09,20,0.07,7,0.09,0.11,0.21,0.02,0.04
Kaien,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.01,0.02
Dank,0,0,0,0,19,0.26,67,0.23,19,0.26,0.23,0.43,0.05,0.09
Verling,0,0,0,0,17,0.23,30,0.1,17,0.23,0.23,0.43,0.06,0.11
Hr. Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Lieutenant Lassen,0,0,0,0,5,0.06,8,0.02,5,0.06,0.08,0.15,0.02,0.04
Lieute-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Lieutenanten,0,0,0,0,6,0.07,9,0.03,6,0.07,0.09,0.17,0.02,0.04
nanten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Dands,0,0,0,0,4,0.04,4,0.01,4,0.04,0.09,0.17,0.0,0.0
Cadet,0,0,0,0,1,0.0,4,0.01,1,0.0,0.05,0.09,0.0,0.0
JYlle,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.09,0.0,0.0
Emil Lyng,0,0,0,0,1,0.0,3,0.01,1,0.0,0.05,0.09,0.0,0.0
Cursus,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
Sopha,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
