source,target,type,weight
Bismarck,Moltke,Undirected,1
Gud,Henriksen,Undirected,1
Anders Nielsen,Anna Kristine,Undirected,1
Ravn,sorn,Undirected,2
Ravn,adder,Undirected,1
Gud,Per Andersen,Undirected,2
Beck,Storm,Undirected,2
Beck,Krarup,Undirected,3
Beck,Ravn,Undirected,1
Ewalds,Krarup,Undirected,1
Ewalds,Keils,Undirected,1
Herredsfoged Henriksen,Krarup,Undirected,1
Jessen,Kristen Pedersen,Undirected,1
Krarup,Kristen Pedersen,Undirected,1
Jessen,Krarup,Undirected,2
Frederik d.,Jessen,Undirected,2
Gud,Hr. Greve,Undirected,1
Greven,Jessen,Undirected,3
Gud,Jessen,Undirected,4
Hans,Ole Rasmussen,Undirected,5
Greven,Hans,Undirected,1
Kristen Pedersen,Ole Rasmussen,Undirected,1
Greven,Kristen Pedersen,Undirected,1
Gud,Kristen Pedersen,Undirected,1
Hjorth,Per Andersen,Undirected,13
Jessen,Per Andersen,Undirected,1
Møller Kristensen,Per Anders,Undirected,1
Mikkel Blodpølse,Per Anders,Undirected,1
Niels Spegesild,Per Andersen,Undirected,1
Hjorth,Niels Spegesild,Undirected,1
Store Jens Persen,lille Jens Persen,Undirected,1
Jens Persen,lille Jens Persen,Undirected,1
Jens Persen,Kristen Olsen,Undirected,1
Krarup,Kristen Olsen,Undirected,1
Jens Persen,Krarup,Undirected,2
Falkenstjærne,Ole,Undirected,1
Falkenstjærne,Ole Ras,Undirected,1
Ole Rasmussen,mussen,Undirected,1
Ole,Ole Rasmussen,Undirected,1
Ole,lille Jens Persen,Undirected,1
hart,lille Jens Persen,Undirected,1
hart,lille Jens,Undirected,1
Kristensen,Per Anders,Undirected,1
Beck,Kristensen,Undirected,1
Niels,Peer Andersen,Undirected,1
Anders,Krarup,Undirected,1
Ole Rasmussen,aa,Undirected,1
Henrik Larsen,Jessen,Undirected,1
Per,Per Andersen,Undirected,1
Andersen,Per,Undirected,1
Beck,Provst Sommer,Undirected,1
Hjorth,Per«,Undirected,1
Krarup,Per Andersen,Undirected,1
Hjorth,Niels Christian Hjorth,Undirected,1
Frederik den,Jørgen Hjorth,Undirected,1
Clausen,Orla Lehmann,Undirected,1
Clausen,Ploug,Undirected,1
Ploug,nationalliberal,Undirected,1
dj,nationalliberal,Undirected,1
bf,dj,Undirected,1
Niels Chri’•'f,j,Undirected,1
Jens,j,Undirected,1
Jens,Niels Christian,Undirected,1
Per Andersen,sirtses,Undirected,1
Hjorth,liun,Undirected,2
Hjorth,Judas,Undirected,1
Judas,Kristine,Undirected,1
Gud,Kristine,Undirected,4
Krarup,Kristine,Undirected,1
Ane,Per Andersen,Undirected,1
Ane,Falkenstjærne,Undirected,1
Falkenstjærne,Hjorth,Undirected,1
Hjorth,Peer Andersen,Undirected,1
Frederik den syvende,Per Andersen,Undirected,1
Jon,Per Andersen,Undirected,1
Gud,Hjorth,Undirected,7
Niels Christian Hjorth,Per Andersen,Undirected,1
Rythme,j,Undirected,1
Hjorth,Kristian den,Undirected,1
Hjorth,Kristine,Undirected,23
Hansen,Kristine,Undirected,2
Hjorth,Petersen,Undirected,9
Petersen,sorn,Undirected,1
Hjorth,Lindekær,Undirected,7
Hansen,Hjorth,Undirected,1
Hansen,Per Andersen,Undirected,1
Kristine,Per Andersen,Undirected,13
Kristine,Per,Undirected,1
Hansen,Per,Undirected,1
Lindekær,Petersen,Undirected,2
Katekismen,Kristine,Undirected,1
Kirsten,Per Andersen,Undirected,1
Henrik Larsen,Kristine,Undirected,5
Henrik Larsen,Hjorth,Undirected,3
Henriks,Hjorth,Undirected,1
Henrik,Henriks,Undirected,1
Henrik Larsen,Per Andersen,Undirected,2
Henrik Larsen,Jonen,Undirected,1
Jonen,Kristine,Undirected,1
Henrik,Hjorth,Undirected,5
Hjorth,Lindedal,Undirected,1
Henrik Larsen hode,Per Andersen,Undirected,1
Henrik,Kristine,Undirected,5
Henrik,Karle,Undirected,1
Amanda,Herman,Undirected,1
Amanda,Henrik Larsen,Undirected,1
Henrik,Niels,Undirected,2
Kristine,Niels,Undirected,4
Kli,kla,Undirected,1
kla,kli,Undirected,1
Heinerik,lia,Undirected,2
Anders Jørgensen,Hans Olesen,Undirected,1
Anders Jørgensen,Niels,Undirected,1
Genna nernes,Hjorth,Undirected,1
