Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bismarck,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.01,0.02
Moltke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,28,0.4,46,0.25,28,0.4,0.24,0.47,0.11,0.25
Henriksen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Anders Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anna Kristine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ravn,0,0,0,0,16,0.22,30,0.16,16,0.22,0.18,0.35,0.04,0.09
sorn,0,0,0,0,4,0.04,5,0.02,4,0.04,0.03,0.06,0.01,0.02
adder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Per Andersen,0,0,0,0,22,0.31,52,0.28,22,0.31,0.22,0.43,0.06,0.14
Beck,0,0,0,0,13,0.18,16,0.08,13,0.18,0.16,0.31,0.04,0.09
Storm,0,0,0,0,4,0.04,6,0.03,4,0.04,0.08,0.16,0.0,0.0
Krarup,0,0,0,0,22,0.31,38,0.2,22,0.31,0.23,0.45,0.07,0.16
Ewalds,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.01,0.02
Keils,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Herredsfoged Henriksen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Jessen,0,0,0,0,18,0.25,41,0.22,18,0.25,0.21,0.41,0.06,0.14
Kristen Pedersen,0,0,0,0,6,0.07,6,0.03,6,0.07,0.08,0.16,0.01,0.02
Frederik d.,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.04,0.0,0.0
Hr. Greve,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Greven,0,0,0,0,4,0.04,6,0.03,4,0.04,0.04,0.08,0.0,0.0
Hans,0,0,0,0,5,0.06,10,0.05,5,0.06,0.03,0.06,0.01,0.02
Ole Rasmussen,0,0,0,0,5,0.06,9,0.04,5,0.06,0.01,0.02,0.01,0.02
Hjorth,0,0,0,0,69,1.0,182,1.0,69,1.0,0.51,1.0,0.44,1.0
Møller Kristensen,0,0,0,0,3,0.03,6,0.03,3,0.03,0.04,0.08,0.01,0.02
Per Anders,0,0,0,0,3,0.03,3,0.01,3,0.03,0.01,0.02,0.01,0.02
Mikkel Blodpølse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels Spegesild,0,0,0,0,2,0.01,2,0.01,2,0.01,0.07,0.14,0.0,0.0
Store Jens Persen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
lille Jens Persen,0,0,0,0,4,0.04,4,0.02,4,0.04,0.0,0.0,0.02,0.05
Jens Persen,0,0,0,0,3,0.03,4,0.02,3,0.03,0.02,0.04,0.01,0.02
Kristen Olsen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Falkenstjærne,0,0,0,0,4,0.04,4,0.02,4,0.04,0.05,0.1,0.02,0.05
Ole,0,0,0,0,7,0.09,9,0.04,7,0.09,0.02,0.04,0.03,0.07
Ole Ras,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
mussen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hart,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.01,0.02
lille Jens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kristensen,0,0,0,0,3,0.03,3,0.01,3,0.03,0.03,0.06,0.0,0.0
Niels,0,0,0,0,21,0.29,36,0.19,21,0.29,0.16,0.31,0.08,0.18
Peer Andersen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.06,0.12,0.0,0.0
Anders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
aa,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Henrik Larsen,0,0,0,0,8,0.1,15,0.08,8,0.1,0.13,0.25,0.01,0.02
Per,0,0,0,0,10,0.13,10,0.05,10,0.13,0.07,0.14,0.02,0.05
Andersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Provst Sommer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Per«,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Niels Christian Hjorth,0,0,0,0,3,0.03,3,0.01,3,0.03,0.09,0.18,0.0,0.0
Frederik den,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.01,0.02
Jørgen Hjorth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Clausen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Orla Lehmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ploug,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
nationalliberal,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
dj,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
bf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels Chri’•'f,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
j,0,0,0,0,3,0.03,3,0.01,3,0.03,0.0,0.0,0.01,0.02
Jens,0,0,0,0,3,0.03,3,0.01,3,0.03,0.05,0.1,0.02,0.05
Niels Christian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sirtses,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
liun,0,0,0,0,2,0.01,3,0.01,2,0.01,0.07,0.14,0.0,0.0
Judas,0,0,0,0,2,0.01,2,0.01,2,0.01,0.07,0.14,0.0,0.0
Kristine,0,0,0,0,25,0.35,81,0.44,25,0.35,0.27,0.53,0.08,0.18
Ane,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Frederik den syvende,0,0,0,0,2,0.01,2,0.01,2,0.01,0.03,0.06,0.0,0.0
Jon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Rythme,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kristian den,0,0,0,0,5,0.06,5,0.02,5,0.06,0.09,0.18,0.01,0.02
Hansen,0,0,0,0,4,0.04,5,0.02,4,0.04,0.1,0.2,0.0,0.0
Petersen,0,0,0,0,13,0.18,28,0.15,13,0.18,0.14,0.27,0.05,0.11
Lindekær,0,0,0,0,4,0.04,11,0.06,4,0.04,0.07,0.14,0.01,0.02
Katekismen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Kirsten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Henriks,0,0,0,0,2,0.01,2,0.01,2,0.01,0.06,0.12,0.0,0.0
Henrik,0,0,0,0,8,0.1,18,0.09,8,0.1,0.13,0.25,0.02,0.05
Jonen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.04,0.08,0.0,0.0
Lindedal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Henrik Larsen hode,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Karle,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Amanda,0,0,0,0,4,0.04,5,0.02,4,0.04,0.07,0.14,0.01,0.02
Herman,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kli,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kla,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
kli,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Heinerik,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
lia,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Anders Jørgensen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.02,0.01,0.02
Hans Olesen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Genna nernes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Griechenlands,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Götter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Wie ganz,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
euer Wonnedienst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
anders war,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
