Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Kristoffer Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Uhret,0,0,0,0,2,0.09,2,0.08,2,0.09,0.01,0.02,0.02,0.11
Hans,0,0,0,0,3,0.18,3,0.17,3,0.18,0.04,0.09,0.05,0.26
Julius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Albert Delacroix,0,0,0,0,6,0.45,6,0.42,6,0.45,0.12,0.27,0.13,0.68
Nielsen,0,0,0,0,9,0.73,9,0.67,9,0.73,0.22,0.5,0.12,0.63
Frk. Gjelstrup,0,0,0,0,7,0.55,9,0.67,7,0.55,0.17,0.39,0.12,0.63
Gud,0,0,0,0,12,1.0,13,1.0,12,1.0,0.44,1.0,0.19,1.0
Delacroix,0,0,0,0,4,0.27,7,0.5,4,0.27,0.2,0.45,0.03,0.16
Dr. Weil,0,0,0,0,5,0.36,5,0.33,5,0.36,0.23,0.52,0.07,0.37
Hansen,0,0,0,0,4,0.27,4,0.25,4,0.27,0.08,0.18,0.08,0.42
Frk. Hovgaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hjort,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Emilia Galotti,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Nathalie,0,0,0,0,3,0.18,3,0.17,3,0.18,0.02,0.05,0.03,0.16
Faders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stein,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frascati,0,0,0,0,2,0.09,2,0.08,2,0.09,0.01,0.02,0.0,0.0
Juliette,0,0,0,0,3,0.18,3,0.17,3,0.18,0.03,0.07,0.03,0.16
Jardin mabille,0,0,0,0,2,0.09,2,0.08,2,0.09,0.01,0.02,0.0,0.0
Juliette Faustin,0,0,0,0,7,0.55,9,0.67,7,0.55,0.06,0.14,0.08,0.42
Evropa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vestvali,0,0,0,0,2,0.09,2,0.08,2,0.09,0.0,0.0,0.0,0.0
Romeo,0,0,0,0,2,0.09,2,0.08,2,0.09,0.0,0.0,0.0,0.0
Hamlet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Albert Dela/,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Pasus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Signor Salvinis,0,0,0,0,2,0.09,2,0.08,2,0.09,0.03,0.07,0.0,0.0
Salvini,0,0,0,0,4,0.27,5,0.33,4,0.27,0.07,0.16,0.05,0.26
Mademoiselle Faustin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
