Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Helgedags,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nistemad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nisse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Far Juhls,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lovl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jan Rejersen,0,0,0,0,2,0.05,2,0.04,2,0.05,0.09,0.21,0.0,0.0
Juhl,0,0,0,0,21,1.0,25,1.0,21,1.0,0.43,1.0,0.21,1.0
Jansen Juhl,0,0,0,0,5,0.2,5,0.17,5,0.2,0.09,0.21,0.02,0.1
Carl Johan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Swardecroon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jørun Budeje,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olje,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
B’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jds,0,0,0,0,2,0.05,2,0.04,2,0.05,0.0,0.0,0.0,0.0
Kostald,0,0,0,0,2,0.05,2,0.04,2,0.05,0.0,0.0,0.0,0.0
Fjærenl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jørun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Haarstad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lensmand Haarstad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rejer,0,0,0,0,9,0.4,9,0.33,9,0.4,0.23,0.53,0.06,0.29
Rejer Jansen Juhl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Jente,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Plystre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Madam Juhl,0,0,0,0,4,0.15,4,0.12,4,0.15,0.15,0.35,0.01,0.05
Hvaljag,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kjeip,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Flan,0,0,0,0,5,0.2,5,0.17,5,0.2,0.16,0.37,0.04,0.19
karslig,0,0,0,0,2,0.05,2,0.04,2,0.05,0.03,0.07,0.02,0.1
Karl,0,0,0,0,3,0.1,3,0.08,3,0.1,0.0,0.0,0.02,0.1
Skraa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lind,0,0,0,0,16,0.75,21,0.83,16,0.75,0.43,1.0,0.14,0.67
haanlø,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.16,0.0,0.0
Stina,0,0,0,0,3,0.1,3,0.08,3,0.1,0.0,0.0,0.02,0.1
Svarte-Stinal,0,0,0,0,2,0.05,2,0.04,2,0.05,0.0,0.0,0.02,0.1
Svarte-Stina,0,0,0,0,4,0.15,4,0.12,4,0.15,0.02,0.05,0.04,0.19
Reier,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
