source,target,timestamp
Brinkmann,Wergeland,5
Herr Pehrsen,Skram,7
Karl —,Pehrsen,10
Hansen,Karl —,10
Hansen,Pehrsen,10
Skram,Sverre,12
Fjell-Lundar,Skram,20
Eierens,Pehrsen,21
Mama,Sverre,24
Mama,Sverre,24
Brinkmann,Skram,35
Pehrsen,Sverre,38
Pehrsen,Sverre,44
Pehrsen,Sverre,44
Maren,Pehrsen,47
Fredrik,Pehrsen,50
Maren,Pehrsen,54
Kristian,Sønnemand,59
Kristian,Ole Semenarist,59
Gamlingen,Pehrsen,61
Bikkja,Ole Semenarist,67
Fredrikmand,Gud,69
Gud,trut,69
Mor,trut,69
Anne Marie,Fredrikmand,71
Fredrik,Fredrikmand,74
Fredrik,Gutten,86
Erik,Fredrik,88
Erik,Fredrik,89
Erik,Fredrik,89
Erik,Fredrik,90
Sofie,Sofie Hjort,91
Persen,Sofie,91
Pehrsen,Sofie,92
Pehrsen,Sofie,93
Murillos,Pehrsen,97
Erik,Pehrsen,98
Pehrsen,Principal,98
Pehrsen,Principal,98
Kristianias Handelsverden,Pehrsen,98
Fredrik,Kristianias Handelsverden,98
Fredrik,Pehrsen,98
Pedersen,Persen,100
Pedersen,Petersen,100
Papa,Sverre,104
Mama,Sverre,107
Pehrsen,Tvedt,109
Ha.ns,Tvedt,109
Ha.ns,Pehrsen,109
Fredrik,Pehrsen,109
Pehrsen,Sverre,116
Fontainen,Wergeland,118
Papa,Sverre,120
Mama,Papa,121
Mama,Sverre,121
Gud,Papa,124
Storm,Sverre Pehrsen,132
Andrea,Sverre,133
Andrea Storm,Sverre,133
Hr. Pehrsen,Sverre,136
Andrea,Sverre,137
Andrea Storm,Sverre,141
Byron,Kirkegaard,143
Goethe,Kirkegaard,143
Andrea’,Sverre,144
Gregorovius,Sverre,144
Hr. Pehrsen,Pehrsen,146
Hr. Pehrsen,Pehrsen,146
Andrea,Sverre,147
Andrea,dandse,147
Herr Rosenius,Skram,148
Andreas blaa,Sverre,151
Andrea,Sverre,151
Høien,Pehrsen,154
Høien,langf,154
Pehrsen,Skram,155
Skram,Vale niente,156
Signore,Vale niente,156
Signore,pietra solamente,156
Niente,Signore,157
Signore,niente,157
Skram,niente,157
Pehrsen,Storm,158
Berner,Storm,158
Pehrsen,Skram,161
Pehrsen,Skram,161
Andrea,Sverre,162
Pehrsen,Sverre,162
Keats,Shelley,165
Goethe,Shelley,165
Andrea,Saga,166
Andrea,Andreas Øine,169
Dagmar,Shelley,171
Dagmar,Hauch,171
Hauch,Sverre,171
Pehrsen,Sverre,171
Skram,Sverre,172
Andrea,Sverre,172
Andrea,Lyders,172
Andrea,Sverre,173
Andrea,Pehrsen,173
,Pehrsen,173
Andrea,Sverre,174
Frøken,Sverre,176
Andrea,Sverre,179
Flan,Gyda,182
Andrea,Gyda,182
Bjørnstjerne Bjørnsons,Ole Buli,184
Andrea,Sverre,191
Andrea,Sverre,191
Sverre,spodsk,191
Andrea,Sverre,192
Andrea,Ivar Aasens,192
Ivar Aasens,Sverre,192
Andrea,Sverre,192
Andrea,Sverre,193
Andrea,Sverre,193
Andrea,Sverre,194
Andrea,Sverre,195
Andrea,Sverre,196
Andrea,Sverre,196
Andrea,Sverre,200
Robert,Sverre,203
Alexander,Cæsar,204
Cæsar,Napoleon,204
Pehrsen,Sverre,212
