Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Brinkmann,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.02,0.06
Wergeland,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.03
Herr Pehrsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Skram,0,0,0,0,14,0.35,29,0.18,14,0.35,0.24,0.53,0.13,0.38
Karl —,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Pehrsen,0,0,0,0,36,0.95,93,0.58,36,0.95,0.43,0.96,0.34,1.0
Hansen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Sverre,0,0,0,0,38,1.0,160,1.0,38,1.0,0.45,1.0,0.31,0.91
Fjell-Lundar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Eierens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Mama,0,0,0,0,2,0.03,6,0.03,2,0.03,0.06,0.13,0.0,0.0
Maren,0,0,0,0,2,0.03,3,0.01,2,0.03,0.05,0.11,0.01,0.03
Fredrik,0,0,0,0,5,0.11,10,0.06,5,0.11,0.08,0.18,0.01,0.03
Kristian,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Sønnemand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ole Semenarist,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Gamlingen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Bikkja,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fredrikmand,0,0,0,0,3,0.05,3,0.01,3,0.05,0.03,0.07,0.01,0.03
Gud,0,0,0,0,7,0.16,9,0.05,7,0.16,0.15,0.33,0.05,0.15
trut,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.03
Mor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anne Marie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gutten,0,0,0,0,3,0.05,5,0.03,3,0.05,0.06,0.13,0.02,0.06
Erik,0,0,0,0,2,0.03,5,0.03,2,0.03,0.06,0.13,0.0,0.0
Sofie,0,0,0,0,3,0.05,5,0.03,3,0.05,0.05,0.11,0.04,0.12
Sofie Hjort,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Persen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.02,0.06
Murillos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Principal,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Kristianias Handelsverden,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Pedersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.03
Petersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Papa,0,0,0,0,3,0.05,4,0.02,3,0.05,0.08,0.18,0.0,0.0
Tvedt,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Ha.ns,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Fontainen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Storm,0,0,0,0,6,0.14,7,0.04,6,0.14,0.12,0.27,0.02,0.06
Sverre Pehrsen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Andrea,0,0,0,0,25,0.65,97,0.6,25,0.65,0.35,0.78,0.2,0.59
Andrea Storm,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Hr. Pehrsen,0,0,0,0,2,0.03,3,0.01,2,0.03,0.11,0.24,0.0,0.0
Byron,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kirkegaard,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.03
Goethe,0,0,0,0,3,0.05,3,0.01,3,0.05,0.01,0.02,0.02,0.06
Andrea’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Gregorovius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
dandse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Herr Rosenius,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.09,0.0,0.0
Andreas blaa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Høien,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.11,0.01,0.03
langf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Vale niente,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.02,0.06
Signore,0,0,0,0,4,0.08,4,0.02,4,0.08,0.01,0.02,0.02,0.06
pietra solamente,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niente,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
