source,target,timestamp
Gud,Guds,3
Clarisse,banlys,10
Claudio,Greven,13
Aland,Signor,14
Clarisse,Claudio,16
Antonio,eg,31
Commandocn,Seilem,33
Antonio,Einthio,34
Jsandhed,Rosa,38
Cinthio,oni,40
Cinthio,Paolo,40
Antonio,Carlo,42
Antonio,Einthw,45
Altaverde,Einthw,45
Altaverde,stet,45
Antonio,stet,45
Antonio,Rosa,47
Antonio,Cinthio,47
Antonio,saagar,73
Antonio,bravo,79
Antonio,delle,91
Antonio,un,93
Antonio,Clemens,109
Antonio,Clemens,112
Donato saagodt,Lodoviko,115
Donato saagodt,Gud,115
Gud,sfal,115
Donato,sfal,115
Donato,Lodoviko,115
Clarisse,Claudio,117
Claudio,Signora,118
Clarisse,Greven,119
Claudio,Signor,120
Greven,Veronika,123
Clarisse,Veronika,125
Clarisse,Lodoviko,125
Lars,Zitren,134
Lodoviko,Veronika,135
Lodoviko,Veronika,137
Lodoviko,Veronika,137
Lodoviko,hnn,140
Lodoviko,Veronika,141
Lodoviko,Veronika,144
Lodoviko,Veronika,144
Lodoviko,Veronika,151
Fiamette,Zigeunere,152
Fiametta,Zigeunere,152
Clarissa,Fiametta,152
Antonio,Lodoviko,153
Antonio,Donata,153
Antonio,Donata,153
Antonio,Donato,153
Antonio,Donato,154
Antonio,Donato,154
Antonio,Lodoviko,154
Antonio,Lodovsfo,157
Antonio,Clarisse,158
Antonio,Lodoviko,158
Clarisse,Veronika,159
Clarisse,Lodoviko,159
Antonio,Clarisse,160
Lodoviko,Veronika,161
Lodoviko,Veronika,161
Antonio,Lodoviko,161
Lndoviko,Lodoviko,163
Lodoviko,bandlys,168
Lodoviko,bandlys,168
Antonio,Lodovrko,169
Antonio,Clemens,172
Clemens,Lodoviko,176
Clemens,Serano,182
Clemens,Serano,188
Antonio,Grev Seranos,190
Grev Seranos,asbryd,190
Clemens,Signor,195
Antonio,Lodoviko,198
Antonio,Lodoviko,199
Antonio,Lodoviko,200
Antonio,Lodoviko,202
Antonio,ester,208
Antonio,Gud,213
Antonio,Lodoviko,213
Ludoviko,Lødoviko,219
Antonio,Lødoviko,219
Antonio,Lødoviko,220
Antonio,Lødoviko,223
Antonio,Heida,227
Antonio,Lodoviko,228
Antonio,Lodoviko,228
Antonio,Lodoviko,231
Antonio,Clemens,241
Clemens,tilkasteöc,244
Lodoviko,Signor,245
Clemens,Lodoviko,246
Antonio,Lodoviko,250
Clemens,Lodoviko,250
Clemens,Lodoviko,252
Antonio,Lodoviko,253
Antonio,Clemens,255
Antonio,Clemens,255
Antonio,hnn,255
Clemens,Lodoviko,256
Lodoviko,Serano,256
Anfonio,Serano,256
Anfonio,Serano,258
Anfonio,Lodoviko,260
Antonio,Serano,264
Antonio,Clemens,265
Gud,eg,268
Clemens,seile,273
Clemens,Serano,273
Antonio,Clemens,277
Antonio,Clemens,286
Clemens,Serano,287
Antonio,Clemens,294
Antonio,Serano,300
Antonio,Ludoviko,305
Fernata,Ludoviko,305
Fernata,Serano,305
Ludoviko,Signor,306
Ludoviko,Serano,306
Antonio,Signor,307
Antonio,Signor,314
Clemens,Signor,314
Antonio,Clemens,317
Antonio,Serano,317
Antonio,Clemens,320
Antonio,Serano,322
Antonio,Serano,323
Antonio,Serano,323
Antonio,Serano,323
Antonio,Clemens,325
Antonio,Clemens,326
Antonio,Fiametta,326
Fernata,Fiametta,326
Donato,Fernata,326
Antonio,Clemens,327
Clemens,Serano,327
Clemens,Serano,327
Antonio,Clemens,329
Antonio,Clemens,329
Antonio,Lodoviko,333
Antonio,Lodoviko,333
Antonio,Sebastion,333
Alfonso,Sebastion,333
Alfonso,Antonio,333
Antonio,Gaudi,338
Antonio,Gaudi,339
Bellachini,Gaudi,341
Antonio,Gaudi,341
Antonio,Gaudi,342
Antonio,Gandi,349
Antonio,Fernata,351
Antonio,Gandi,357
Antonio,Fernata,358
Antonio,Gaudi knn,359
Antonio,Ludoviko,359
Gaudi,Ludoviko,363
Ludoviko,Signor Gaudi,367
Fiametta,Ludoviko,367
Fiametta,Gaudi,368
Ludoviko,l Faders,369
Antonio,Gaudi,375
Antonio,Fiametta,375
Antonio,Lodoviko,380
Antonio,Gaudi,381
Gaudi,Lodoviko,381
Alfonso,Sebastion,383
Alfonso,Fiametta,384
Antonio,Fiametta,384
Alfonso,Fiametta,386
Alfonso,Antonio,395
Alfonso,Antonio,395
Clemens,Serano,398
Antonio,Serano,398
Clemens,Serano,403
Clemens,Serano,404
Clemens,Serano,408
Antonio,Clemens,412
Clemens,Serano,413
Alfonso,Antonio,414
Antonio,Serano,414
Antonio,Sebastian,415
Clemens,Serano,416
Alfonso,ilke,420
Antonio,Lodoviko,422
Lodoviko,Serano,422
Antonio,Serano,422
Antonio,Clemens,422
Antonio,Clemens,422
Antonio,Clemens,422
Clemens,Sebastion,422
Antonio,liot,423
Antonio,liot,423
Antonio,Rosa,423
Karlo,Rosa,423
Cinthio,Karlo,423
Antonio,Cinthio,423
Antonio,Rosa,425
Antonio,Rosa,425
Antonio,Rosa,425
Antonio,Rosa,425
Antonio,Rosa,425
Antonio,Rosa,426
Clemens,Rosa,426
Altaverde,Antonio,427
Altaverde,Clemens,427
Gaudi,Signor,429
Gaudi,Lodoviko,430
Lodoviko,Serano,432
Gud,Signor,433
Antonio,Signor,434
Antonio,Fiametta,434
Fiametta,Gaudi,434
Gaudi,Lodoviko,436
Gaudi,Signor,439
Lodoviko,Signor Gaudi,440
Lodoviko,Signor,440
Gaudi,Signor,440
Fiametta,Gaudi,441
Hans,Lodoviko,442
Fiametta,Signor,445
Fiametta,Gaudi,445
Fiametta,Gaudi,448
Gaudi,Signor,450
Gaudi,Lodoviko,452
Amsclmo,Pater Benedictes,457
Pateren,Signor,458
Fernata,Gaudi,459
Pater Benedictus,Priorindens Zelle,460
Pater Benedictus,Zigcuncrne,462
Fiametta,Maria —,465
Antonio,Fiametta,469
Gaudi,Maria,473
Gaudi,Maria,476
Gaudi,Maria itale,476
Greven,Marie,484
Fiametta,Gaudi,486
Fiametta,Gaudi,489
Fiametta,Lødoviko,490
Fiametta,Lødoviko,490
Gaudi,Lødoviko,491
Gaudi,Gud,491
Gud,Lødoviko,491
Fiametta,Lødoviko,494
Fiametta,Lødoviko,494
Fiametta,Marie,495
Fiametta,Lodoviko,495
Gaudi,Lodoviko,495
Fiametta,Lodoviko,497
Fiametta,Liensa,502
Fiametta,Gaudi,503
Fiametta,Fiolanta,507
Fiametta,Fiolanta,508
Fiametta,farbavsct,509
Fernata,Fiametta,513
Fiametta,Sky,514
Fiametta,Sky,514
Fiametta,Gaudi,514
Gaudi,Lodoviko,514
Fiametta kjørte,Gaudi,517
Fiametta kjørte,Lodoviko,517
Lodoviko,Serano,517
Antonio,Serano,517
Lodoviko,rakfe,518
Antonio,rakfe,518
