source,target,type,weight
Christian,Sverig,Undirected,1
Christian,Keiseren,Undirected,4
Gustav Adolfs,Keiseren,Undirected,1
Axel Oxenstjerne,Gustav Adolfs,Undirected,1
Chrisfian,Merkurius,Undirected,1
Fama,Merkurius,Undirected,1
Ceres,Fama,Undirected,1
Ceres,Julius Cæsars,Undirected,1
Alexander den,Julius Cæsars,Undirected,1
Chrisfian den,Frederik Urne,Undirected,1
Frederik Urne,Lehnsmand,Undirected,1
Chrisfian Fris,Lehnsmand,Undirected,1
Chrisfian Fris,Frantz Rantzau,Undirected,1
Chrisfian Tomæssen Sehesfed,Frantz Rantzau,Undirected,1
Anders Bilde,Chrisfian Tomæssen Sehesfed,Undirected,1
Anders Bilde,Karlstein,Undirected,1
Karlstein,Solms,Undirected,1
Christian Fris,Frantz Rankzau,Undirected,1
Anders Bilde,Christian Fris,Undirected,1
Anders Bilde,Frantz Rankzau,Undirected,1
Frantz Rankzau,Kirsten Munks,Undirected,1
Anna Kathrine,Kirsten Munks,Undirected,1
Gefion,Rankzaus,Undirected,1
Gefion,Sverig,Undirected,1
Gustav Adolf,Sverig,Undirected,2
Elisabeth Augusta,Gustav Adolf,Undirected,1
Rankzau,Sverig,Undirected,1
Frederik Urne,Thurn,Undirected,1
Solm,Thurn,Undirected,2
Fegræus,Sverig,Undirected,1
Holk,Wollenstem,Undirected,1
Johan den,Otto Ludvig,Undirected,2
Christian den,Otto Ludvig,Undirected,1
Christian den,nedersachsifle,Undirected,2
Kirsten,Munk,Undirected,3
Kong Valdemars,Munk,Undirected,1
Kong Valdemars,Ludvig Munk,Undirected,1
Lehnsmand,Ludvig Munk,Undirected,1
Lehnsmand,Marsvin,Undirected,1
Kirsten Munk,Marsvin,Undirected,6
Christian den,Kirsten Munk,Undirected,4
Kirsten,Taflet,Undirected,1
Kai Lykkes,Lykke,Undirected,1
Christian Fris,Kai Lykkes,Undirected,1
Christian Fris,Fris,Undirected,1
Karen,Kirsten,Undirected,1
Karen,Rothkirch,Undirected,1
Jens Munk,Karen Munks,Undirected,2
Frederik den,Jens Munk,Undirected,1
Munk,Solm,Undirected,1
Christian den,Munk,Undirected,2
Christian den,Thurn,Undirected,1
Munk,Thurn,Undirected,1
Munk,Rensund,Undirected,1
Frederik Quintzov,Lykke,Undirected,1
Frederik Quintzov,Pernille,Undirected,1
Karen Munk,Pernille,Undirected,1
Christian,Karen Munk,Undirected,3
Christian,Rantzau,Undirected,1
Rantzau,Rothkirch,Undirected,2
Christian den,Henrik Ramel,Undirected,2
Karen Munk,Rothkirch,Undirected,1
Jens Boltmester,Karen Munk,Undirected,1
Jens Boltmester,Lykke,Undirected,1
Gud,Lykke,Undirected,1
Henrik,Karen Munk,Undirected,3
Ramel,Vams,Undirected,1
Henrik Ramel,Jens Munk,Undirected,2
Henrik Ramel,Ramel,Undirected,5
Karen,Ramel,Undirected,5
Henrik Ramel,Karen Munk,Undirected,14
Karen Munk,Ramel,Undirected,3
Henrik Ramel,Karen,Undirected,7
Henrik Ramel,Kaptain Munk,Undirected,2
Kaptain Munk,Karen,Undirected,2
Anna Kathrina,Karen,Undirected,1
Anna Kathrina,Sophia,Undirected,1
Eleonora Kristine,Sophia,Undirected,1
Eleonora Kristine,Valdemar,Undirected,1
Sophia Hedvig,Valdemar,Undirected,1
Ernst Casimir,Sophia Hedvig,Undirected,1
Ernst Casimir,Karen “,Undirected,1
Dorthe,Karen “,Undirected,1
Dorthe,Karen,Undirected,11
Dorthe,Jomfru Munk,Undirected,2
Jomfru Munk,Karen,Undirected,3
Stralfund,Wallenstein,Undirected,1
Christian den,Wallenstein,Undirected,2
Christian den,Stralsund,Undirected,1
Admiral Henrik Vind,Stralsund,Undirected,1
Admiral Henrik Vind,Markvard Rankzau,Undirected,1
Christian den,Markvard Rankzau,Undirected,1
Karen,Karen Munk,Undirected,8
Karen,Munk,Undirected,9
Marie,Otto,Undirected,1
Jens Boltmester,Otto,Undirected,1
Jens,Otto,Undirected,1
Munk,hans Kaarde,Undirected,1
Dorthe,Kirsten Munk,Undirected,2
Kirsten Munk,Vibeke Kruse,Undirected,6
Dorthe,Vibeke Kruse,Undirected,1
Dorthe,Marie,Undirected,2
Marie,Vibeke,Undirected,1
Marsvin,Vibeke,Undirected,3
Dorthe,Vibeke,Undirected,1
Anna Jacob Mikelsøn,Dorthe,Undirected,1
Jens Munk,Kirsten Munk,Undirected,2
Kirsten Munk,Munk,Undirected,3
Kaptain Munk,Rothkirch,Undirected,2
Karen,Kirsten Munk,Undirected,3
Marsvin,Munk,Undirected,1
Christian den Fjerdes,Marsvin,Undirected,1
Christian den Fjerdes,Jens Munk,Undirected,1
Jens Munk,Karen,Undirected,2
Munk,Rothkirch,Undirected,3
Jens Munk,Rothkirch,Undirected,1
Jacob Mikelsøns,Karen,Undirected,1
Anna,Jacob Mikelsøns,Undirected,1
Anna,Jomfru Munk,Undirected,1
Henrik Ramel,Rothkirch,Undirected,2
