source,target,timestamp
Christian,Sverig,1
Christian,Keiseren,1
Gustav Adolfs,Keiseren,1
Axel Oxenstjerne,Gustav Adolfs,1
Chrisfian,Merkurius,2
Fama,Merkurius,2
Ceres,Fama,2
Ceres,Julius Cæsars,2
Alexander den,Julius Cæsars,2
Chrisfian den,Frederik Urne,3
Frederik Urne,Lehnsmand,3
Chrisfian Fris,Lehnsmand,3
Chrisfian Fris,Frantz Rantzau,3
Chrisfian Tomæssen Sehesfed,Frantz Rantzau,3
Anders Bilde,Chrisfian Tomæssen Sehesfed,3
Anders Bilde,Karlstein,3
Karlstein,Solms,3
Christian Fris,Frantz Rankzau,4
Anders Bilde,Christian Fris,4
Anders Bilde,Frantz Rankzau,4
Frantz Rankzau,Kirsten Munks,4
Anna Kathrine,Kirsten Munks,4
Gefion,Rankzaus,5
Gefion,Sverig,5
Gustav Adolf,Sverig,6
Elisabeth Augusta,Gustav Adolf,7
Rankzau,Sverig,8
Frederik Urne,Thurn,9
Solm,Thurn,9
Fegræus,Sverig,10
Holk,Wollenstem,11
Johan den,Otto Ludvig,13
Johan den,Otto Ludvig,13
Christian den,Otto Ludvig,13
Christian den,nedersachsifle,13
Christian den,nedersachsifle,13
Kirsten,Munk,14
Kong Valdemars,Munk,14
Kong Valdemars,Ludvig Munk,14
Lehnsmand,Ludvig Munk,14
Lehnsmand,Marsvin,14
Kirsten Munk,Marsvin,14
Christian den,Kirsten Munk,14
Kirsten,Taflet,15
Kai Lykkes,Lykke,21
Christian Fris,Kai Lykkes,21
Christian Fris,Fris,21
Karen,Kirsten,22
Karen,Rothkirch,22
Jens Munk,Karen Munks,25
Jens Munk,Karen Munks,25
Frederik den,Jens Munk,25
Solm,Thurn,27
Munk,Solm,27
Christian den,Munk,28
Christian den,Thurn,28
Munk,Thurn,28
Munk,Rensund,29
Frederik Quintzov,Lykke,30
Frederik Quintzov,Pernille,30
Karen Munk,Pernille,30
Christian,Karen Munk,30
Christian,Rantzau,30
Rantzau,Rothkirch,30
Christian den,Henrik Ramel,32
Karen Munk,Rothkirch,35
Jens Boltmester,Karen Munk,35
Jens Boltmester,Lykke,35
Gud,Lykke,35
Henrik,Karen Munk,36
Ramel,Vams,39
Henrik Ramel,Jens Munk,40
Henrik Ramel,Ramel,40
Karen,Ramel,40
Henrik Ramel,Karen Munk,41
Karen Munk,Ramel,49
Henrik Ramel,Karen,50
Henrik Ramel,Kaptain Munk,50
Kaptain Munk,Karen,50
Anna Kathrina,Karen,50
Anna Kathrina,Sophia,50
Eleonora Kristine,Sophia,50
Eleonora Kristine,Valdemar,50
Sophia Hedvig,Valdemar,50
Ernst Casimir,Sophia Hedvig,50
Ernst Casimir,Karen “,50
Dorthe,Karen “,50
Dorthe,Karen,50
Dorthe,Karen,50
Dorthe,Jomfru Munk,50
Jomfru Munk,Karen,50
Dorthe,Karen,50
Stralfund,Wallenstein,51
Christian den,Wallenstein,51
Christian den,Stralsund,51
Admiral Henrik Vind,Stralsund,51
Admiral Henrik Vind,Markvard Rankzau,51
Christian den,Markvard Rankzau,51
Karen,Karen Munk,53
Kaptain Munk,Karen,54
Karen,Munk,54
Marie,Otto,57
Jens Boltmester,Otto,65
Jens,Otto,65
Munk,hans Kaarde,66
Karen,Munk,68
Karen,Munk,68
Dorthe,Kirsten Munk,69
Kirsten Munk,Vibeke Kruse,69
Dorthe,Vibeke Kruse,69
Dorthe,Marie,69
Marie,Vibeke,69
Marsvin,Vibeke,69
Dorthe,Vibeke,70
Anna Jacob Mikelsøn,Dorthe,71
Jens Munk,Kirsten Munk,76
Kirsten Munk,Munk,78
Kirsten,Munk,78
Kaptain Munk,Rothkirch,80
Kirsten Munk,Munk,82
Karen,Kirsten Munk,82
Karen,Munk,82
Marsvin,Munk,82
Christian den Fjerdes,Marsvin,82
Christian den Fjerdes,Jens Munk,82
Jens Munk,Karen,82
Munk,Rothkirch,88
Munk,Rothkirch,89
Jens Munk,Rothkirch,89
Jomfru Munk,Karen,91
Jomfru Munk,Karen,91
