Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
H. F. Randul,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mr. George Randul,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Agnes,0,0,0,0,73,1.0,619,1.0,73,1.0,0.51,1.0,0.55,1.0
Carl Bøget,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Agnes Bøget,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.01,0.02
Hans Randul,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud sfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gustav,0,0,0,0,34,0.46,289,0.47,34,0.46,0.31,0.61,0.18,0.33
s,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Wir,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
die edle Zeit benukzen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
,0,0,0,0,18,0.24,147,0.24,18,0.24,0.23,0.45,0.05,0.09
Mr. Georges Randul,0,0,0,0,2,0.01,2,0.0,2,0.01,0.07,0.14,0.0,0.0
Gud,0,0,0,0,15,0.19,43,0.07,15,0.19,0.19,0.37,0.06,0.11
kastei,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.12,0.0,0.0
Georges,0,0,0,0,2,0.01,4,0.0,2,0.01,0.05,0.1,0.0,0.0
Hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
ester,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Georges Randul,0,0,0,0,2,0.01,6,0.01,2,0.01,0.05,0.1,0.0,0.0
Randuls,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Tu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
hnn,0,0,0,0,6,0.07,11,0.02,6,0.07,0.1,0.2,0.03,0.05
Randul,0,0,0,0,19,0.25,88,0.14,19,0.25,0.19,0.37,0.13,0.24
Engelsf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Sonders,0,0,0,0,26,0.35,129,0.21,26,0.35,0.25,0.49,0.16,0.29
Hr. Sonders,0,0,0,0,3,0.03,3,0.0,3,0.03,0.03,0.06,0.0,0.0
Gittes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Geld hat Werth,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
Spaadom,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
tom,0,0,0,0,3,0.03,3,0.0,3,0.03,0.08,0.16,0.0,0.0
sidsfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Gitte,0,0,0,0,3,0.03,4,0.0,3,0.03,0.08,0.16,0.0,0.0
Aaget,0,0,0,0,2,0.01,3,0.0,2,0.01,0.07,0.14,0.0,0.0
Jeannet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Mrs. Nolly,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Pam,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Christus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
bendes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.07,0.14,0.0,0.0
Valsens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
sknlde,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.01,0.02
hau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Byrons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Hnn,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
as,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.0,0.0
TMereu,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Sonder^,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Frue,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
ovMi,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.01,0.02
Hemdes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ami,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
hmn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hemde,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.03,0.05
oz,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.12,0.0,0.0
iwedems,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.01,0.02
hxMi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kraff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Mr. Balley,0,0,0,0,5,0.06,10,0.01,5,0.06,0.13,0.25,0.0,0.0
Mr. Ballev,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Mr. Valley,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Harriet,0,0,0,0,8,0.1,18,0.03,8,0.1,0.16,0.31,0.02,0.04
Miss Nollys,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Nollys,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Nolly,0,0,0,0,4,0.04,7,0.01,4,0.04,0.08,0.16,0.01,0.02
Ieg,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
