source,target,type,weight
Harald,Harald haarfagre,Undirected,1
Harald,Hersen,Undirected,1
Harald haarfagre,Olav Haraldsøn,Undirected,5
Baard,Jorun,Undirected,1
Baard,Joruii,Undirected,1
Baard,Morbroder Børgolf,Undirected,1
Baard,Snefrid,Undirected,2
Baard,Karl,Undirected,2
Jorun,Unne,Undirected,1
Hersen,Unne,Undirected,1
Hersen,Snefrid,Undirected,8
Snefrid,tine,Undirected,1
Jorun,Snefrid,Undirected,6
Snefrid,Stejnarstad,Undirected,2
Guttorm,Unne,Undirected,2
Guttorm,Snefrid,Undirected,15
Gubben,Snefrid,Undirected,3
Hejdmørk,Olav Haraldsøn,Undirected,1
Herse,Kong Ræreks,Undirected,1
Deiæs,Hersen,Undirected,1
Kong Olavs,Thore lange,Undirected,1
Heill,sæll,Undirected,1
Arnebaal,Thore lange,Undirected,1
Kong Olav,Thore lange,Undirected,1
Hersen,Kong Olav,Undirected,5
Erling Hognesøn,Hersen,Undirected,3
Erling Hognesøn,Kong Olav,Undirected,3
Kong Olav,Lejfsøn,Undirected,1
Hjalte Skeggesøn,Lejfsøn,Undirected,1
Hjalte Skeggesøn,Kong Olav,Undirected,1
Bjørn Staller,Hjalte Skeggesøn,Undirected,1
Snefrid,Ten,Undirected,1
Guttorm,Haakon Jarl,Undirected,1
Erik,Guttorm,Undirected,1
Erik,Svejn,Undirected,1
Olaf Haraldsøn,Sæla,Undirected,1
Erling,Harald grænske,Undirected,1
Harald grænske,Olav Haraldsøn,Undirected,1
Harald haarfagre,Thore,Undirected,1
Bjørn Haraldsøns,Thore,Undirected,1
Bjørn Haraldsøns,Harald grænske,Undirected,1
Harald grænske,Sigurd Syr,Undirected,1
Sigurd,Sigurd Syr,Undirected,1
Olav,Sigurd,Undirected,1
Olav,Sverig,Undirected,1
Erik Jarl,Guttorm,Undirected,1
Knut Danekonge,Thore,Undirected,1
Knut Danekonge,Olof Sveakonge,Undirected,2
Olav Haraldsøn,Olof Sveakonge,Undirected,1
Olav Haraldsøn,djærv,Undirected,1
aarie,djærv,Undirected,1
Upsal,aarie,Undirected,1
Bjørn Staller,Upsal,Undirected,1
Bjørn Staller,Hjalte,Undirected,1
Hjalte,Skeggesøn,Undirected,1
Erling,Hjalte,Undirected,1
Bjørn,Guttorm,Undirected,1
Guttorm,Hjalte,Undirected,1
R.ejse,Ragnvald,Undirected,1
R.ejse,Thore,Undirected,1
Kong Olav,Thore,Undirected,2
Ejlif götske,Thore,Undirected,1
Børgolf,Snefrid,Undirected,6
Børgolf,Hersen,Undirected,6
Axel,Børgolf,Undirected,1
Berse,Børgolf,Undirected,3
Børgolf,Guttorm,Undirected,6
Erling,Guttorm,Undirected,5
Børgolf,Erling,Undirected,6
Erling,Snefrid,Undirected,28
Børgolf,Hersedatter,Undirected,1
Erling,Erling Hognesøn,Undirected,1
Erling Hognesøn,Snefrid,Undirected,2
Snefrid,Væve,Undirected,1
Snefrid,liun,Undirected,1
Erling,Jorun,Undirected,1
Ragna,SkæbneBrand,Undirected,1
Ragna,Snefrid,Undirected,2
Brand,Snefrid,Undirected,1
Brand,Hersedatter,Undirected,1
Brand,Ragna,Undirected,6
Hjørdis,Ragna,Undirected,1
Erling,Kong Olav,Undirected,3
Kong Olav,nidde,Undirected,1
Snille,Thore,Undirected,1
Guttorm Herse,Vaas,Undirected,1
Kong Olav,Olav Haraldsøn,Undirected,1
Harald haarfagre,Olav,Undirected,2
Olav,Thore Sæl,Undirected,1
Arilds,Olav Haraldsøn,Undirected,1
Olav Haraldsøn,Rærik,Undirected,1
Olav,Rærik,Undirected,1
Haraldsøn,Olav,Undirected,4
Guttorm,Herse,Undirected,8
Gubben,Herse,Undirected,1
Olav Haraldsøn,Raumarikes,Undirected,1
Gud,siden'Olav Trygvesøn,Undirected,1
Guttorm,lian,Undirected,2
Gubben,Kristus,Undirected,1
Gubben,Olav,Undirected,1
Herse,Olav Konning,Undirected,1
Kristus,lian,Undirected,2
Knut Danekonge,Kristus,Undirected,1
Gut,orm,Undirected,1
Gubben,orm,Undirected,1
Gubben,Krist,Undirected,1
Olav Haraldsøn,•Grimkel,Undirected,1
Klærken,Olav Haraldsøn,Undirected,1
Gud,Klærken,Undirected,1
Gud,Kristus,Undirected,2
Svend,Thore,Undirected,1
Gud,Thore,Undirected,4
Kong Olav,Sigurd,Undirected,1
Sigurd,Thore,Undirected,1
Erling Hognesøn,Olav,Undirected,1
Erling,Olav,Undirected,2
