Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Erik Gorm,0,0,0,0,2,0.03,3,0.01,2,0.03,0.04,0.09,0.0,0.0
Gorm,0,0,0,0,11,0.28,15,0.07,11,0.28,0.27,0.6,0.04,0.08
Halte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fisker,0,0,0,0,3,0.06,3,0.01,3,0.06,0.03,0.07,0.0,0.0
Niels Olsen,0,0,0,0,6,0.14,11,0.05,6,0.14,0.11,0.24,0.03,0.06
Gud,0,0,0,0,4,0.08,4,0.02,4,0.08,0.06,0.13,0.03,0.06
f,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
j,0,0,0,0,3,0.06,4,0.02,3,0.06,0.03,0.07,0.07,0.14
Tora,0,0,0,0,37,1.0,200,1.0,37,1.0,0.45,1.0,0.5,1.0
nette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Mariane,0,0,0,0,5,0.11,6,0.03,5,0.11,0.12,0.27,0.03,0.06
Principal,0,0,0,0,2,0.03,3,0.01,2,0.03,0.08,0.18,0.0,0.0
Tomsen,0,0,0,0,12,0.31,42,0.21,12,0.31,0.26,0.58,0.15,0.3
Emilie Holsted,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Berta,0,0,0,0,3,0.06,6,0.03,3,0.06,0.06,0.13,0.01,0.02
Karlen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
tom,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Edvard,0,0,0,0,24,0.64,174,0.87,24,0.64,0.34,0.76,0.26,0.52
Julius,0,0,0,0,21,0.56,155,0.77,21,0.56,0.34,0.76,0.19,0.38
Toras Formening,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.18,0.0,0.0
Principalens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
