Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hugo Gerber,0,0,0,0,17,0.47,24,0.19,17,0.47,0.28,0.7,0.09,0.25
Olsen,0,0,0,0,13,0.35,22,0.17,13,0.35,0.27,0.68,0.04,0.11
Gerber,0,0,0,0,11,0.29,29,0.23,11,0.29,0.23,0.57,0.04,0.11
Weidemann,0,0,0,0,8,0.21,16,0.12,8,0.21,0.18,0.45,0.02,0.06
Hugo,0,0,0,0,15,0.41,43,0.34,15,0.41,0.3,0.75,0.06,0.17
Tellefsen,0,0,0,0,13,0.35,28,0.22,13,0.35,0.21,0.52,0.1,0.28
Trippel,0,0,0,0,6,0.15,9,0.07,6,0.15,0.12,0.3,0.02,0.06
Hans Olsen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.1,0.0,0.0
Pedersen,0,0,0,0,7,0.18,7,0.05,7,0.18,0.11,0.27,0.02,0.06
Grethe Weidemanns,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
Ami,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Grethe Weidemann,0,0,0,0,9,0.24,9,0.07,9,0.24,0.15,0.37,0.05,0.14
odden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Grethe,0,0,0,0,35,1.0,124,1.0,35,1.0,0.38,0.95,0.36,1.0
kapseilads,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Emil Zola,0,0,0,0,2,0.03,3,0.02,2,0.03,0.05,0.12,0.0,0.0
madam Skreiner,0,0,0,0,6,0.15,10,0.07,6,0.15,0.13,0.33,0.0,0.0
hugaf,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.1,0.0,0.0
brisen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Hugo „,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Laura Henriksen,0,0,0,0,6,0.15,6,0.04,6,0.15,0.18,0.45,0.0,0.0
Laura,0,0,0,0,32,0.91,111,0.89,32,0.91,0.4,1.0,0.35,0.97
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
don Juan,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.15,0.0,0.0
taus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Grethe smitle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Jad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
far,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Kristensens,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.1,0.0,0.0
Huttetu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Gud,0,0,0,0,16,0.44,25,0.2,16,0.44,0.19,0.47,0.12,0.33
Kjære,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Laurå,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.1,0.0,0.0
Josefine Pedersen,0,0,0,0,6,0.15,11,0.08,6,0.15,0.1,0.25,0.03,0.08
Josefine,0,0,0,0,3,0.06,22,0.17,3,0.06,0.06,0.15,0.0,0.0
helle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
iveien,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.1,0.0,0.0
huttetu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Josefine forte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Alen,0,0,0,0,4,0.09,6,0.04,4,0.09,0.09,0.22,0.0,0.0
Maren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
candidat,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
liam,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.1,0.02,0.06
høire,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Alan,0,0,0,0,8,0.21,8,0.06,8,0.21,0.09,0.22,0.1,0.28
Aline,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Felix,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.02,0.06
Faustina,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
raison,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.1,0.02,0.06
•J,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peder Hansen,0,0,0,0,4,0.09,5,0.03,4,0.09,0.08,0.2,0.0,0.0
lian,0,0,0,0,3,0.06,3,0.02,3,0.06,0.08,0.2,0.0,0.0
Eline,0,0,0,0,4,0.09,7,0.05,4,0.09,0.06,0.15,0.02,0.06
Peder,0,0,0,0,4,0.09,5,0.03,4,0.09,0.07,0.18,0.02,0.06
kveld,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.12,0.0,0.0
kauri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Grethe AVeidemann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
niti,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
klein,0,0,0,0,1,0.0,2,0.01,1,0.0,0.01,0.02,0.0,0.0
kvak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
H.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jfr. L.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
stakkar,0,0,0,0,4,0.09,7,0.05,4,0.09,0.12,0.3,0.01,0.03
sands,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.15,0.0,0.0
candidat Gerber,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Heine,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.0,0.0
Jensen,0,0,0,0,10,0.26,20,0.15,10,0.26,0.08,0.2,0.1,0.28
liun,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.12,0.0,0.0
jomfru Henriksen,0,0,0,0,2,0.03,5,0.03,2,0.03,0.02,0.05,0.02,0.06
pastor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
ban,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Stakkars,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.0,0.0
Hugos gamle ven,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Candidat Gerber,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.0,0.0
