source,target,timestamp
Somme,somme,5
Bendikte,Lise,11
Guds,Mama,16
Guds,Helleman,16
Gud,Helleman,16
Gud,Stuart,18
Gud,véd,18
Aager,Hagbarth,19
Hagbarth,Lucie,20
Hagbarth,Lucie Holter,22
Endehaar,Hagbarth,22
Gud,Madam Sørensen,25
Asen,Madam Nittier,28
Gud,Madam Jansen,29
Bagger,Hagbarth,34
Astrids,Kirsten Pige,48
Anders Tømmermand,Kirsten Pige,48
Carl Johan Jonathan Aaberg,Kaptein,49
Astrid,Mama,52
Astrid,Hagbarth,52
Kirsten,Papa,59
Astrid Åberg,Hagbarth,64
Astrid o,Hagbarth,64
Astrid o,Hagbarth,64
Astrid,Hagbarth,66
Jakob,Rachel,70
Grim,Tande,71
Eilertsen,Tande,71
Bagger,Eilertsen,71
Bagger,Hagbarth,71
Hagbarth August Randulf Fris,Laudabilis præceteris,86
Astrid,Hagbarth,90
Astrid Aaberg,Eilif Skaar,95
Astrid,Eilif Skaar,95
Astrid Aaberg,Madam Nittier,96
Astrid,Hagbarth Fris,97
Astrid Aaberg,dyb,98
Far,Skaar,99
Frøken Aaberg,Gud,103
Guttorm,ifjor,105
Bertel,Morten,107
Gunnar,Morten,107
Gunnar,Knud,107
Guttorm,Knud,107
Astrid,Eilif Skaar,114
Akazie,Eilif,115
Astrid,Vedbend,117
Jasmin,Vedbend,117
Bjørnsons,Eilif Skaar,127
Astrid,Bjørnsons,127
Astrid,Rythme,127
Astrid,Kandidaten,134
Astrid Aaberg,Eilif Skaar,135
Astrid,Kaptein Aabergs,147
Astrid,sorn,150
Hagbarth,sorn,150
Astrid,Hagbarth,150
Gretschel,Lucy min,160
Blaasyre,Rolf Elvig,168
frir,lian,173
Karstens,Wahl,175
Clotilde Mørk,Frøken Emma,179
Dandsens,Gud,183
Emma,Schawl,186
Emma,aa,186
Madam,Nitler,194
Holther,Madam Nittier,197
Holther,Jomfru Grøn,197
Gud,Madam Jonsen,198
Eilif Skaar,Madam Nitler,199
Karl,Madam Nitler,202
Eilif,Madam Nitler,203
Eilif Skaar,Madammen,204
.Madam Nitler,Graad,206
Astrid,Eilif,208
Apothekers,Eilif Skaar,212
Apothekers,Astrid Aaberg,212
Astrid Aaberg,Hagbarth Fris,212
Astrid,læno,214
Astrid,Eilif,215
Astrid,Gud,215
Eilif Skaar,Kaptein Aabergs,216
Fischer,Gud,221
Astrid,Kaptein Aaberg,222
Eilif,Maks,233
Eilif,Rolf Elvig,234
Eilif,Scepter,234
Adolf Brun,Eilif,237
Eilif,Skaar,240
Eilif,Skaar,247
Eilif,Skaar,247
Eilif,Skaar,247
Eilif,Skaar,247
Herf,Karsten,252
Bataillen,Herf,252
Beethovens,Eilif Skaar,256
Karsten,bravissimo,265
Eilif Skaar,Wahl,269
Eilif Skaar,Wahl,269
Astrid,Eilif,275
Jørgine Vadsker,Madam Nittier,279
Astrid,Jørgine Vadsker,279
Astrid,Eilif,279
Eilif,Fris,279
Skaar,kern,280
Astrid,Eilif Skaar,282
Jørgine Vadsker,Ssepter,290
Jørgine Vadsker,Madam Nittier,293
Ellen,Kirsten Pige,295
Jørgine Vadsker,Madam Nittier,296
Madam Nittier,helil,296
Eilif Skaar,cfterglemt,300
Eilif Skaar,Holten,306
Eilif,Skaar,309
Astrid,Skaar,309
Astrid,Holter,309
Konsulen,Madam Nittier,314
Hagbarth,Madam Nittier,316
Ghopins,c,317
Jesus,Mama,318
Gud,Lucy,321
Anders,Hagbarth,331
Jørgen Postbud,Kaptejnens,338
Jørgen,Kaptejnens,338
Astrid,Jørgen,340
Astrid,Jørgen Postbud,340
Astrid Aaberg,Gud,344
Astrid Aaberg,Eilif,346
Astrid,Eilif Skaar,348
Astrid,Hagbarth,362
Astrid,Eilif Skaar,370
Eilif,Skaar,374
Hagbarth Fris,Skaar,374
Astrid Aaberg,Hagbarth Fris,374
Astrid —,Hagbarth,376
Eilif Skaar,Skaar,377
Eilif,Skaar,377
Astrid Aaberg,Hagbarth Fris,379
Hagbarth Fris,Kandidaten,379
Eilif Skaar,Madam Nittier,389
Jasmin,Vedbend,392
Hiin,Vedbend,392
Eilif,Skaar,405
Astrid,Skaar,405
Ellen,Jørgine Vadsker,406
Karl,Madam Nittier,409
Astrid,Karl,409
Astrid,Eilif,410
Astrid,Eilif,410
Astrid,slig,410
Eilif Skaar,Hagbarth,411
Eilif,Eilif Skaar,413
Fris,Madam Nittier,416
Madam Jansen,Madam Nittier,418
Astrid,Kaptein,419
Astrid,Eilif,419
