source,target,timestamp
Gotlieb,Principals,13
Eva,Robert,24
Kitty,sfal,41
Kitty,Seir,41
Kitty,Zigeunerske,42
Zigeunerske,galant,43
Jsflade,Kitty,47
Kitty,Pelts,51
Kitty,Pelts,51
Eva,Mari,58
Eva,Robert,63
Mari,Robert,65
Eva,Robert,73
Janne,Robert,101
Janne,Robert,114
Harders,Robert,125
Gotlieb,Nei,145
Gotlieb,Kitty,145
Gotlieb,Seiren,148
KampenKitty,Seiren,148
Mari,Robert,154
Eva,Mari,154
Gud,Janne,156
Mari,Robert,157
Eva,Mari,160
Eva,Janne,166
Eva,vovsde,168
Harders,Madam Frederiksen,179
Harders,Robert,179
Eva,Mari,186
Eva,Robert,189
Eva,Mari,191
Gotlieb,Kitty,194
Svend,lange,209
Svend,lange,209
Kallesen,Svend,213
Eva,Robert,215
Eva,Robert,217
Mester Jepsen,Robert,218
Frederiksen,Robert,219
Jepsens,siig,220
Kallesen,Robert,221
Kitty,Robert,230
Kitty,Robert,231
Kitty,Robert,242
Aukfionen,Kitty,244
Gud,Madam,251
Anna,Kitty,258
,Agnes,269
,Kitty,269
Agnes,Assessor Rung,277
Agnes,Kitty,278
Gotlieb,Kitty,292
Gotlieb,Kitty,292
Gotlieb,Kitty,300
Gotlieb,Kitty,301
Robert,hart,314
Harders,Robert,315
Harders,Robert,315
Kitty,Robert,318
Gotlieb,Kitty,325
Kitty,sg,327
Gotlieb,ester,330
Harders,Pallesen,333
Greven,Kitty,334
Grev Hambroes,as,337
Kitty Harder,Pallefen,345
Greven,Kitty,349
Greven,Kitty,351
Greven,Lene,370
Greven,Kitty,374
Greven,Kitty,376
Greven,Kitty,381
Greven,Kitty,387
Greven,Kitty,395
Greven,Kitty,397
Greven,Gud,409
Mutter,Præsfen,412
Greven,Kitty,415
Greven,Kitty,416
Flora,Greven,417
Greven,Kitty,422
Mester Jepsen,Robert,431
Robert,taus,434
Jepsen,Robert,443
Gud,Jepsen,443
Gud,Mesfer Jepsen,443
Mesfer Jepsen,Robert,443
Mester Jepsen,Stueuhr,445
Jepsen,Robert,446
Jepsen,Kalle,450
Mari,Mester Jepsen,455
Eva,Robert,457
Eva,Mari,459
Mester Jepsen,barst,462
Jepsen,Svend,463
Mari,Robert,464
Eva,Robert,467
Eva,Robert,467
Robert,husf,467
Janne,Robert,472
Eva,Janne,479
Eva,Robert,487
Janne,Robert,488
Eva,Robert,490
Janne,Robert,490
Janne,løi,495
Janne,hnn,503
Gud,hnn,503
Eva,Robert,506
Karakteer,Robert,507
Eva,Janne,508
Eva,Robert,508
Janne,Robert,508
Janne,Robert,508
Laura,Svend,513
Herr Frederiksen,Svend,513
Herr Frederiksen,Janne,513
Robert,lille Frue,514
Kitty,Robert,515
Janne,dandse,518
Laura,Robert,519
Janne,dandse,522
Robert,dandse,522
Laura,Robert,522
Laura,Robert,522
Janne,Robert,524
Janne,Laura,525
Janne,Laura,526
Janne,Robert,526
Janne,Robert,530
Janne,Svend,535
Laura,Robert,538
Janne,Robert,545
Janne,Laura,546
Janne,Laura,549
Laura,Robert,550
Janne,Laura,550
Janne,Laura,576
Harder,taus,582
Harder,Klement,591
Harder,Klement,595
Gud,Kitty,621
Gud,Harder,621
Gud,Harder,621
Gud,Harder,621
Gud,jpaa,649
Gud,Kitty,665
Anders,Pasforen,670
Kitty,Pallesen,680
Greven,Kitty Harder,683
Anders,Kitty Harder,683
Greven,Kitty,693
Herr Greve,Kitty,694
Greven,Kitty,707
Greven,Steffen,709
Greven,Kitty vårene,711
Pallesen,Ritter,712
Flora,barsf,713
Kitty,Steffen,719
Greven,Steffen,720
Høibords,Kitty,727
Kitty,Robert,740
Robert,jdet,740
Amor,Kitty,743
Amor,Robert,743
Mari,Robert,743
Eva,Mari,743
Kitty,Robert,748
Mari,Robert,748
Kitty,Mari,749
Kitty Harder,Mari,751
Kitty,Mari,754
Kitty Harder,Mari,757
Kitty,Mari,758
Haan,Mari,764
Haan,Kitty,764
Gotlieb,Kitty,778
Kitty,Mari,789
Gotlieb,Kitty,794
Gotlieb,Kitty,804
Gotlieb,Kitty Ly,811
Gottlieb,Kitty,819
Gotlieb,Kitty,827
Janne,Robert,834
Eva,Robert,835
Janne,Robert,836
Janne,Robert,836
Janne,Robert,840
Janne,Robert,843
Eva,Madam Frederiksen,849
Arheide,Robert,850
Janne,Robert,850
Janne,Robert,853
Eva,Robert,854
Janne sfod,vaa Robert,856
Robert,taus,857
Gud,Madam Frederiksen,862
Eva,Robert,864
Kitty,Robert,868
Eva,Robert,878
Mari,Robert,878
Laura,Robert,881
Laura,Robert,881
Gud,Robert,885
Laura,Robert,887
Janne,Laura,887
Laura,Robert,898
Laura,Robert,898
Laura,Robert,900
Janne,Robert Frederiksen,901
Laura,Robert,902
Eva,Robert,904
Janne,Robert,910
Laura,Robert,910
Gud,Robert,917
Eva,Laura,919
Eva,Robert,920
Eva,Laura,920
Janne,Laura,923
Gud,Janne,924
Janne,Laura,925
Janne,Laura,927
Harder,Steen,932
Mari,Seir,936
Kitty,Seir,936
Kitty,Robert,938
Frøken Harder,Mari,939
Kitty,Mari,941
Frøken Harder,Kitty,957
Kitty,ban,977
Hjorth,Kitty,982
Kitty,Robert,983
Hjorth,Kitty,986
Gud,Kitty,986
Frøken Harder,Robert,988
Gud,Kitty,989
Kitty,Robert,992
Frøken Harder,Kitty,992
Robert Frederiksen,Svend,998
Borgmesferen,Hjorth,1001
Anna,Jepsen,1002
Anna,Peter,1002
Hjorth,Kitty,1006
Herr Hjorth,Kitty,1007
Gud,Kitty,1008
Hjorth,Kitty,1008
Hjorth,Kitty,1008
Kitty,Robert,1008
Jepsen,Svend,1010
Herr Hjorth,Robert,1015
Kitty,Robert,1016
Kitrys,Robert,1016
Bravo,Gud,1017
Brandt,Kitty,1030
Brandt,Kitty,1034
Brandt,oq,1035
Kitty,Robert,1038
Robert,Robert Frederiksen,1039
Kitty,Robert,1043
Brandt,Robert,1043
Brandt,Robert,1043
Brandt,Robert,1047
Brandt,Robert,1050
Harder,Herr Brandt,1060
Brandt,Harder,1060
Brandt,Liv,1060
Brandt,Kitty,1064
Kitty,Robert,1075
Hjorth,def,1081
Frøken Brandt,Kitiy,1083
Kitty,Robert,1089
Brandt,ester,1098
Frøken Brandt,Robert,1109
Brandt,Kitty,1113
Brandt,cfterj,1116
Brandt,cfterj,1116
Robert,tor,1120
Kitty,Robert,1123
Kiity,Robert,1126
Brandt,Robert,1128
Brandt,Robert,1129
Brandt,Pallesen,1132
Brandt,Flora,1133
Greven,Øe,1137
Baal,Øe,1137
Brandt,Øe,1138
Brandt,Robert,1140
Pallesen,Robert,1141
Kitty Harder,Pallesen,1141
Greven,Kitty Harder,1141
Brandt,Pallesen,1149
Kitty,Pallesen,1150
Greven,Kitty,1152
Harder,Kitty,1157
Gud,Kitty,1162
Gud,Ten,1162
Gud,Kitty,1166
Gud,Kitty,1166
Gottlieb,djælvelsk,1178
Gottlieb,Kitty,1180
Kitty,seire,1182
Kitty,Robert,1186
Hjorth,Robert,1194
Hjorth,Robert Frederiksen,1202
Kitty,Robert,1205
Kitty,Pallesen,1206
Greven,Kitty,1209
Harder,Kitty,1216
Harder,Pettersen,1226
Balder,Harder,1230
Balder,Pettersen,1236
Balder,Gud,1236
Harder,Pettersen,1239
Harder,Pettersen,1239
Frøken Balder,Harder,1254
Frøken Balder,Harder,1254
Balder,Pettersen,1259
Harder,Pettersen,1266
Balder,taus,1278
Pettersen,taus,1278
Harder,Pettersen,1278
Harder,Pedersen,1278
Pedersen,Pettersen,1278
Pettersen,felv,1278
Harder,oer,1279
A,B.,1290
B.,Robert,1290
Kitty,Robert,1292
Kitty,Robert,1295
Kitty,Robert,1298
Kitty,Robert,1298
Brandt,Robert,1303
Dandsen,Mester Brandts,1311
Frøken Brandt,Robert,1315
Lise,Madam Frederiksen,1321
Gottlieb,Lise,1321
Gottlieb,Madam Frederiksen,1321
Madam Frederiksen,Robert,1327
Brandt,Heer Brandt,1328
Brandt,Robert,1330
Kitty,Robert,1340
Gud,Robert,1353
Madam Frederiksen,Robert,1353
Kitty Harder,Robert,1365
Kitty,Robert,1368
Kitty,Mari,1368
Eva,Kitty,1371
Eva,Kitty,1372
Robert,hnn,1376
Kitty,Robert,1376
Madam Frederiksen,Ørengen,1377
Kitty,Mari,1380
Mari,Robert,1381
Kitty,Mari,1382
Robert,kjære Kitty,1384
Kitty,Robert,1386
Brandt,Robert,1389
Robert,Øe,1392
Robert,Øe,1392
Frederiksen,Herr Brandt,1398
Herr Brandt,Kitty,1398
Lise,reisf,1438
Brandt,faa,1445
Madam Frederiksen,Robert,1449
Madam Frederiksen,Mari,1449
Madam Frederiksen,Mari,1456
Madam Frederiksen,Mari,1457
Madam Frederiksen,Mari,1460
Eva,Mari,1460
Eva,Kitty,1465
Eva,Mari,1466
Kitty,Mari,1466
Brandt,Eva,1470
Brandt,Robert,1471
Brandt,Gud,1472
Gud,Robert,1472
Hjorth,Kitty,1477
Hjorth,Kitty,1479
Brandt,ester,1487
Brandt,Kitty,1488
Kitty,Robert,1491
Eva,Mari,1503
Kitty,Mari,1503
Madam Frederiksen,Mari,1506
Kitty,Robert,1512
Madam Frederiksen,Mari,1513
Kitty,Mari,1513
Eva,Kitty,1513
Eva,Kitty haanes,1513
Kitty,Robert,1515
Leie,Mari,1516
Eva,Mari,1522
Gud,Robert,1523
Mari,Robert,1525
Mari,Robert,1526
Mari,Robert,1527
Mari,hnn,1532
Hjorth,hnn,1532
Harder,Pettersen,1534
Edsvorne,Harder,1536
Gud,Harder,1542
Gud,Harder,1542
Harder,Kitty,1554
Eva,Mari,1556
Eva,Madam Frederiksen,1560
Madam Frederiksen,Mari,1561
Gud,Robert,1568
Hjorth,Kitty,1571
Hjorth,Kitty,1576
Hjorth,Kitty,1577
Kitty,Robert,1579
Robert,reisfe,1580
Kitty,Robert,1582
Kitty,Mari,1587
Gud,Robert,1588
Madam Frederiksen,Mari,1592
Madam Frederiksen,Robert,1592
Brandt,Robert,1593
Mari,Robert,1594
Frøken Brandt,Mari,1594
Frøken Brandt,Kitty,1594
Mary,Tine,1595
Kitty,Mari,1596
Mari,Robert,1596
Gud,Robert,1598
Hjorth,Kitty,1606
Brandt,Robert,1610
Brandt,Robert,1613
Brandt,Kitty,1614
Brandt,Kitty,1615
Hjorth,tans,1617
Janne,Robert,1618
Karl,Madam Frederiksen,1621
Janne,Robert,1625
Hjorth,Kitty,1626
Eva,Mari,1628
Jamre,Janne,1632
Kitty,Robert,1641
Kitty,Robert,1645
Kitty,Robert,1650
Mari,Robert,1652
Kitty,Robert,1652
Kitty,Robert,1652
Kitty,Robert,1654
Anna,Kitty,1659
Anna,Kitty,1659
Anna,Kitty,1659
Anna,Kitty,1659
Anna,Kitty,1660
Anna,Herr Frederiksen,1668
Anna,Frederiksen,1674
Herr Frederiksen,Pilse,1678
Herr Frederiksen,Kitty,1678
Anna,Kitty,1681
Robert,taus,1683
Robert,eg,1687
,Agnes,1694
,Kitty,1694
Anna,Kitty Harder,1696
Anna,Gud,1696
Agnes,Kitty Harder,1697
Agnes,Anna,1698
Anna,Kitty,1698
Kitty,Robert,1702
Kitty,Robert,1703
Janne,Robert,1709
Janne,Kitty,1710
Kitty,Robert,1718
Janne,Kitty,1719
Anna,Kitty,1728
Anna,Kitty,1728
Anna,Kitty,1728
Anna,Kitty,1728
Janne,Kitty,1741
Kitty,Robert,1744
Kitty,Robert,1744
Janne,Kitty,1746
Anna aandelosf,Kitty,1751
Brandt,Robert,1754
Brandt,Frederiksen,1756
Gud,Kitty,1759
Kitty,Robert,1761
Brandt,Robert,1765
Brandt,Robert,1765
Janne,Robert,1770
Brandt,Janne,1777
Brandt,Robert,1777
Janne,Robert,1778
Brandt,Janne,1783
Janne,ester,1783
Kitty,Robert,1785
Emil,Kitty,1786
Robert,reist,1804
Kitty,Robert,1806
Schotte,kjære Kitty,1808
Janne,Schølte,1811
Robert,Schøtte,1812
Janne,Robert,1816
Janne,Robert,1818
Janne,Schøtte,1819
Kitty,Robert,1831
Janne,Kitty,1833
Gud,Robert,1839
Kitty,Robert,1840
Kitty,Robert,1843
Robert,san,1852
Robert,Schort,1862
Janne,Robert,1865
Brandt,Robert,1865
Jepsen,Robert,1869
Mester Jepsen,Robert,1871
Jepsen,Robert,1885
Emil,Robert,1886
Kitty,Robert,1907
Gud,Robert,1907
Kitty,Robert,1909
Emil,Robert,1909
Kitty,Robert,1913
Kitty,Robert,1917
Kitty,Robert,1919
Kitty,Robert,1923
Kitty,Robert,1935
Kitty,Robert,1941
Kitty,Robert,1943
Emil,Kitty,1946
Kitty,Robert,1946
Kitty,Robert,1949
Kitty,Robert,1951
Grev Pallesen,Robert,1954
Greven,Robert,1957
d,n,1961
Emil,Kitty,1962
Kitty,Robert,1969
Kitty,Robert,1970
Dandsen,Robert,1977
Dandsen,Robert,1977
Kitty,Robert,1991
Janne,Laura,1992
Laura,Robert,1993
Janne,Kitty,1997
Janne,Laura,1999
Kitty,Laura,2002
Kitty,Robert,2005
Jepsen,Mester Frederiksen,2008
Jepsen,Robert,2013
Eva,Hnn,2034
Eva,Robert,2034
Eva,Robert,2035
Kitty,Robert,2036
Kitty,Smedemester Frederiksen,2046
Kitty,Robert,2050
Hnn,Kitty,2057
Hnn,Robert,2058
Kitty,Robert,2058
Kitty,Robert,2069
Robert,agfe,2076
Ambrosius,Holger Bernhard Holm,2082
Gud,Kitty,2094
Brown,Kitty,2096
Kitty,Mary,2103
Brown,Kitty,2138
Kitty,Mr. Brown,2138
Kitty,Mrs.,2139
Brown,Mrs.,2139
Brown,Mary,2139
Kitty,Mr. Brown,2142
Herr Brown,Kitty,2147
Kitty,Mary,2154
Kitty,Mary,2158
Emmy,Kitty,2161
Herr Brown,Kitty,2166
Kitty,reis,2180
Kitty,hnn,2194
Brown,Sara,2198
Gud,Sara,2199
Brown,felv,2200
Jes,jes,2207
Kitty,Mary,2219
Emma,Kitty,2225
Emma,Mary,2226
Emmy,Kitty,2238
Emmy,Kitty,2243
Emmy,Kitty,2244
Emmy,Kitty,2246
Emmy,Mary,2259
Emmy,Kitty,2265
Brown,Kitty,2269
Brown,Ester,2278
Brown,Kitty,2279
Kitty,alter,2284
Ask,Emmy,2289
Emmy,Kitty,2289
Kitty,Mary,2291
Emmy,Kitty,2292
Frn Brown,Mary,2293
Dn,Emmy,2307
Emmy,Kitty,2309
Kitty,Mrs. Brown,2309
Flora,Pallesen,2313
Flora,Pallesen,2316
Brown,Mrs.,2320
Janne,Robert,2322
Kitty,Robert,2323
Kitty,Robert,2331
Kitty,Mary,2339
Kitty,Mary,2340
Kitty,Robert,2340
Mary,Robert,2340
Kitty,Mary,2341
Mary,Ore,2342
Kitty,Madam Frederiksen,2347
Kitty,Mary,2347
Mary,Robert,2347
Kitty,Mary,2350
Kitty,Laura,2357
Janne,Kitty,2359
Gud,Kitty,2359
Janne,Laura,2361
Janne,Kitty,2364
Kitty,nl Brown,2372
Mr. Brown,nl Brown,2372
Kitty Frederiksens,Mr. Brown,2373
Emmy,Kitty,2374
Emmy,Kitty,2374
Emmy,Pallesen,2374
Pallesen,Sidsle,2374
Emmy,Sidsle,2374
Mary,hnn,2376
Grev Pallesen,Mary,2379
Georg,Gud,2382
Brown,Mary,2391
Mary,stet,2391
Greven,stet,2391
Brown,Kitty,2395
Brown,Kitty,2400
Brown,Kitty,2401
B.,Robert,2419
Janne,Mr. Brown,2422
Kitty,Mr. Brown,2422
Gud,Mary,2424
Gud,Janne,2426
Janne,Robert,2430
Laura,Robert,2433
Janne,Robert,2438
Gud,Hans Jansen,2444
Hans Jansen,Thalia,2444
Hamlet,Jansen,2446
Glands,Jansen,2446
Glands,Hans Frants Mohr,2446
Hans Frants Mohr,Madam Janfens,2446
Kitty,Madam Janfens,2446
Jansen,Kitty,2450
Mary,Robert,2454
Boyes,Jansen,2456
Kitty,jusf,2459
Kitty,jusf,2459
Harder,Kitty,2466
Harder,Kitty,2466
Genius,Kitty,2470
Genius,Gud,2470
Harder,Kitty,2471
Harder,ester,2472
Harder,Kitty,2473
Bjørn,Harder,2479
Bjørn,Hjorth,2479
Hjorth,Kitty Harder,2479
Gud,Kitty,2484
Gottlieb,Kitty,2487
Emmy,Mary,2494
Brown,Mrs.,2495
Brown,Mary,2497
Janne,Mr. Brown,2505
Brown,Robert,2506
Brown,Robert,2508
Mr. Brown,Robert,2511
Mr. Brown,Robert,2514
Robert,skoggerlo Brown,2517
Kitty Frederiksen,Mr. Brown,2529
Brown,Kitty Frederiksen,2533
Kitty,dio,2539
Kitty Frederiksen,Steffine Stauther,2542
Ester,Steffine Stauther,2542
Ester,Robert,2542
an,h,2543
Lao,an,2543
Harder,Robert,2569
Gud,Robert,2569
Janne,Robert,2570
Janne,Kitty,2570
Janne,Kitty,2570
Janne,Robert,2570
Harder,Robert,2570
Harder,Robert,2571
Harder,Robert,2574
Janne,Kitty,2577
Brown,Mrs. Brown,2579
Brown,Kitty,2581
Brown,Kitty,2581
Kitty,Robert,2581
Kitty,Robert,2582
Eva,Mari,2584
Bohave,Eva,2586
Bohave,Eva,2586
Eva,Madam Frederiksen,2595
Gud,Mari,2596
Eva,Gud,2596
Eva,Madam Frederiksen,2597
Madam Frederiksen,Mari,2598
Eva,Mari,2603
Robert,ira Robert,2604
Eva,Robert,2604
Mari,Robert,2606
Eva,Robert,2611
Gud,Robert,2611
Gud,Robert,2611
Eva,Gud,2614
Eva,Mari,2616
Christian,Eva,2630
Eva,Seirherren,2631
Harder,Robert slod,2640
Robert,Robert slod,2640
Kitty,Robert,2640
Harder,Robert,2644
Harder,Robert kasfede,2647
Kitty,Robert,2651
Harder,Kitty,2658
Robert,fasf,2664
Robert,fasf,2664
Kitty,Robert,2667
Kitty,Robert,2667
Gud,Robert,2668
Kitty,Robert,2681
Robert,strax,2686
Kitty,strax,2686
Gotlieb,ban,2689
Gud,Karlen,2702
Mads,jo,2703
Herr Larsen,Mads,2704
Gotlieb,Nidding,2708
Gotlieb,Herr Larsen,2709
Gotlieb,Mads Larsen,2709
Mads,Mads Larsen,2709
Anders „,Gotlieb Adam Bern,2712
Gotlieb,Mads Larsen,2716
Herr Larsen,Mads,2718
Frederiksen,Robert,2724
Kitty,Robert,2724
Kitty,Robert,2725
Kitty,Robert,2730
Miss Knopf,Mr. Frederiksen,2743
Miss Knopf,Steen,2745
Mr. Frederiksen,Mr. Jackson,2747
Mr. Jackson,Robert,2747
Miss Knopf,Mr. Klements,2749
Harder,Klement,2750
Harder,Robert,2750
Kitty,Miss Knopf,2752
Mr. Frederiksen,Robert,2753
Kitty,Robert,2754
Kitty,Mr. Jackson,2754
Jackson,Kitty,2758
Jackson,Klement,2758
Jackson,Robert,2760
Jackson,Kitty,2761
Jackson,Robert,2763
Kitty,Robert,2763
Kitty,Steen,2763
Jackson,Robert,2767
Jackson,Robert,2770
Gotlieb,Robert,2771
Gotlieb,Jackson,2771
Jackson,Robert,2771
Jackson,Robert,2774
Gotlieb,Robert,2774
Gotlieb,Klement,2777
Klement,Vexler,2781
Gotlieb,Vexler,2781
Gotlieb,Klement,2781
Kitty,Vensfab mellen Jackson,2782
Robert,Vensfab mellen Jackson,2782
Jackson,Robert,2783
Jackson,Robert,2785
Harder,Robert,2786
Arnold,Robert,2786
Jackson,Roes,2787
Kitty,Roes,2787
Kitty,Mr. Jackson,2787
Kitty,Mr. Jackson,2787
Jackson,Kitty,2789
Jackson,Kitty,2789
Jackson,Robert,2791
Jackson,Robert,2791
Jackson,Kitty,2792
Jackson,Kitty,2793
Jackson,Kitty,2796
Gud,Mrs. Frederiksen,2799
Jackson,Kitty,2800
Julies,Romeos,2802
