Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Lalle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Marius,0,0,0,0,23,0.67,77,0.66,23,0.67,0.36,0.78,0.15,0.42
Borring,0,0,0,0,5,0.12,6,0.04,5,0.12,0.06,0.13,0.08,0.22
Gud,0,0,0,0,8,0.21,9,0.07,8,0.21,0.1,0.22,0.05,0.14
Aalbom,0,0,0,0,11,0.3,25,0.21,11,0.3,0.23,0.5,0.08,0.22
Namur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tolleiv,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.03
Lille Marius,0,0,0,0,2,0.03,3,0.02,2,0.03,0.1,0.22,0.0,0.0
Abraham,0,0,0,0,34,1.0,117,1.0,34,1.0,0.46,1.0,0.36,1.0
Reinert,0,0,0,0,3,0.06,3,0.02,3,0.06,0.01,0.02,0.04,0.11
Bryssel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Duxen,0,0,0,0,4,0.09,5,0.03,4,0.09,0.13,0.28,0.01,0.03
lille Marius,0,0,0,0,21,0.61,44,0.37,21,0.61,0.33,0.72,0.22,0.61
Achilles,0,0,0,0,5,0.12,7,0.05,5,0.12,0.11,0.24,0.03,0.08
Morten Bagstræver,0,0,0,0,4,0.09,7,0.05,4,0.09,0.06,0.13,0.01,0.03
hoplites,0,0,0,0,4,0.09,4,0.03,4,0.09,0.04,0.09,0.01,0.03
Fienden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hastati,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
principes,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
Jlle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Madvigs,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.09,0.01,0.03
eiheller,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
monebor moneberis monebitur,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.09,0.0,0.0
monebimur monebimini monebuntur,0,0,0,0,3,0.06,3,0.02,3,0.06,0.05,0.11,0.01,0.03
Løvdahl,0,0,0,0,12,0.33,28,0.23,12,0.33,0.19,0.41,0.06,0.17
Sparres,0,0,0,0,2,0.03,2,0.01,2,0.03,0.1,0.22,0.0,0.0
Eriksen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
artium,0,0,0,0,3,0.06,3,0.02,3,0.06,0.07,0.15,0.01,0.03
Homers Iliade,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Troja,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.09,0.01,0.03
Far,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Snorre,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.13,0.03,0.08
Karl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Wenche Knorr,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.03
voxte Wenche Knorr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
