source,target,timestamp
Theseus,lee,9
Adams,Jeremias,11
Balles,Ellen,15
Hedens,Noas,17
Gud,Guds,37
Moses,Steen,40
Gud,Niels Væver,41
Ellen,Niels Væver,41
Simer,ifjor,45
Niels,Simer,45
Gud,Jakob,46
Gud,Jesabels,48
Gud,Jesabels,48
Daniels,Gud,48
Daniels,Gud,48
Niels Væver,Nikodemus,50
Ellen,Guido Renis,64
Ellen,Veronikas,64
Gud,Nikodemus,71
Ellen,Nikodemus,77
Marie Magdalene,Nikodemus,77
Ellen,Kain,79
Gud,Judas,86
Judas,Kingos,86
Ellen,Gud,88
Esau,Graad,90
Graad,Peder,90
Gud,Peder,92
Johannes,Peder,92
Gud,Johannes,92
Esau,Gud,92
Esau,Isaks,92
Isaks,Jakob,92
David,Jakob,92
David,Ellen,92
Ellen,Gud,92
Ellen,Steen,97
Ellen,Steen,97
Ellen,Gud,97
Gud,Jobs,98
Ellen,Job,99
Ellen,Jesus Christus,100
Gud,Moses,105
Gud,Thomas,105
Langfredag,Thomas,106
Ellen,Gud,107
Maria,Martha,116
Evadatterens,Pauli,118
Gud,Pauli,118
Gud,Luthers,120
Herren,Moses,121
Aron,Moses,121
Gud,Johannes,127
Jesus,Johannes,127
Jesus,Judas,127
Judas,Simons,127
Ischariotes,Simons,127
Ischariotes,Satan,127
Christus,Paulus,130
Gud,Jesus Christus,131
Gud,Jesus Christus,131
Ellen,Moses,134
Ellen,Moses,134
Elias,Ellen,138
Elias,s,138
Gud,s,138
Gud,Kain,139
Gud,Paulus,143
Christen,Gud,144
Ellen,Gud,154
Christne,Gud,158
Harald Haarderaade,Steen,162
Harald Haarderaade,Svend Estridsens,162
Ellen,Gud,164
Ellen,Nis —,165
Ellen,Jakob,165
Jakob,Rachel,165
Ellen,Gud,166
Ellen,Gud,170
Gud,Paulus,170
Ellen,Gud,172
Andreas,Karen,179
Andreas,Sands,179
Andreas,Gud,188
Andreas,Karen,190
Karen,"Lille,",191
Gud,Karen,191
Gud,Luthers,191
Christus,Gud,192
Gud,sine,192
Karen,spiist,196
Andreas,Karen,196
Andreas,Karen,198
Andreas,Karen,199
David,Karen,199
David,Gud,199
Andreas,Karen,200
Ellen,Nis,209
Andreas,Karen,211
Andreas,Nis,211
Karen,Nis,211
Andreas,Ellen,212
Andreas,Karen,212
Karen,Nis,212
Ellen,Nis,213
Ellen,Nis,213
Ellen,Gud,215
Ellen,Nis,220
Ellen,Nis,222
Ellen,Nis,222
Ellen,Nis,222
Ellen,Nis,223
Ellen,Nis,232
Ellen,Nis,232
Ellen,Nis,234
Holger,Nis,235
Ellen,Holger,235
Ellen,Gud,235
Gud,Nis,235
Christen,Nis,235
Ellen,Jes Peter,237
Nis,Thyra,238
Ellen,Thyra,238
Ellen,Gorm,238
Gorm,Holger,238
Holger,Nis,238
Ellen,Nis,238
Ellen,Nis,238
Ellen,Moses,241
Moses,Paulus,241
Nebukadnezar,Paulus,241
Ellen,Nebukadnezar,241
Ellen,Gud,252
Gud,Nis,254
F'olk,Gud,254
F'olk,Nis,254
Ellen,Nis,260
Ellen,Nis,262
Gud,Nis,264
Ellen,Nis,266
Jes Peter,Tyra,272
Ellen,Nis,276
Ellen,Jes,276
Gud,Jes,276
Ellen,Gud,276
Ellen,Niels Andersen Hansen,276
Kirsten,Niels Andersen Hansen,276
Kirsten,Niels,276
Ellen,Niels,276
Ellen,Niels Andersen,278
Ellen,Loths,280
Gud,Loths,280
Ellen,Gud,284
Ellen,Nis,287
David,Goliath,288
Goliath,Jes Peter Davids,288
Jes Peter Davids,Nis,288
David,Nis,288
Jes,Tyra,289
Goliath,Tyra,289
Ellen,Nis,291
Ellen,Gud,292
Ellen,Gud,292
Gud,Jes Peter,293
Ellen,Nis,300
Jes,lille Tyra,303
Jes,Tyra,305
Ellen,Nis,311
Nis,s,311
Ellen,Tyra,312
Ellen,Tyra,314
Ellen,laae,320
David,Goliath,324
Goliath,Mo’,326
Gud,Joseph,330
Ellen,Vorherre,332
Ellen,Tyra,334
Ellen,Tyra,334
Nis,Tyra,335
Gud,Nis,336
Anders Thomsens,Bejer,341
Bejer,Hans Jessen,341
Ellen,Nis,345
Nis,s,345
Ellen,Gud,346
Nis,s,347
Ellen,Hagen,356
Ellen,Jes Peter,356
Gud,Jes,359
Gud,Jes,359
Jes,s,364
David,sorn,366
Jes Peter Nissen,N. N.,375
Ellen,Jes,376
Ellen,Jes,376
Esau,Jakob,377
Gud,Jonas,381
Gud,Jes,382
David,Goliath,386
David,Goliath,386
