source,target,timestamp
Maren Møldrups,Povl Møldrup,3
Maren,Povl Møldrup,3
Maren,Povl,3
Albertine,Povl,3
Poul,PovlMøldrup,4
Albertine,Karl,27
Esper,Karle,28
Albertine,Esper,34
Albertine,Frederik,42
Esper,Frederik,42
Albertine,Esper,42
Povl Møldrup,bedsf,50
Albertine,Esper,54
Esper,Povl Møldrup,55
Esper,Fason,57
Esper,Povl Møldrup,58
Albertine,Esper,58
Albertine,Povl Møldrup,58
Povl,Povl Møldrup,59
Albertine,Esper,63
Esper,Kjesten Møldrups,64
Ohs,Povl,69
Albertine,Kjesten,78
Povl,Povl Møldrup,79
Povl,flet,79
Kjesfen,Povl,81
Esper,Povl,81
Esper,Povl,81
Esper,Povl,86
Povl,Povl Møldrup,87
Povl,Povl Møldrup,87
Esper,lille Mo,97
Esper,Povl Møldrup,100
Albertine,Esper,100
Esper,dn,101
Albertine,dn,101
Esper,Kjesten,103
Albertine,Kjesten,105
Albertine,Povl,106
Povl,Tine,107
Ohs,Povl,113
Esper,Povl,124
Gud,Povl,127
Esper,Povl,131
Gud,Kristus,141
Gud,Karl,142
Esper,Povl,149
Esper,Povl,149
Esper,Povl,149
Esper,Povl Møldrup,155
Esper,Povl Møldrup,159
Albertine,Povl,162
Albertine,Povl,162
Esper,Povl,163
Esper,Povl,163
Esper,Povl Møldrup,164
Gud,Povl Møldrup,165
Esper,Povl Møldrup,166
Povl Møldrup,ber,172
Povl,Povl Møldrup,177
Møldrup,Povl,177
Møldrup,Povl Møldrup,177
Mads Pallisen,Peter,181
Gud,Mikkel Fristrup,185
Jep,Ore,186
Jep,sid,186
Asten,Jep Anton,187
Povl,Povl Møldrup,195
Anton,Povl Møldrup,196
Anton,Povl Møldrup,201
Jep Anton,Povl Møldrup,201
Karl,Povl —,210
Povl,Povl Møldrup,211
Kjowlcn,baadde Vaawscrn,212
Kiowlcn,mcj,213
Kørmes,mcj,213
Kjærrestens,Mari fek,215
Mari fek,Villi,215
Hanne Mand,ed Skaahn,216
Mari,ed Skaahn,216
aalsammel Haahn,imell ølle,219
Tyw,mie,220
Povl Møldrup,Tosse-Povl,221
Bisen,Povl Møldrup,221
Esper,Povl Møldrup,227
Albertine,Povl,230
Esper,Kaarde,234
Povl Møldrup,Vogel von Falkenstein,239
Anton,Jep,244
Esper,Povl Møldrup,246
Esper,Gud,251
Gaardmandsson,Povl,255
Povl Møldrup,ester,256
Esper,ester,256
Møldrup,Povl,261
Esper,Povl,263
Esper,Povl,270
Esper,Povl Møldrup,273
Esper,Povl,274
Esper,Povl,274
Povl,Povl Møldrup,277
Mikkel,Povl Møldrup,278
Mikkel,Povl,279
Esper,Ibenholts,282
Mikkel,Povl Møldrup,287
Povl,effer,290
Povl Møldrup,effer,291
Povl,Povl Møldrup,295
Povl,Povl Møldrup,304
Esper,Povl,304
Esper,Povl Møldrup,305
Esper,Povl,306
Esper,Povl Møldrup,306
