Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Fritz,0,0,0,0,80,1.0,330,1.0,80,1.0,0.54,1.0,0.64,1.0
Maren,0,0,0,0,6,0.06,14,0.04,6,0.06,0.1,0.19,0.03,0.05
Wedel Stenersen,0,0,0,0,12,0.14,33,0.1,12,0.14,0.14,0.26,0.03,0.05
Wedel,0,0,0,0,24,0.29,75,0.22,24,0.29,0.23,0.43,0.11,0.17
dissolving viezvs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.01,0.02
Stenersens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Richelieus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Peter Wille Randel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Randel,0,0,0,0,33,0.41,56,0.17,33,0.41,0.27,0.5,0.17,0.27
Peter,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
Laura Bolstad,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
Flan,0,0,0,0,5,0.05,6,0.02,5,0.05,0.09,0.17,0.0,0.0
Løkke,0,0,0,0,9,0.1,19,0.05,9,0.1,0.1,0.19,0.08,0.12
Mons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
s,0,0,0,0,8,0.09,30,0.09,8,0.09,0.12,0.22,0.01,0.02
Tomandshaand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
jasaa,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.0,0.0
Bache,0,0,0,0,2,0.01,3,0.01,2,0.01,0.01,0.02,0.02,0.03
Slumpe-Løkke,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
Nedad-Bache,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lille-Marie,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.01,0.02
Mariæ,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sevaldsen,0,0,0,0,5,0.05,7,0.02,5,0.05,0.06,0.11,0.0,0.0
Dere,0,0,0,0,3,0.03,3,0.01,3,0.03,0.03,0.06,0.01,0.02
Skipper Wagle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Wagle,0,0,0,0,3,0.03,4,0.01,3,0.03,0.04,0.07,0.0,0.0
Ulla,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Marthas,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.04,0.01,0.02
Maria,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Johan Caspar Herman Wedel-Jarlsbergs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Stenersen,0,0,0,0,6,0.06,8,0.02,6,0.06,0.1,0.19,0.01,0.02
Gutten,0,0,0,0,3,0.03,3,0.01,3,0.03,0.07,0.13,0.0,0.0
Gut,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.0,0.0
Guds,0,0,0,0,3,0.03,3,0.01,3,0.03,0.07,0.13,0.0,0.0
Nils,0,0,0,0,9,0.1,21,0.06,9,0.1,0.1,0.19,0.04,0.06
Nils Gaardsgut,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Herr,0,0,0,0,2,0.01,2,0.0,2,0.01,0.07,0.13,0.0,0.0
-Fritz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Tulleri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
langtifra,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
skraa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Barth,0,0,0,0,9,0.1,33,0.1,9,0.1,0.13,0.24,0.01,0.02
Kristian Augusts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Schlutte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
natulivisch,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
harr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Rydberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
f. Ex. Buckle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Plan,0,0,0,0,4,0.04,4,0.01,4,0.04,0.09,0.17,0.0,0.0
Clara,0,0,0,0,13,0.15,48,0.14,13,0.15,0.17,0.31,0.04,0.06
Clara With,0,0,0,0,6,0.06,9,0.02,6,0.06,0.12,0.22,0.0,0.0
Hoel,0,0,0,0,6,0.06,21,0.06,6,0.06,0.1,0.19,0.01,0.02
Herr Randel,0,0,0,0,5,0.05,5,0.01,5,0.05,0.1,0.19,0.0,0.0
Juell,0,0,0,0,6,0.06,17,0.05,6,0.06,0.1,0.19,0.0,0.0
Milla,0,0,0,0,4,0.04,5,0.01,4,0.04,0.04,0.07,0.01,0.02
Aasum,0,0,0,0,18,0.22,36,0.11,18,0.22,0.18,0.33,0.09,0.14
Thema,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.11,0.0,0.0
Flerr,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.11,0.0,0.0
j.eg præsentere,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.07,0.0,0.0
-,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.07,0.0,0.0
With,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Worin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Worm,0,0,0,0,3,0.03,3,0.01,3,0.03,0.07,0.13,0.0,0.0
Dands,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
Frøken With,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Braad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Amethyster,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Salve Hoel,0,0,0,0,4,0.04,11,0.03,4,0.04,0.06,0.11,0.01,0.02
kanske,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.09,0.0,0.0
Frøken Hoel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Gud,0,0,0,0,12,0.14,16,0.05,12,0.14,0.14,0.26,0.05,0.08
Herr Randell,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
pidskes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
