source,target,type,weight
Curt,Kurt,Undirected,1
Claus Mathiassøn,Curt,Undirected,3
Claus Mathiassøn,Curt hannem,Undirected,1
Claus,Curt hannem,Undirected,1
Claus,hannem,Undirected,1
hannem,joeg,Undirected,1
Ectehustru,joeg,Undirected,1
Ectehustru,hindes,Undirected,1
Villies,hindes,Undirected,1
Mariæ,Villies,Undirected,1
Mariæ,gick,Undirected,1
Curt,gick,Undirected,5
Curt,riis,Undirected,1
Hans,riis,Undirected,1
Fürst,Hans,Undirected,1
Fürst,torde,Undirected,1
Curt,torde,Undirected,1
Bernhard v. Kliiwer,Curt,Undirected,1
Bernhard v. Kliiwer,hannem,Undirected,1
Hannem,hannem,Undirected,1
Curt,Hannem,Undirected,1
Curt,Iland,Undirected,1
Folck tenckte,Iland,Undirected,1
Folck tenckte,hans folck,Undirected,1
hannem,hans folck,Undirected,1
fick frøickenen,hannem,Undirected,1
Ulrich Frederich Gtildenløve,fick frøickenen,Undirected,1
Ulrich Frederich Gtildenløve,kong Frederich,Undirected,1
Claus Mathiassen,kong Frederich,Undirected,1
Claus Mathiassen,Curt,Undirected,2
Curt,Ingeborg Clausdotter,Undirected,1
Ingeborg Clausdotter,ecte,Undirected,1
Curt,ecte,Undirected,1
Curt,Søren Rasmussen,Undirected,1
Søren Rasmussen,fick,Undirected,1
blef,fick,Undirected,1
Ingeborg,blef,Undirected,1
Claus Mathiassen,Ingeborg,Undirected,1
Curt,hannem,Undirected,9
deris,hannem,Undirected,1
Curt,deris,Undirected,2
Curt hafde,gick,Undirected,2
Georg v.,gick,Undirected,1
Curt,Georg v.,Undirected,1
Curt,Spitzbube,Undirected,1
Spitzbube,hielpte Curt,Undirected,1
fick,hielpte Curt,Undirected,1
Curt,Gamble Claus,Undirected,1
Curt,d,Undirected,1
d,hofve,Undirected,1
Claus Mathiassøn,hofve,Undirected,1
hand,hannem,Undirected,2
Claus Mathiassøn,hannem,Undirected,3
Claus Mathiassøn,dissimillom,Undirected,1
dissimillom,fick,Undirected,1
bref,fick,Undirected,1
Curt,bref,Undirected,1
aid Skofven,verck,Undirected,1
Curt,verck,Undirected,1
Curt,Flan,Undirected,1
Flan,Saug Werck,Undirected,1
arfveførste,blefven,Undirected,1
Kong Christian den 5te,arfveførste,Undirected,1
Kong Christian den 5te,høysalig,Undirected,1
Hand,høysalig,Undirected,1
Hand,Størcke,Undirected,2
Hand,sofvit,Undirected,1
høysalig,sofvit,Undirected,1
høysalig,kong Christian,Undirected,1
Curt,kong Christian,Undirected,1
Curt,hiem,Undirected,1
hiem,rifves,Undirected,1
gick,iverck,Undirected,1
fick,iverck,Undirected,1
Sancta Maria,fick,Undirected,1
Curt,Sancta Maria,Undirected,2
Curt,mact,Undirected,1
Curt,sigis,Undirected,1
Curt,Folck,Undirected,6
fick,hannem,Undirected,2
Adler,Curt,Undirected,5
Adler,Cort Adler,Undirected,1
Cort Adler,Curt,Undirected,1
Curt,Nafn,Undirected,3
Curt,sof,Undirected,1
Adler,sof,Undirected,1
Curt,Tornet,Undirected,1
Tornet,gick,Undirected,1
gick,teigl-steen,Undirected,1
Saaledis,teigl-steen,Undirected,1
Curt,Saaledis,Undirected,1
Curt,blef,Undirected,2
Skoufven,blef,Undirected,1
Curt,Skoufven,Undirected,1
Curt,øfrigt,Undirected,1
mercker,øfrigt,Undirected,1
hinders,mercker,Undirected,1
Mercker,hinders,Undirected,1
Curt,Mercker,Undirected,1
Curt,ieg,Undirected,1
ieg,it Molteber,Undirected,2
Sieur van Geelmuyden,ieg,Undirected,1
Curt,Sieur van Geelmuyden,Undirected,1
Curt,hender,Undirected,2
Curt,Ingeborg Curt,Undirected,1
Folck,Ingeborg Curt,Undirected,1
Curt,Curt van,Undirected,1
Curt van,Geelmuyden,Undirected,1
Geelmuyden,Iland,Undirected,1
Iland,fiduce,Undirected,1
fick,fiduce,Undirected,1
Jersin,fick,Undirected,1
Curt,Jersin,Undirected,1
-nys,Curt,Undirected,2
Curt,Niels Ingebrechtsøn,Undirected,2
Folck,blef,Undirected,1
Curt,Patroner,Undirected,2
Curt,meenige,Undirected,1
Curt,hans,Undirected,2
hannem,karl,Undirected,1
Curt,karl,Undirected,1
Curt,Curt sijt Lif,Undirected,1
Gud,lorden,Undirected,2
Curt,Owe Gude,Undirected,2
Adler,Max,Undirected,6
Adler,gick,Undirected,2
Adler,hannem,Undirected,2
Adler,tyck,Undirected,1
Saaledis,tyck,Undirected,1
Folck,Saaledis,Undirected,1
Adler,Torbiørn Christoffersen,Undirected,2
Adler,Christian den,Undirected,1
Christian den,Kong Frederich,Undirected,1
Adler,giord,Undirected,1
carrosse,giord,Undirected,1
Adler,seis,Undirected,2
Torbiørn Christoffersen,fick,Undirected,1
Adler,fick,Undirected,1
Adler,Lof,Undirected,1
Lof,Panter,Undirected,1
Torbiørn,stoffersen,Undirected,1
Adler,stoffersen,Undirected,1
Max,alskiøns,Undirected,1
Torbiørn Christoffersen,alskiøns,Undirected,1
Torbiørn Christoffersen,ieg,Undirected,1
Max,ieg,Undirected,4
Gud,Max,Undirected,2
Gud,blefven,Undirected,1
Sancta Maria,blefven,Undirected,1
Arf,Curt,Undirected,1
Arf,ieg,Undirected,1
Drick,ieg,Undirected,1
Drick,Martins,Undirected,1
Martins,Max,Undirected,1
hannem,ieg,Undirected,1
Gud,hannem,Undirected,2
Curt,Max,Undirected,1
Max,hannem,Undirected,7
Max,s,Undirected,3
Nafn,s,Undirected,1
Max,Nafn,Undirected,1
Willie,ieg,Undirected,1
Willie,hannem,Undirected,1
Kircke,fick,Undirected,1
Kircke,Stycker,Undirected,1
Stycker,hannem,Undirected,1
gick,hannem,Undirected,1
Steen,gick,Undirected,1
Carl Brandenburg,Steen,Undirected,1
Carl Brandenburg,Iland,Undirected,1
Christiane,Iland,Undirected,1
Christiane,Max,Undirected,1
Christiane,s,Undirected,1
Christiane,æcte,Undirected,1
Carl Brandenburg,æcte,Undirected,1
Carl Brandenburg,Gud,Undirected,1
Gud,hiem,Undirected,1
Carl Brandenburg,hiem,Undirected,1
fick,ieg,Undirected,2
Sarah Andersens,fick,Undirected,1
Heinrich Arendt,Sarah Andersens,Undirected,2
Heinrich Arendt,hannem,Undirected,1
Max,Sarah,Undirected,1
Kircke,Sarah,Undirected,1
Heinrich Arendt,Kircke,Undirected,1
Max,Sarah Andersens,Undirected,1
Gud,saaledis,Undirected,1
Max,saaledis,Undirected,1
hannem,s,Undirected,1
Nyaar,hannem,Undirected,1
Nyaar,lonsock,Undirected,1
