source,target,timestamp
Karsten,Senius,3
Anna Lachendorph,Anna«,5
Karsten,Madam Lachendorph,6
Karsten,Madam Lachendorph,6
Madam Lachendorph,Senius,6
Senius,Ulrikka,6
Karsten,Madam Lachendorph,10
Lachendorphernes,Madam Lachendorph,10
Ulrik,lille Ulrikka,11
Lakaj,Ulrik,11
Heinrich,Lakaj,11
Guds,Heinrich,11
Grundtvig,Huss,12
Huss,Senius,12
Grundtvig,Tscherning,14
Grundtvig,Karsten Ulv,14
Kristen Evesen,Skél,19
Kristen Evesen,Senius,19
Guds,Karsten Egholm,20
Emmanuel,Skél,27
Grundtvig,Skél,27
Karsten,Ulvemose,37
Ivar Hansen Vindfelt,Ulvemose,38
Ivar Hansen Vindfelt,Karsten Egholm,40
Karen,Karsten Ulv,42
Karen,Senius,42
Anna,Senius,42
Ditmar Haspinger,Karsten,44
Karsten,Ulrik Lachendorph,44
Hjortkjær,Ulrik Lachendorph,44
Haspinger,Karsten Egholm,48
Ejnar,Gudfar,50
Gudfar,Ivar,51
Ivar,Karen,53
Gudfar,Karen,54
Guddatter,Karen,55
Haspinger,lille Hansen Vindfelt,60
Gud,Haspinger,60
Gud,lille Hansen Vindfelt,61
Gud,lille Hansen Vindfeldt,61
Karsten,Rumpunsch,62
Grundtvig,Karen Hjulmands,65
Haspinger,Karsten,70
Gud,Haspinger,75
Haspinger,Karsten,75
Gamle-Knudsen,Karsten,77
Emmanuel Skél,hans kjære,78
Emmanuel,Karsten,80
Emmanuel,Skél,80
Ejnar,Karsten,88
Ejnar,Ivar,88
Ivar,Karsten,88
Ivar,Karsten,89
Anders Sønderstved,Ivar,89
Ivar Hjulmand,Karsten,96
Karsten,Rikka Lach,96
Kristen Evesen,Ulrikkal,97
Kristen Evesen,Stakkel,97
Jesus,Ulrikkal,98
Gamle-Knudsen,Knudsen,99
Gamle-Knudsen,Lynggaard,99
Gamle-Knudsen,Haspinger,100
Haspinger,Lynggaard,100
Knudsen,Lynggaard,100
Haspinger,Karsten Egholm,101
Karsten Egholm,Knudsen,102
Anders Sønderstved,Karsten Egholm,102
