source,target,timestamp
Clara,Clara Meinhardt,6
Clara,Clara Meinhardt,6
Clara,Mamma,6
Abraham,Clara,10
Clara,Graad,10
Graad,Jus,10
Abraham,Clara,11
Abraham ' Løvdahl,Meinhardt,15
Christensen,Løvdahl,28
Løvdahl,P'orretning,29
Mordtmanns,With,30
Løvdahl,With,33
Christensen,Løvdahl,33
Christensen,Mordtmann,33
Løvdahl,Mordtmann,33
Løvdahl,Mordtmann,33
Løvdahl,Mordtmann,45
Carsten Løvdahl,Mordtmann,46
Carsten Løvdahl,Charlatan,49
Løvdahl,Mordtmann,52
Isach Mordtmann,Mordtmann,52
Abraham,ai,65
Abraham,Gretes,65
Abraham,Gretes,65
Abraham,Steffensen,65
Mordtmann,Steffensen,66
Abraham,Gretes,67
Abraham,Clara,73
Abraham a Santa Clara,Peder Kruse,76
Abraham,Steffensen,92
Kruse,Steffensen,92
Abraham,Steffensen,93
Abraham,Clara,94
Gud,Morten,97
Jørgen Kruse,Morten,102
Morten,Peder,102
Jørgen,Peder,102
Jørgen,Morten,102
Madam Kruse,Morten,104
Jørgen,Morten,104
Morten Bagstræver,Morten Kruse,107
Fredrikke Andersen,Madam Kruse,108
Madam Kruse,Morten,108
Jasaa,Morten,112
Morten,Peder,118
Morten,Peder Kruse,120
Jørgen Kruse,Morten,120
Jørgen Kruse,Madam,121
Jørgen Kruse,Madam,121
Jørgen,Madam Kruse,124
Jørgen,Peder,124
Morten,Peder,124
Jørgen,Morten,125
Amalie Cathrine,Jørgen,125
Amalie Cathrine,Morten,125
Gud,Jørgen Kruse,129
Madam Kruse,Morten,131
Madam Kruse,Morten,133
Fredrikke,Morten,134
Fredrikke,Jørgen,134
Madam Kruse,Morten,135
Fredrikke,Madam Kruse,137
Fredrikke,Gud,137
Gud,Madam Kruse,137
Gud,Madam Kruse,137
Jørgen,Morten,139
Morten,Peder,146
Fortuna,Peder,149
Fortuna,Løvdahl,149
Jørgen,Løvdahl,153
Christensen,Peder,155
Abraham,Grete Steffensen,157
Abraham,Steffensen,158
Abraham,Steffensen,158
Abraham,Grete,158
Abraham,Grete,158
Abraham,Grete,167
Abraham,Steffensen,171
Abraham,Grete,171
Grete,Steffensen,171
Abraham,Grete,172
Abraham,Steffensen,178
Marcussen,Steffensen,184
Løvdahl,Marcussen,184
Christensen,Løvdahl,184
Abraham,Steffensen,185
Marcussen,Steffensen,186
Marcussen,Steffensen,186
Abraham,lille Marius,196
Abraham,Marius,200
Grete Steffensen,Steffensen,202
Abraham,Clara,203
Clara,kanske,213
Abraham,Clara,213
Abraham,Steffensen,214
Abraham,Steffensen,223
Clara,Fredrikke,225
Abraham,Fredrikke,225
Abraham,Morten Bagstræver,226
Clara,Morten Bagstræver,226
Konsul With,Marcussen,235
Konsul With,Løvdahl,235
Christensen,Gud,236
Christensen,Løvdahl,239
Clara,iveien,242
Grete,Steffensen,253
Abraham,Løvdahl,256
Abraham,Grete,257
Grete Steffensen,Løvdahl,258
Abraham,Gud,263
Abraham,Steffensen,263
Abraham,Steffensen,263
Abraham,Steffensen,263
Steffensen,øgte,267
Abraham,Steffensen,269
Abraham,Grete,271
Abraham,Steffensen,272
Abraham,Steffensen,273
Abraham,Clara,274
Grete,Steffensen,275
Abraham,Grete,275
Abraham,Clara,279
Abraham,Clara,279
Abraham,Christensen,285
Abraham,Carsten Løvdahl,295
Christensen,Løvdahl,296
Løvdahl,dg Løvdahl sist,296
Christensen,dg Løvdahl sist,296
Bentzen,Clara,300
Bentzen,Løvdahl,300
Christensen,Marcussen,301
Fortuna,Marcussen,305
Christensen,Marcussen,313
Christensen,Marcussen,325
Abraham,Marcussen,332
Abraham,best,332
Bentzen,Løvdahl,334
Bentzen,Løvdahl,334
Abraham,Grete,335
Grete Steffensen,ivei,337
Steffensen,ivei,337
Grete,Steffensen,337
Abraham,Grete Steffensen,338
Abraham,Peder Kruse,339
Kruse,Peder Kruse,339
Abraham,Kruse,339
Abraham,Morten,346
Morten,Peder Kruse,347
Abraham,Peder Kruse,347
Abraham,Kruse,347
Kruse,Marius,350
Abraham,Grete,351
Løvdahl,Steffensen,353
Abraham,Kruse,359
Abraham,Kruse,359
Abraham,Kruse,362
Abraham,Grete,362
Abraham,Grete,368
Haan,Steffen Steffensen,369
Løvdahl,Marcussen,375
Abraham,Steffensen,377
Grete,Steffensen,378
Abraham,Steffensen,379
Grete,Steffensen,381
Abraham,Steffensen,383
Abraham,Steffensen,384
Abraham,Steffensen,384
Abraham,kjære,388
Abraham,Gud,391
Abraham,Clara,391
Abraham,lille Carsten,395
Abraham,Steffensen,404
Clara,lille Carsten,405
Abraham,lille Carsten,405
Abraham,Steffensen,410
Marcussen,Steffensen,410
Abraham,Marcussen,410
Madame Kruse,Sparre,420
Jørgen,Madame Kruse,425
Jørgen,Kruse,425
Morten,Peder,430
Gud,Peder,431
Madame Kruse,Peder,433
Fredrikke,Peder,435
Fredrikke,Morten,435
Madame Kruse,Morten,436
Morten,Peder,436
Morten,Peder,440
Jørgen Kruse,Madame Kruse,444
Jørgen Kruse,Peder,444
Fredrikke,Madame Kruse,445
Morten,Peder,446
Madame Kruse,Peder,446
Morten,Peder,448
Morten,Peder,449
Fredrikke,Peder,450
Fredrikke,Madame Kruse,450
Jørgen,Madame Kruse,451
Amalie Cathrine,Jørgen,451
Amalie Cathrine,Fredrikke,451
Fredrikke,Peder,452
Morten,Peder,455
Liebig,Madame Kruse,462
Jørgen,Peder,464
Fredrikke,Jørgen,464
Fredrikke,Morten,464
Klodrian,Morten,464
Morten,strængt,465
Madame Kruse,Morten,467
Fredrikke,Morten,467
Christensen,t,472
Christensen,t,472
Carsten Løvdahl,Christensen,474
Carsten Løvdahl,Løvdahl,474
Christensen,Løvdahl,474
Christensen,Marcussen,478
Gud,Marcussen,480
Carsten Løvdahl,Christensen,481
Marcussen,Rasmus,482
Christensen,Rasmus,482
Marcussen,ivold,488
Marcussen,Vexler,492
Carsten Løvdahl,Marcussen,494
Christensen,Marcussen,495
Carsten Løvdahl,Christensen,497
Carsten Løvdahl,Christensen,498
Carsten Løvdahl,al-,498
Løvdahl,Marcussen,499
Abraham,Marcussen,501
Kruse,Steffensen,508
Christensen,Steffensen,509
Abraham,Steffensen,514
Grete,Steffensen,514
Grete,Steffensen,517
Grete,Steffensen,519
Abraham,Steffensen,524
Abraham,Grete,526
Abraham Løvdahl,Steffensen,532
Abraham,Grete,534
Konsul With,Marcussen,538
Konsul With,Marcussen,538
Jørgen Kruse,Marcussen,538
Jørgen Kruse,Løvdahl,538
Jørgen F. Kruse,Løvdahl,538
Carsten Løvdahl,Jørgen F. Kruse,538
Jørgen,Morten,539
Jørgen,Morten,539
Jørgen,Morten,540
Carsten Løvdahl,Morten Kruse,543
Abraham,lille Carsten,556
Clara Løvdahl,Løvdahl,570
Løvdahl,With,570
Garmans,With,570
Christensen,Garmans,570
Clara,With,571
Marcussen,With,572
Clara ivei,Marcussen,572
Clara ivei,Principalens,572
Clara,Principalens,572
Abraham,Clara,574
Abraham,Clara,574
Clara,Marcussen,574
Clara,Marcussen,577
Abraham,Grete,590
Clara,Grete,590
Abraham,Clara,590
Abraham,Clara,590
Abraham,Grete,591
Abraham,Grete,591
Abraham,Grete,592
Abraham,Clara,597
Christensen,paaden,604
JeS,Mordtmann,608
Christensen,Løvdahl,609
Carsten Løvdahl,Christensen,611
Christensen,Marcussen,616
Løvdahl,Marcussen,619
Carsten Løvdahl,Vexler,622
Løvdahl,Vexler,622
Carsten Løvdahl,Christensen,623
Christensen,Løvdahl,626
Christensen,Løvdahl,626
Carsten Løvdahl,Christensen,627
Profesb soren,lille Carsten,629
Abraham,Kruse,631
Marcussen,casse,634
Abraham Knorrs,Marcussen,639
Marcussen,Rasmus,644
Marcussen,raa,648
Løvdahl,Marcussen,648
Løvdahl,Marcussen,650
Marcussen,lille Rasmus,655
Marcussen,lille Rasmus,655
Taraldsen,lille Rasmus,660
Marcussen,Taraldsen,663
Løvdahl,With,665
Evropa,Løvdahl,667
Abraham K. Løvdahl,C. R. With,669
Jørgen Kruse,Randulphs,671
Abraham,Christensen,679
Christensen,Clara —,679
Clara —,øgte,679
Clara,Marcussen,693
Clara,Marcussen,694
Clara,Marcussen,694
Hr. Marcussen,iveien,696
Gud,Marcussen,698
Carsten Løv-,dahl,699
Abraham,Peder Kruse,706
Abraham,lille Carsten,709
Abraham,Lille Carsten,709
Abraham Løvdahl,Lille Carsten,709
Clara,Grete,710
Løvdahl,Steffensen,711
Abraham,Løvdahl,711
Abraham,lille Carsten,715
Abraham,Assessor Meinhardt,717
Abraham Knorr Løvdahl,Assessor Meinhardt,717
Abraham Knorr Løvdahl,Carsten Løvdahl,717
Bo,Carsten Løvdahl,717
Abraham,Clara,721
Gud,Kruse,722
Clara,Fars,725
Clara,Kruse,735
Abraham,lille Marius,747
Abraham,Kruse,749
Abraham,Kruse,751
Abraham,Marius,758
Marius,lille Marius,761
Grete,Steffensen,771
Abraham Løvdahl,Grete,772
Abraham Løvdahl,Kruse,774
Løvdahl,Marcussen,775
Jørgen,Morten,778
Madame Kruse,Peder,779
Morten,Peder,779
Morten,ivei,779
Jørgen Kruse,ivei,779
Amalie Cathrine,Jørgen,780
Amalie Cathrine,Morten,780
Kahrs,Peder,782
Kahrs,Madame Kruse,782
Løvdahl,Peder,783
Løvdahl,Peder,783
Madame Kruse,Peder,784
Peder,eg,785
Marius,Peder,787
Madame Kruse,Morten,789
Madame Kruse,Sparre,789
Morten,Sparre,789
Christensen,With,790
Løvdahl,Madame Kruse,791
Christensen,Løvdahl,794
Christensen,Silke,800
