source,target,timestamp
Jomfru Holst,Nils,6
Holst,Kirsten Holst,8
Holst,Proprietær Rings,10
Hilda,Marianne,13
Andreasen,Kirsten Holst,15
Andreasen,Kirsten Holst,20
Andreasen,Mads Foss,20
Kirsten Holst,Stakkars,24
Fossegaards,Kirsten Holst,24
Edike,Hilda,30
Mads Foss,Marianne,39
Hubroen,Marianne Foss,40
Bastian Borg,Marianne Foss,40
Bastian,Marianne,45
Bastian Borg,fælleds,48
Mads Foss,Marianne,52
Anne,Henrik,53
John Foss,Mads Foss,57
Duren,Mads Foss,58
John,j,63
Mads Foss,Marianne,64
Hilda,Marianne,65
Hilda,Majorens,65
Biermanns,Majorens,65
Mads Foss,Marianne,68
Mads Foss,Robarth,70
Johnny,Robarth,70
Johnny,Marianne,70
Jomfru Holst,Marianne,70
Fars,Marianne,73
Husch,Marianne,75
Marianne,Stryet,75
Architekt Schiørn,Marianne,80
Høslaatten,Marianne,81
Henrik,Marianne,83
Jomfru Høist,Marianne,85
Marianne Borg,Marianne Foss,89
Johnny,Marianne,91
Johnny,Marianne,93
Johnny,Wiese,93
Hilda,Johnny,98
Hilda,Kanske,98
Antonia,Kanske,98
Biermanns,Johnny,99
Biermanns,Mina,99
Antonia,Griiner,101
Griiner,Marianne,101
Kirsten Holst,Marianne,103
Johnny,Marianne,103
Holst,Wiese,105
Holst,Marianne,105
Moro,Nichts,109
Marianne,Moro,109
Biermann,Johnny,110
Biermann,Ferdinand Wiese,110
Hysing,Marianne,122
Marianne,Saturnus,123
Marianne,Wiese,127
Hilda,Marianne,128
Jomfru Holst,Marianne,128
Biermann,Mina,129
Biermann,Shawler,130
Shawler,Wiese,130
Johnny,Wiese,134
Johnny,Wiese,134
Marianne,Wiese,134
Adiø,Wiese,135
Marianne,Wiese,140
Fossegaard,Marianne,144
Andreasen,Henrik,148
Andreasen,Johnny,148
Mads Foss,Marianne,150
Hilda,Marianne,150
Biermann,Mina,153
Hilda,Marianne,156
Hilda,Marianne,158
Berthelsen,Binas,160
Gud,Mads Foss,163
Hilda,Marianne,165
Fars,Marianne,166
Marianne,Mina,169
Johnny,Mina,169
Henrik,Marianne,171
Henrik,Hilda,176
Andreasen,Gud,177
Andreasen,Flan,179
Flan,Fossegaard,179
Fossegaard,Henrik,179
Antonia,Henrik,179
Henrik,Hilda,185
Jomfru Holst,Marianne,186
Henrik,Holst,187
Henrik,Hilda,187
Hilda,Mads F'oss,187
Henrik,Mads F'oss,187
Kirsten Holst,Mads Foss,188
Henrik,Jomfru Holst,189
Henrik,nedenifra Mads Foss,190
Hilda,Kirsten,191
Gutten,Kirsten,193
Hilda,Marianne,194
Henrik,Hilda,194
Mads Foss,Marianne,196
Gutten,Johnny,197
Bertha,Marianne,200
Fossegaard,schen,203
Fossegaard,Henrik,203
Henrik,Minda,203
Ellingsens,Minda,203
Ellingsens,Foss,203
Foss,Marianne,203
Henrik,Marianne,204
Anton Johannesen,Marianne,204
Johnny,Liv,205
Anton Johannesen,Johnny,205
Johnny,Lorden,207
Lorden,iland,207
Johnny,iland,207
Johannesen,Johnny,207
Johnny,yar,209
Alette,Johnny,209
Alette,Johnny,211
Alette,Hilda,211
Hilda,grejti,211
Mina Biermann,grejti,211
Marianne,Mina Biermann,211
Ellingsens,Hilda,213
Fossegaard,Johnny,220
Holst,Ola,223
Alette,Holst,225
Johnny,Sjauen,227
Ferdinand Wiese,Sjauen,227
Falbes,Strauss,230
Atlaskes,Tilda,232
Bastian,Tilda,232
Bastian,Hysing,232
Antonia,Wiese,235
Kirsten,Marianne,238
Henrik,Marianne,238
Marianne,Wiese,240
Alette,Johnny,241
Johnny,Marianne,242
Alette,Johnny,243
Johnny,Marianne,244
Johnny,Wiese,244
Hilda,Mina,247
Bertha Ellingsen,Henrik,249
Bertha Ellingsen,Wiese,249
Marianne,Minda,252
Hysing,Marianne,259
Antonia,Johnny,263
Antonia,Henrik,265
Biermann,Henschen,267
Bertha Ellingsen,Fars,271
Johnny,akurat,275
Mads Foss,akurat,275
Biermann,Mads Foss,275
Gruner,Mina,278
Biermann,Johnny,279
Biermann,Johnny,282
Henrik,Mina,284
Biermann,Henrik,284
Antonia,Biermann,289
Antonia,Mads Foss,293
Bastian,Wiese,294
Gruner,Wiese,294
Biermann,Gruner,294
Johnny,Wiese,301
Marianne,Mina,302
Hysing,Marianne,303
Marianne,Wiese,305
Johnny,Wiese,306
Griiner,Johnny,306
.Biermanns,Griiner,306
Henrik,Hysing,308
Hysing,isommer,308
Ellingsens,Henrik,318
Bertha,Ellingsens,318
Henrik,Jomfru Holst,319
Karuds,Kirsten,323
Kirsten,Marianne,323
Bertha Ellingsen,Hilda,325
Bertha Ellingsen,Mads Foss,325
Bertha,Mads Foss,325
Hilda,Marianne,326
Biermann,Hilda,328
Jomfru Holst,braat,332
Borg,Hilda,333
Mads Foss,ostensiv,338
Mads Foss,ostensiv,338
Biermann,Bjølstad,339
Mads Foss,s,341
Hilda,Marianne,348
Ellingsen,Hilda,357
Bjølstad,Hilda,364
Bjølstad,Marianne,364
Bjølstad,Marianne,371
Bjølstad,Fossegaard,371
Jenta mi,Johnny,372
Bastian,Marianne,378
Bjølstad,Mads Foss,381
Ferdinand Wiese,Mads Foss,383
Mads Foss,Marianne,383
Henrik,Mads Foss,384
Mads Foss,Wiese,386
Holst,Mads Foss,386
Hilda,Holst,386
Marianne,Wiese,389
Johnny,Peltskaaben,390
Robarth,Toddy,402
Hilda,Marianne,403
Henrik,Hilda,404
Henrik,Skjænken,407
Henrik,Marianne,407
Hilda,Marianne,407
Henrik,Hilda,410
Hilda,Mads Foss,410
Madam Torbjørnsen,Marianne,423
Henrik,Madam Torbjørnsen,424
Hilda,Marianne,426
Kirsten,Torbjørnsen,428
Henrik,Johnny,439
Gubben,Marianne,440
Antonia,Gubben,441
Antonia,Mina Biermann,444
Antonia,Gubben,444
Biermann,Gubben,444
Biermann,Griiner,444
Marianne,Mina,445
Antonia,Mina,445
Antonia,Marianne,445
Marianne,Mina,446
Antonia,Bastian,447
Biermann,Marianne,448
Biermann,Robarth,448
Henrik,Robarth,448
Henrik,Hysing,448
Antonia,Mina,449
Henrik,Johnny,450
Antonia,Johnny,450
Antonia,Marianne,450
Henrik,Marianne,450
Antonia,Johnny,451
Antonia,Marianne,456
Lea,Rakel,462
Anton Johannesen,Johnny,463
Fossegaard,Johnny,463
Bertha,Kirsten,464
Kirsten,Kirsten Holst,471
Henrik,Marianne,480
Antonia,Marianne,481
Antonia,Henrik,483
Marianne,hans,485
Antonia,Jomfru Holst,486
Antonia,Kirsten,487
Antonia,Hilda,488
Antonia,Marianne,488
Antonia,Gudbevars,490
Gudbevars,Mina,490
Johnny,Mina,490
Johnny,Marianne,490
Henrik,Marianne,491
Kirsten,Marianne,494
Kirsten,Marianne,495
Henrik,Marianne,495
Henrik,Kirsten,495
Henrik,Kirsten,495
Henrik,Johnny,499
Andreasen,Johnny,499
Andreasen,Fars,499
Andreasen,Peder Haalbakken,515
Comp.s,Johnny,533
Fejer,Foss,536
Johnny,Kudsk,539
Fossegaard,Johnny,539
Henrik,Kirsten,542
Alette,Henrik,544
Alette,Johnny,544
Johnny,Willy,544
Johnny,Willy,544
Johnny,Willy,544
Henrik,lians,545
Anton Johannesen,Henrik,546
Biermann,Marianne,549
Biermann,Griiner,549
Johnny,Marianne,551
Henrik,Johnny,556
Minda Henschen,Vanke,568
Sands,Willy,584
Johnny,lille Willy,588
Adiø,Alette,594
Bo,Hr. Foss,610
Olafsen,Viggers,621
Johnny Foss,Olafsen,621
Johnny Foss,s,621
Antonia,Gubben,627
Gubben,lille Tony mi,630
Henrik,Marianne,632
Anton Johannesen,Henrik,643
Johannesen,Madam Torbjørnsen,644
Madam Torbjørnsen,Marianne,644
Borg,Madam Torbjørnsen,651
Henrik,Kirsten,652
