source,target,timestamp
Lea,fru Nord,2
Eilif Stadt,Tralala,7
Eilif Stadt,Lea,8
Bjørnson,Eilif Stadt,9
Bjørnson,Ibsen,9
Gunilds,Lea,12
Lea,månens,12
Gunild,månens,12
Lea,sorn,15
Gunild,keg,16
Lea,Walter Scott,19
Mauritz Hansen,Walter Scott,19
Birthe«,Mauritz Hansen,19
Eilif Stadt,Lea,20
Lea,deserten,22
Ada,deserten,22
Eilif Stadt,Lea,27
Lassen,Lea,37
Dorthe,Stadt,38
Eilif Stadt,Lea,39
Eilif Stadt,Lea,42
Eilif Stadt,Nords,42
Ada,taus,43
Ada,taus,43
Ada,Griegs,44
Ada,Eilif Stadt,48
Eilif Stadt,Lea,49
Eilif Stadt,Lea,54
Eilif Stadt,Lea,54
Eilif Stadt,Lea,61
Eilif Stadt,Lea,63
Eilif,Lea,69
Eilif,Lea,72
Eilif,Lea,72
Eilif Stadt,Lea,88
Lea,stelle,89
Oline,stelle,89
Eilif,Eilif Stadt,105
Eilif Stadt,Lea,105
Eilif,Lea,108
Eilif,Lea,111
George Sands,Oline,112
Lea,Oline,112
Eilif,Truelsen,116
Lea,Truelsen,116
Eilif,Eilif Stadt,117
Eilif Stadt,Stadt,117
Frøken Grung,Lea,122
Frøken Grung,Ibsen,122
Eilif,Lea,123
Eilif,snip,124
Eilif,Lea,125
David,Eilif,125
David,Jonathan,125
Jonathan,gud,125
Goethe,Heine,127
Eilif,Lea,132
Byron,lord Byron,134
Byron,Manfred,136
Mads,Mads Trulsen,138
Garibaldi,Sverre,139
Sigurd,Sverre,139
Eistein,Sigurd,139
Eistein,Mads,139
Mads,Mads Trulsen,139
hans schopenhauerske,lian,140
Eilif,Lea,143
Lea,ach,147
Lea,Trulsen,151
Lea,Lea did,153
Lea,Lea did,153
Lea,Oline,169
Lea,Oline,170
Lea,taus,170
Lea,Oline,171
Gud,Lisebeth,175
Lea,Oline,177
hans,skipper Dreier,183
Lea,Oline,184
Hansen,Oline,185
Oline,taus,189
Gud,Lisebeth,195
Lea,Oline,199
Lea,Lisebeth,199
Oline,signe,200
Gud,signe,200
Lea,Oline,202
Lisebeth,Oline,203
Lisebeth,Oline,203
Eilif,fru Nord,211
Eilif,Stadt,213
Eilif,Lea,214
Lea,Oline,221
Lea,Lisebeth,221
Lisebeth,Oline,222
Oline,gud,224
Jensen,Lea,228
Jensen,Smith,228
Eilif,Lea,231
Lea,mich,237
Mein,Mich,240
Mein,gott,240
Mich,gott,240
Mich,mich hede Levy,240
mich,mich hede Levy,240
Gott,mich,241
Levy,Sie mai,243
Lisbeth,Oline,245
Lea,Oline,246
Lea,Lisebeth,253
Lea,manø,254
Oline,iveien,256
Eilif Stadt,Per,260
Eilif Stadt,Lea,260
Lea,Oline,262
Lea,Oline,267
Lea,Oline,268
Eilif,Oline,269
Eilif,Lea,270
Lea,Oline,270
Lea,Oline,270
Lea,Oline,272
Lea,Oline,272
Dickens,George Sand,273
Dickens,Eilif,273
Lea,Oline,275
Lea,valen,277
Eilif,valen,277
Eilif,Lea,277
Lea,vilie,279
Eilif,Lea,280
Eilif,bereist,283
Eilif,bereist,283
Eilif,Lea,283
Lea,Oline,284
Lea,Oline,284
Lisebeth,Oline,284
Eilif,Viktor Hugo,289
Eilif,Viktor Hugo,289
Eilif,Lea,291
Eilif,Lea,295
Eilif,Lea,298
Eilif,Lea,299
Eilif,Lea,299
droschehests,kudsk,302
Eilif,Wilhelmine Diriks,306
Lea,Wilhelmine Diriks,306
Eilif,Lea,312
Eilif,Lea,315
Eilif,frøken Diriks,315
Eilif,frøken Diriks,315
Eilif,gud,323
Eilif,Lea,324
Lea,Wilhelmine,335
Eilif,Lea,335
Eilif,høker-madam,337
Eilif,Lea,342
Alfred de,Viktor Hugo,343
Eilif,Stuart Miil,345
Eilif,Wilhelmine,346
Lea,Wilhelmine,348
Lea,Wilhelmine,349
Eilif,Lea,352
Eilif,Gud,354
Eilif,Gud,354
Lea,frøken Wilhelmines,356
Lea,Wilhelmine,365
Lea,Wilhelmine,368
Eilif,Wilhelmine,370
Eilif,Miil,370
Eilif,Miil,370
Eilif,munar,371
Collett,Eilif,373
Eilif,Lea,379
Lea,iveien,380
Eilif,Lea,380
Eilif,Lea,381
Eilif,Lea,383
Ibsen,Lea,386
Eilif,Lea,388
Eilif,keg,388
Eilif,Lea,390
Lea keg,Wilhelmine,391
Eilif,Lea,392
Eilif,Lea,394
Eilif,Lea,397
Lea,Wilhelmine,403
Eilif,Lea,404
Eilif Stadt,Lea Lassen,428
Lea,Wilhelmine,429
Eilif,Spencer,434
Spencer,flan,434
Lea,Wilhelmine,443
Eilif,Frøkenen,446
Lea,frøken Wilhelmines,450
Lea,Wilhelmine,451
Lea,Leas siste lekture,454
Lucie,frøken Wilhelmine,456
Lea,Wilhelmine,457
Gran,Lea,459
Gran,Lea,459
Gran,Lea,463
Gran,Wilhelmine,465
Gran,Lea,466
Lucie,hui,469
Lucie,Ole Buil,469
Ole Buil,Ole Buli,469
Ole Buil,Ole Buli,469
Lucie,Ole Buil,469
Gran,Lea,471
Heine,Lucie Tonning,473
Lea,Lucie,486
Lucie,Mills,489
Gran,Mills,489
Gran,Lea fru,491
Eilif,Lea,492
Eilif,frøken Wilhelmine,493
Lea,Wilhelmine,494
Eilif,Lea,495
Eilif,Lea,495
Lea,Wilhelmine,498
Lea,siste,498
Eilif,Lea,502
Gran,Lea,504
Eilif,Lea,507
Eilif,Gran,507
Eilif,Gran,507
Eilif,Gran,510
Eilif,Lea,511
Eilif,Lea,514
Lea,Loths,514
Lea,iveien,518
Mills,Mine,523
Allers,Mills,523
Eilif,liun,524
Eilif,Lea,526
Gran,Lea,528
Gran,Lucie Gran,531
Gran,Lea,532
Tout le monde est sorti,madame,533
Lea,Tout le monde est sorti,533
Lea,gud,533
Lea,pjusket,534
madame,que monsieur m'a defendu^,535
Gran,que monsieur m'a defendu^,535
Gran,Lea,535
Gran,Lea,537
Lea,mais monsieur va gr,538
Lassen,Lea Stadt,541
Gran,Lea,549
Gran,Lea,554
Gran,Kjerulf,555
Diriks,nork,559
Diriks,Gran,559
Gran,Wilhelmine,559
Lea,Wilhelmine,559
Gran,Lea,559
Gran,Ole,567
Lea,slig,568
Gran,Lea,573
Gran,Lea,580
Gran,Lea,581
Gran,Lea,582
Oline,Trine,583
Oline,Wilhelmine,583
Gran,Lea,584
Eilif,Lea,586
Eilif,vilie,586
Gran,vilie,586
Gran,Lea,586
Gran,Lea,588
Gran,Lea,588
Lea,Lea taug,594
Gran,Lea,594
Dickens,Lea,595
Dickens,Lea,595
Gran,Lea,596
Flun,Ole Buli,600
Gran,Lea,601
Lea,Wilhelmine,603
Wentzel,heilung,610
Gran,Lea,612
Gran,Lea,618
Gran,Lea,618
Jeanne,Lea,618
Jeanne,stelle,618
Lea,stelle,618
Gran,Lea,619
Gran,Lea,619
Gran,Lea,619
Jeanne,Lea,620
Jeanne,Lea,620
Eilif,Jeanne,620
Eilif,Lea,620
Eilif,Lea,622
Lea,påny,622
Lea,påny,622
Gran,Lea,623
Gran,Jeanne,623
Gran,Jeanne,623
Gran,Lea,629
Gran,Lea,629
Gran,Lea,633
