source,target,timestamp
Birgitte,Oskars,9
Karen Isgaard,Oskar,10
Illerup,Karen Isgaard,10
Madam,h,12
Madam,Madam Søndervejle,12
Guds,Madam Søndervejle,12
Oskar,hans Sostersons,14
Jorgen Blussings,hans Sostersons,14
Jorgen Blussings,Jørgen Blussing,14
Jørgen,Oskar,16
Jørgen,Møller,16
Mølleren,Oskar,18
Gud,Mølleren,22
Gud,véd,22
Gud,véd,22
Oren,Oskar,25
Emma,Karen,29
Karen,Oskar,40
Emma,Karen,40
Karen,Oskar,49
Karen,Oskar,49
Karen,Oskar,52
Karen,Oskar,53
Gustad,Karen,53
Harriet,Valdemar,55
Oskar,Valdemar,59
Karen,Valdemar,59
Karen,Oskar,59
Karen,Oskar,61
Gustad,Karlekammer,62
Karlekammer,Valdemar,62
Harald,Harriet,70
Karen,Oskar,71
Karen,Valdemar,75
Harriet,alias,80
Gud,Sælsted,83
Karen,Oskar,87
Karen,Valdemar,87
Anders varder,Valdemar,87
Anders varder,Oskar,87
Anders,Oskar,88
Oskar,Valdemar,91
Karen,Valdemar,95
Karen,Valdemar,95
Fruens,Karen,95
Flan,Karen,96
Flan,Karen,96
Born,Laura Strehling,101
Karen,Oskar,103
Birgitte,Oskar,106
Birgitte,Bredager,106
Bredager,Valdemar,106
Karen,Valdemar,106
Mama,Oskar,123
Mama,Oskar,123
Karen,Oskar,125
Hasting,Karen,125
Hasting,Oskar,125
Hasting,Oskar,130
Hasting,Karen,130
Karen,Oskar,132
Hasting,Karen,132
Hasting,Karen,132
Karen,Oskar,132
Karen,Oskar,132
Karen,Oskar,132
Harriet,Karen,135
Harriet,Karen,135
Harriet,Karen,136
Karen,Oskar,137
Karen,Oskar,137
Karen,Oskar,137
Gustad,Karen,139
Karen,Valdemar,139
Brikander,Valdemar,139
Brikander,Karen,139
Hasting,Karen,139
Karen,Valdemar,140
Karen,Valdemar,140
Karen,Oskar,141
Karen,Kykeliky,144
Karen,Valdemar,148
Karen,Valdemar,149
Harald,Karen,150
Harald,Oskar,150
Harald,Oskar,150
Madame,Mølleren,157
Birgitte,Oskar,160
Blussings,Madam Søndervejle,164
Karen,Oskar,166
Karen,Oskar,166
Gud,Oskar,166
Gud,Oskar,166
Gud,Oskar,166
Blussings,Gud,166
Arturs,Blussings,166
Arturs,Madam Søndervejle,166
Gud,Madam Søndervejle,166
Gud,Marie Vold,166
Karen,Oskar,169
Kjøn,Oskar,169
Karen,Oskar,170
Oskar,Valdemar,172
Oskar,Valdemar,172
Oskar,Valdemar,172
Ane,Valdemar,174
Ane,Brikander,174
Brikander,Jomfru Hansen,174
Oskar,Valdemar,175
Oskar,Valdemar,181
Karen,Oskar,182
Karen,Valdemar,182
Karen,Valdemar,182
Karen,j6,190
Karen,Oskar,192
Karen,Oskar,193
Gustad,Karen,194
Karen,Oskar,195
Gustad,Oskar,195
Gustad,Karen,195
Karen,Oskar,197
Karen,Oskar,199
Gustad,Karen,204
Gud,Karen,204
Frøken Isgaard,notam,210
Frøken Isgaard,notam,210
Møller,lille Nikolaj,217
Madam Sondervejle,Oskar,220
Gustad,Oskar,221
Karen,Oskar,221
Gud,Karen,223
Karen,Oskar,226
Karen,Oskar,226
Karen,Oskar,226
Karen,Oskar,226
Karen,Oskar,227
Karen,Oskar,232
Karen,Valdemar,234
Karen,Oskar,234
Karen,Valdemar,238
Karen,Oskar,238
Karen,Oskar,240
Karen,Oskar,240
Brikander,Oskar,243
Karen,Oskar,253
Karen,Oskar,254
Birgitte,Bredager,259
Gud,Gustad,260
Gustad,Karen,262
Oskar,Valdemar,268
Karen,Oskar,270
Karen,Oskar,271
Karen,Oskar,271
Gustad,Karen,271
Don Juan,Gustad,271
Karen,Oskar,272
Karen,Oskar,274
Don Juan,Hasting,275
Karen,Oskar,276
Hasting,Lados,280
Karen,Oskar,284
Gustad,Karen,296
Karen,Oskar,296
Harriet,Hasting,297
Hasting,Oskar,297
Karen,Oskar,301
Oskar,Valdemar,302
Oskar,Valdemar,302
Goethe,Valdemar,305
Fru Gustad,Oskar,306
Hasting,Karen,308
Karen,Oskar,316
Karen,Oskar,321
Folgen,Karen,321
Oskar,Valdemar,323
Birgitte,Bredager,328
Birgitte,Karen,329
Gustad,Oskar,331
Karen,Oskar,331
Karen,Oskar,334
Karen,Oskar,334
Karen,Oskar,338
Hexeri,Karen,341
Hexeri,Karen,341
Bøgumgaard,Oskar,342
Karen,Oskar,342
Karen,Oskar,343
Bøgumgaard,Oskar,344
Bøgumgaard,Oskar,344
Blussing,Oskar,344
Oskar,Sælsted,345
Birgitte,Bredager,346
Birgitte,Bredager,346
Bredager,Oskar,346
Karen,Oskar,346
