source,target,timestamp
Gud,polisk,4
Frøken Vinter,Marie,5
Frøken Vinter,Marie,5
Line,Sine,6
Dine,Sine,6
Dine,Marie,6
Liv,Marie,6
Liv,Marie,6
Marie«,Vinter,8
Marie,per aspera,10
astra,per aspera,10
Julia,Marie,22
Fredriksen,Pincenez,29
Harry Vinter,Vinter,35
Marie,Vinter,35
Harry,Marie,35
Harry,Marie,35
Harry,Marie,38
Harry,Marie,39
Harry,Marie,42
Harry,Marie,44
Line,Marie,48
Line,Marie,48
Harry,Marie,48
Harry,Marie,52
Harry,Marie,53
Harry,Marie,54
Harry,Marie,54
Harry,Honoratiores,70
Gud,Harry,71
Harry,Marie,74
Harry,Marie,75
Bruns,Harry,78
Gud,Harry,78
Harry,Marie,81
Harry,Marie,81
Harry,Marie,82
Gud,Harry,87
Gud,Marie,93
Harry,Marie,95
Harry,Marie,97
Harry,Stella,97
Harry,Marie,98
Harry,Marie,99
B.,Marie,101
Marie,h en d,108
Marie,h en d,108
Antonio,Pietro,112
Harry,Signor Torre,117
Maud,Vest,122
Harry,Maud,122
Harry,Maud,124
Harry,Vesuvs,125
Harry,Maud,127
Harry,Maud,131
Harry,Maud,133
Harry,Maud,133
Harry,Maud,136
Harry,Monsieur,137
Maud,Monsieur,137
Gud,Maud,141
Harry,chansonnette,144
Gud,Harry,148
Harry,Maud,149
Harry,Maud,150
Harry,Maud,151
Harry,Maud,152
Harry,Maud,153
Harry,Maud,153
Harry,Maud,154
Harry,Maud,155
Harry,Maud,156
Harry,Maud,158
Harry,Maud,158
Maud,hdte,161
Harry,Maud,164
Harry,Maud,165
Harry,Maud,165
Harry,Victor,166
Harry,Victor,166
Harry,Mr. Victor,166
Maud,Mr. Victor,166
Harry,Mr. Victor,167
Mr. Victor,Sottise,167
Harry,Mr. Victor,168
Harry,Maud,171
Antonio,Ninetta,175
Harry,Maud,182
Harry,Marie,190
Harry,Maud,191
Adam,Bjørn,192
Christian Wintherske,Harry,193
Christian Wintherske,Heinesk Kjærlighed,193
Gud,Maud,196
Gud,Maud,197
Gud,Maud,197
Kapitain C.,Maud,200
Faders,Gud,202
Harry,Sottise,212
Hansen,Maud,215
Maud,vims,215
Harry,Maud,218
Harry,Maud,225
Harry,Maud,226
Maud,Musse,242
Gud,Maud,261
Marie,Rogert,270
Marie,Maud,270
Marie Vinter,Vinter,277
Harry,Maud,280
Mane,Rogert,287
Marie,Maud,291
Marie,Maud,291
Marie,Maud,291
Gud,Harry,293
Harry,ban bode,295
Emmy,Harry,299
Emmy,Møller,305
Harry,Møller,305
Gud,Harry,316
Harry,Rogert,324
Harry,Rogert,324
Harry,Rogert,324
Marie,Maud,328
Marie,Maud,328
Marie,Maud,329
Marie,Maud,331
Marie,Maud,332
Marie,Maud,334
Marie,Maud,336
Marie,Maud,336
Marie,Maud,336
Marie,Maud,339
Marie,Maud,343
Marie Maud,Maud,346
Marie,Maud,353
Bentzon,Marie,355
Bentzon,Maud,355
Marie,Maud,356
Marie,Maud,356
Marie,Maud,356
Marie,Maud,356
Marie,Maud,356
Marie,Maud,356
Gud,Maud,359
Gud,Maud,359
Marie,Rogert,360
Maud,Rogert,360
Juliette,Maud,360
Marie,Maud,362
Marie,Maud,362
Marie,Maud,363
Marie,Maud,364
Marie,Maud,364
Harry,Maud,364
Harry,Marie,364
Marie,Rogert,364
Marie,Rogert,364
Marie,Rogert,364
Harry,Rogert,372
Harry,Marie,375
Flan,Marie,376
Harry,Marie,378
Fredriksberg Allé,Marie,378
Fredriksberg Allé,Rogert,378
Marie,Rogert,378
Marie,hans,378
Marie,hans,378
Marie,Rogert,380
Harry,Marie,380
Harry,Marie,382
Harry,Rogert,386
Brun,Harry,389
Gud,Harry,389
Harry,Maud,391
Harry,Marie,391
Marie,Maud,391
Marie,Maud,391
Harry,Rogert,392
Harry,Marie,393
Harry,Marie,401
Harry,Marie,401
Gud,Marie,403
Gud,Karoline,403
Harry,Marie,404
Gud,Harry,405
Harry,Marie,412
Harry,Marie,417
Harry,Maud,417
Frøken Vest,Maud,417
Harry,Maud,422
Kjære,Maud,429
Kjære,Marie,429
Harry,Marie,429
Gud,Harry,429
Marie,Rogert,430
Marie,Rogert,431
Harry,Rogert,431
Harry,Rogert,431
Marie,Rogert,437
Harry,Marie Vinter,438
Marie Vinter,Maud,439
Marie,Maud,442
Maud,taust,443
Harry,Marie,445
Harry,Maud,445
Maud,lille Rogerts,446
Marie,Maud,450
Maud,Rogert,452
Harry,Maud,453
Maud,hans,457
Fløjels,Rogert,458
Harry,Marie,459
Madam Hansen,Marie,459
Madam Hansen,Rogert,459
Marie,Rogert,460
Harry,Rogert,461
Harry,Marie,461
Harry,Marie,461
Marie,Rogert,462
Marie,Rogert,462
Gud,Marie,462
Gud,Karoline,462
Harry,Rogert,465
Maud,Rogert,465
Marie,Maud,465
Harry,Marie,469
Marie,Maud,472
Harry,Maud,477
Maud,sinf,477
Gud,Harry,478
Harry,Marie,478
Marie,Rogert,478
Gud,Marie,479
Harry,Marie,480
Marie,Rogert,480
Marie,Rogert,480
Harry,Marie,480
Gud,Harry,480
