Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Gud,0,0,0,0,6,0.24,26,0.22,6,0.24,0.22,0.47,0.08,0.22
polisk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Frøken Vinter,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.13,0.0,0.0
Marie,0,0,0,0,19,0.86,115,0.98,19,0.86,0.41,0.87,0.36,1.0
Line,0,0,0,0,2,0.05,3,0.02,2,0.05,0.07,0.15,0.01,0.03
Sine,0,0,0,0,2,0.05,2,0.01,2,0.05,0.02,0.04,0.0,0.0
Dine,0,0,0,0,2,0.05,2,0.01,2,0.05,0.07,0.15,0.01,0.03
Liv,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.13,0.0,0.0
Marie«,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Vinter,0,0,0,0,4,0.14,4,0.03,4,0.14,0.09,0.19,0.06,0.17
per aspera,0,0,0,0,2,0.05,2,0.01,2,0.05,0.07,0.15,0.03,0.08
astra,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Julia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
Fredriksen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Pincenez,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Harry Vinter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Harry,0,0,0,0,20,0.9,117,1.0,20,0.9,0.42,0.89,0.36,1.0
Honoratiores,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Bruns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Stella,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
B.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
h en d,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.13,0.0,0.0
Antonio,0,0,0,0,2,0.05,2,0.01,2,0.05,0.0,0.0,0.0,0.0
Pietro,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Signor Torre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Maud,0,0,0,0,22,1.0,96,0.82,22,1.0,0.47,1.0,0.34,0.94
Vest,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Vesuvs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Monsieur,0,0,0,0,2,0.05,2,0.01,2,0.05,0.14,0.3,0.0,0.0
chansonnette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
hdte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Victor,0,0,0,0,1,0.0,2,0.01,1,0.0,0.07,0.15,0.0,0.0
Mr. Victor,0,0,0,0,3,0.1,5,0.03,3,0.1,0.15,0.32,0.0,0.0
Sottise,0,0,0,0,2,0.05,2,0.01,2,0.05,0.09,0.19,0.0,0.0
Ninetta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Adam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bjørn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christian Wintherske,0,0,0,0,2,0.05,2,0.01,2,0.05,0.07,0.15,0.03,0.08
Heinesk Kjærlighed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kapitain C.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Faders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
vims,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Musse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.15,0.0,0.0
Rogert,0,0,0,0,7,0.29,33,0.28,7,0.29,0.25,0.53,0.07,0.19
Marie Vinter,0,0,0,0,3,0.1,3,0.02,3,0.1,0.15,0.32,0.02,0.06
