source,target,timestamp
Arentz,Jenny,11
Kaja,Olaf,12
Olaf,Peter,12
Arentz,Tulla,13
Arentz,Vorherre,13
Olaf,Tulla,15
Olaf,Tulla,15
Olaf,Tulla,15
Tulla,ida,15
Olaf,Tulla,16
Tulla,Vorherre,17
Gutten,Vorherre,17
Gutten,Tulla,17
Arentz,Jenny,29
Kaja,Peter,31
Olaf,Olavas,33
Andersens,Olavas,33
Andersens,Peter,33
Olava,Tulla,34
Olaf,Olava,34
Olaf,Olava,34
Lille,Olava storlo,39
Lasse,Lille,39
Lasse,lille bitte Lasse,39
aa,lille bitte Lasse,39
Kaja,Tulla,40
Kaja,Streiftog,40
Maren,Streiftog,40
Maren,Olaf,41
Maren,Olaf,41
Maren myg,fyste,43
Maren,Olaf,44
Olaf,Peter,45
Maren,Peter,45
Jei,Maren Toskesdatter,46
Jei,eg,46
Gud,eg,46
Eg,eg,47
Nor,eg,47
Nor,eg,47
eg,totri,47
Maren,totri,47
Jei,Maren,47
Jei,eg,47
eg,jei,47
Olsen,jei,47
Maren,meg,50
Maren,plirte Olaf skjelmsk,51
Maren,Olaf,52
Gjert Olsen,Skipper Finkeisen,53
Gud,Olaf,54
Gud,Maren,54
Maren,Olaf,56
Maren,Olaf,57
Maren,Olaf,57
Maren,Olaf,57
Gjert,Maren,59
Gud,Maren Toskesdatter,60
Arentz,Tulla,62
Olaf,Tulla,62
Olaf,Tulla,62
fløi Tulla,trilte,63
Jenny,Tulla,70
Arentz fløi,Nils,72
Tulla,kjør,75
Mamas,Tulla,76
Arentz,Nils,77
Arentz,Nils,77
Mama,Tulla,82
Arentz,Mama,82
Arentz,Tulla,82
Arentz,Olaf,84
Arentz,Frue,84
Frue,Gud,84
Gud,Mama,84
Arentz,Olaf,85
Arentz,Tulla,85
Arentz,Olaf,86
Olaf,Tulla,86
Gut,Tulla,86
Arentz,Olaf,89
Maren,iforregaars,92
Arentz,s. Arentz,96
Arentz,Bertelsen,98
Bertelsen,Enoksen,98
Sjou,forman,100
Olaf,Tulla,104
Maren,Tulla,104
Maren,Tulla,106
Olaf,Tulla,106
Maren,Olaf,106
Bertelsen,Sten,110
Bertelsen,Plinius,110
Mort,Plinius,110
Sten,iland,113
Arentz,Holm,114
Arentz,Lars Vagle,115
Madam Salvesen,Tønnesen,116
Maren,Olava,120
Maren,dere,123
Pitter,Taa,128
Andreas Kjæft,Taa,128
Arentz,Maren,129
Gud,Maren,129
Arentz,Sten,134
Arentz,graad,136
Gjert,s,139
Gjert,Maren,139
Maren,Sten,139
Arentz,Sten,139
Arentz,Maren,139
Mamma,Pappa,140
Arentz,Mamma,141
Mamma graad,Mani mas Røst,143
Gjert,Olaf,144
Mama,Olaf,144
Arentz,s,146
Arentz,Maren,149
Arentz,Maren,150
Arentz,Kongsbergs,150
Brynhild,Gudrun,152
Arentz,Pe,159
Olaf,Pe,159
Olaf,s,159
Pe,Petra,162
Petra,Petrine,162
Petrine,Petronelle,162
Pe,Petronelle,162
Pe,Tante Pe,165
Maren,Tante Pe,165
Arentz,Maren,165
Olaf,Pe,166
Olaf,Tulla,166
Brun,Tulla,166
Brun,Pe,167
Maren,Pe,168
Maren,Pe,168
Maren,harm,168
eg,harm,168
Pe,lille Tulla,172
Brun,Pe,176
Kongsbergs,Meyer,179
Brun,Olaf,186
Gud,Olaf,190
Olaf,Pe,192
Olaf,Tulla,192
Arentz,Maren,193
Arentz,Tahte Pe,196
Arentz,Brandtouger,197
Arentz,Tbugene,197
Pe,Tbugene,197
Arentz,Pe,199
Maren,Pe,199
Brodermands,Tante Pe,202
Broder,Gud,203
Kjør,viltert,210
Gjert,Maren,215
Arentz,Maren,215
Gjert,Sjul,220
Orta,Rudseie,221
Simen,Skott,224
Sjul,Tia,226
Berentz,Tia,226
Berentz,Sjul,226
Sjul,bent,226
Aassaa,Grua,231
Bjørn,Sjul Brudevolden,234
Gut,Lammers,236
Per Warter,warta,240
Arentz,Sjul,243
Arentz,Sjul,243
