Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Peter Strohtmann Scheel,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.02,0.04
Praxis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henriette Grüner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Rolf,0,0,0,0,39,1.0,138,1.0,39,1.0,0.56,1.0,0.49,1.0
Henriette Grimers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henriette Scheels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,11,0.26,21,0.15,11,0.26,0.22,0.39,0.07,0.14
Henriette Scheel,0,0,0,0,2,0.03,3,0.01,2,0.03,0.08,0.14,0.0,0.0
Frigga,0,0,0,0,7,0.16,34,0.24,7,0.16,0.2,0.36,0.02,0.04
Frigga Kraft,0,0,0,0,4,0.08,6,0.04,4,0.08,0.14,0.25,0.02,0.04
paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
tys,0,0,0,0,3,0.05,4,0.02,3,0.05,0.1,0.18,0.02,0.04
Ingvald,0,0,0,0,23,0.58,79,0.57,23,0.58,0.36,0.64,0.21,0.43
Ingvald Kraft,0,0,0,0,5,0.11,13,0.09,5,0.11,0.15,0.27,0.02,0.04
Rolf Scheel,0,0,0,0,6,0.13,10,0.07,6,0.13,0.17,0.3,0.04,0.08
Karen,0,0,0,0,2,0.03,3,0.01,2,0.03,0.12,0.21,0.0,0.0
Strike,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.09,0.0,0.0
Bente,0,0,0,0,10,0.24,28,0.2,10,0.24,0.18,0.32,0.12,0.24
Kraft,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.04,0.0,0.0
Sofie Aars,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.02,0.04
Larina Kraft,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Stadshauptmand Scheels,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.02,0.04
Kaptejnens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Scheel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
haanlo Frigga,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
hans Rolf Scheel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
keg,0,0,0,0,2,0.03,2,0.01,2,0.03,0.12,0.21,0.0,0.0
Hare,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.09,0.01,0.02
jø,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Jeremias,0,0,0,0,7,0.16,12,0.08,7,0.16,0.15,0.27,0.03,0.06
Scheel,0,0,0,0,5,0.11,7,0.04,5,0.11,0.17,0.3,0.0,0.0
Svenskeren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Abraham,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jacob —,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
skick,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
lofven,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sjøsprøit,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
høilys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Stygge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Graad,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.14,0.0,0.0
Præstens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Aaget,0,0,0,0,2,0.03,2,0.01,2,0.03,0.09,0.16,0.0,0.0
Jomfru Aars,0,0,0,0,2,0.03,3,0.01,2,0.03,0.12,0.21,0.0,0.0
R.olf,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.05,0.0,0.0
Bente Aars,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.09,0.0,0.0
Mester,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Peter Strothmann,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.12,0.04,0.08
Glid,0,0,0,0,2,0.03,3,0.01,2,0.03,0.06,0.11,0.0,0.0
herran,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
jag,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
pinnan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
minnas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sednaste,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
soner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
vara,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gut,0,0,0,0,2,0.03,4,0.02,2,0.03,0.07,0.12,0.02,0.04
sine T anker,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Peter Scheel,0,0,0,0,3,0.05,3,0.01,3,0.05,0.07,0.12,0.05,0.1
Kaptein Søderberg,0,0,0,0,3,0.05,5,0.03,3,0.05,0.09,0.16,0.02,0.04
Mangaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
lange,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
isaafald,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ole Martin,0,0,0,0,5,0.11,8,0.05,5,0.11,0.18,0.32,0.0,0.0
Monsens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.1,0.18,0.0,0.0
Annine,0,0,0,0,8,0.18,9,0.06,8,0.18,0.22,0.39,0.02,0.04
Monsen,0,0,0,0,2,0.03,3,0.01,2,0.03,0.09,0.16,0.0,0.0
egeij,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
set-Jeremias,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Polly,0,0,0,0,2,0.03,2,0.01,2,0.03,0.1,0.18,0.0,0.0
Svend,0,0,0,0,2,0.03,2,0.01,2,0.03,0.09,0.16,0.0,0.0
Madam Monsens,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.04,0.0,0.0
sonf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
