Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Joachim Ernst,0,0,0,0,5,0.12,7,0.14,5,0.12,0.09,0.22,0.02,0.09
Johan Adolph,0,0,0,0,25,0.73,41,0.91,25,0.73,0.3,0.73,0.21,0.91
Hans,0,0,0,0,11,0.3,12,0.25,11,0.3,0.14,0.34,0.04,0.17
Kong Christian III,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Frederik Vilhelm,0,0,0,0,9,0.24,14,0.3,9,0.24,0.08,0.2,0.04,0.17
Niels Rosenkrands,0,0,0,0,7,0.18,9,0.18,7,0.18,0.08,0.2,0.03,0.13
Ahlefeldt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Saar,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.01,0.04
Ahleseldt,0,0,0,0,4,0.09,5,0.09,4,0.09,0.02,0.05,0.02,0.09
Rankzau,0,0,0,0,2,0.03,3,0.05,2,0.03,0.0,0.0,0.01,0.04
taug,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hans v. Ahleseldt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henning Pogvisch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Rantzau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rantzauernes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,11,0.3,14,0.3,11,0.3,0.06,0.15,0.05,0.22
as,0,0,0,0,9,0.24,9,0.18,9,0.24,0.13,0.32,0.07,0.3
Pogvisch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Asstand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
as Hr. Henning,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dorothea Sophia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Prinsesse as Brunsvig-Wolfenbyttel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dorothea,0,0,0,0,6,0.15,7,0.14,6,0.15,0.04,0.1,0.02,0.09
Griffenfeld,0,0,0,0,12,0.33,17,0.36,12,0.33,0.12,0.29,0.09,0.39
Rumohr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Aichelberg,0,0,0,0,34,1.0,45,1.0,34,1.0,0.41,1.0,0.23,1.0
Hr. v. Aichelberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
August,0,0,0,0,11,0.3,13,0.27,11,0.3,0.22,0.54,0.07,0.3
Johan Frants v. Aichelberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
as Slesvig-Holsten-Sønderborg-Pløn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eutin,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.0,0.0
v. Aichelberg,0,0,0,0,17,0.48,19,0.41,17,0.48,0.11,0.27,0.09,0.39
Naades,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Anna Sophie v. Traudenburg,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Christine,0,0,0,0,13,0.36,14,0.3,13,0.36,0.17,0.41,0.07,0.3
vemodig,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Eders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
ban høs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Pløn,0,0,0,0,6,0.15,8,0.16,6,0.15,0.09,0.22,0.04,0.17
Virgil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
v. Traudenburg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Aline,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
v. Rønnov,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Aare,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Anna Sophie v.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Dorothea Christine,0,0,0,0,3,0.06,4,0.07,3,0.06,0.1,0.24,0.01,0.04
Hr. Wunderlich,0,0,0,0,3,0.06,3,0.05,3,0.06,0.07,0.17,0.0,0.0
Wunderlich,0,0,0,0,2,0.03,2,0.02,2,0.03,0.06,0.15,0.0,0.0
Babba,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dorothea Chrisfine,0,0,0,0,3,0.06,3,0.05,3,0.06,0.02,0.05,0.01,0.04
Schumacher,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Bernhard,0,0,0,0,5,0.12,8,0.16,5,0.12,0.08,0.2,0.02,0.09
Dell,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
Gustav Wrangel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Wrangel,0,0,0,0,3,0.06,3,0.05,3,0.06,0.04,0.1,0.01,0.04
Alen,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.0,0.0
Bibow,0,0,0,0,2,0.03,3,0.05,2,0.03,0.05,0.12,0.0,0.0
Hahn,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
Knuth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
knn,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.01,0.04
karl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
besternf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hertug August,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Sophie Amalie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Ernst Günther,0,0,0,0,3,0.06,4,0.07,3,0.06,0.02,0.05,0.0,0.0
Lovise Charlotte,0,0,0,0,4,0.09,4,0.07,4,0.09,0.02,0.05,0.01,0.04
Tarents,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Charlotte,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Ulrich Frederik Gyldenløve,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Simoni,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.01,0.04
Høiforræderi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Grisfenselds,0,0,0,0,2,0.03,2,0.02,2,0.03,0.05,0.12,0.0,0.0
Kong Christian Ill,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Alexander,0,0,0,0,7,0.18,8,0.16,7,0.18,0.08,0.2,0.03,0.13
Joachim Ernst Pløn,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.1,0.0,0.0
Christian Ærø,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Christian,0,0,0,0,4,0.09,4,0.07,4,0.09,0.04,0.1,0.02,0.09
Frederik.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Frederiks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Johan Bugislav,0,0,0,0,3,0.06,4,0.07,3,0.06,0.0,0.0,0.01,0.04
Kong Frederik III,0,0,0,0,2,0.03,3,0.05,2,0.03,0.0,0.0,0.0,0.0
Reinseld,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
d. e. Pløn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eie,0,0,0,0,2,0.03,2,0.02,2,0.03,0.03,0.07,0.0,0.0
Hain,0,0,0,0,7,0.18,9,0.18,7,0.18,0.14,0.34,0.02,0.09
Dorothea Johanne,0,0,0,0,3,0.06,3,0.05,3,0.06,0.03,0.07,0.02,0.09
ester,0,0,0,0,3,0.06,3,0.05,3,0.06,0.0,0.0,0.01,0.04
Joachim Frederik,0,0,0,0,18,0.52,31,0.68,18,0.52,0.29,0.71,0.14,0.61
Christian Carl,0,0,0,0,25,0.73,34,0.75,25,0.73,0.3,0.73,0.15,0.65
Elisabeth Charlotte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Dorothea Christine v. Aichelberg,0,0,0,0,3,0.06,3,0.05,3,0.06,0.09,0.22,0.0,0.0
Frederik,0,0,0,0,8,0.21,8,0.16,8,0.21,0.06,0.15,0.03,0.13
Kong Frederik,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Sophie Charlotte,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Ernst August,0,0,0,0,3,0.06,4,0.07,3,0.06,0.06,0.15,0.01,0.04
Keiser Leopold,0,0,0,0,3,0.06,3,0.05,3,0.06,0.02,0.05,0.0,0.0
Keiseren,0,0,0,0,4,0.09,4,0.07,4,0.09,0.04,0.1,0.02,0.09
Eugen,0,0,0,0,8,0.21,10,0.2,8,0.21,0.06,0.15,0.03,0.13
Leopold,0,0,0,0,3,0.06,3,0.05,3,0.06,0.01,0.02,0.02,0.09
Frederik I,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.01,0.04
Frederik II,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.01,0.04
Frederik udkastede,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ludvig XIV,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Wartenberg,0,0,0,0,2,0.03,3,0.05,2,0.03,0.06,0.15,0.0,0.0
An gu ft Philip,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Ludvig Frederik,0,0,0,0,3,0.06,4,0.07,3,0.06,0.03,0.07,0.01,0.04
August Philips,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
August Philip,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Dornek,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.01,0.04
Mons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ernst Güuther,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Augusta,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Philip,0,0,0,0,5,0.12,5,0.09,5,0.12,0.03,0.07,0.03,0.13
Obersfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Karl den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sobelpels,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.01,0.04
Frøken v.,0,0,0,0,2,0.03,6,0.11,2,0.03,0.05,0.12,0.01,0.04
Henrik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
v. Gerlach,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken v. Aichelberg,0,0,0,0,4,0.09,4,0.07,4,0.09,0.07,0.17,0.01,0.04
Gemalinde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Dalbergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
v. Wartenberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Chrisfian Carl,0,0,0,0,6,0.15,8,0.16,6,0.15,0.09,0.22,0.01,0.04
Kønigsbergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Frøken Aichelbergs,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.0,0.0
sra italiensk Jordbund,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.1,0.0,0.0
Catinats,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.1,0.0,0.0
rnaatte,0,0,0,0,1,0.0,2,0.02,1,0.0,0.01,0.02,0.0,0.0
Jngen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Theobald,0,0,0,0,7,0.18,10,0.2,7,0.18,0.07,0.17,0.04,0.17
Ester,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
sorn,0,0,0,0,4,0.09,4,0.07,4,0.09,0.08,0.2,0.01,0.04
Charlotte Sophie,0,0,0,0,4,0.09,4,0.07,4,0.09,0.13,0.32,0.0,0.0
Gyntelberg,0,0,0,0,11,0.3,14,0.3,11,0.3,0.13,0.32,0.05,0.22
Jacob II,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
Vilhelm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
bun,0,0,0,0,4,0.09,4,0.07,4,0.09,0.04,0.1,0.03,0.13
ban,0,0,0,0,4,0.09,4,0.07,4,0.09,0.01,0.02,0.02,0.09
Magdalene Juliane,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.01,0.04
Christian Ebenhardt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Støi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Huri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
freidig,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
as Rasfau-Dillenburg,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
soran,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gudsgave,0,0,0,0,2,0.03,2,0.02,2,0.03,0.05,0.12,0.0,0.0
Christian Carl rnaatte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
son,0,0,0,0,5,0.12,7,0.14,5,0.12,0.13,0.32,0.03,0.13
Ernsf Augusf,0,0,0,0,1,0.0,5,0.09,1,0.0,0.01,0.02,0.0,0.0
Christian August,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Philip Ernst,0,0,0,0,3,0.06,3,0.05,3,0.06,0.0,0.0,0.01,0.04
Frederik IV,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Johan Ernst Ferdinand,0,0,0,0,7,0.18,8,0.16,7,0.18,0.05,0.12,0.06,0.26
Grand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Isabella Margaretha,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.01,0.04
Marquise de Merode Wesferlo,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
Marie,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Marquise de Merode Terlon,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Marquisen,0,0,0,0,3,0.06,3,0.05,3,0.06,0.01,0.02,0.0,0.0
Ester Taffelet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Anna Christina Berender,0,0,0,0,2,0.03,2,0.02,2,0.03,0.05,0.12,0.01,0.04
sra Kiel,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.01,0.04
Sophie Cantelberger,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anna Christine Berender,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Chrisfian V.,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Anna Sophie,0,0,0,0,3,0.06,3,0.05,3,0.06,0.01,0.02,0.01,0.04
Leopold Chrisfian,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Chrisfian Adolph,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Leopold Christian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Aland,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Johan Ernst Ferdinand as Rethwisch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Hesfen,0,0,0,0,2,0.03,2,0.02,2,0.03,0.08,0.2,0.0,0.0
Carl ste,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
v. Curti,0,0,0,0,4,0.09,4,0.07,4,0.09,0.06,0.15,0.01,0.04
Ankergrund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Curti,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.12,0.0,0.0
Joachim,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.05,0.0,0.0
Angust,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
F. v. Krogh,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
halls,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
huil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
siii,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jolle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dei,0,0,0,0,3,0.06,3,0.05,3,0.06,0.02,0.05,0.01,0.04
hnn,0,0,0,0,2,0.03,3,0.05,2,0.03,0.03,0.07,0.0,0.0
