source,target,type,weight
Jesu,Sirtses,Undirected,1
Gud,Niels Hevring,Undirected,2
Klavs Bjærgen,Madsens,Undirected,1
Madsens,Peder Jonsen,Undirected,1
Grete,Klavs,Undirected,2
Klavs,Peder,Undirected,2
Iohanne,Peder,Undirected,1
Klavs,Peder Jonscn,Undirected,1
Johanne,Peder Jonscn,Undirected,1
Klavs,ester,Undirected,1
Grete,Peder Jonfen,Undirected,1
Klavs,vos,Undirected,1
Grete,vos,Undirected,1
Klavs,Peder Ionsen,Undirected,1
Grete,Larsine,Undirected,5
Jørgen Funders,Larsine,Undirected,1
Klavs,Larsine,Undirected,1
Gud,Iohanne,Undirected,1
Grete,Iohanne,Undirected,1
Grete,Peder,Undirected,1
Grete,Peder Jonsen,Undirected,1
Johanne,Peder Jonsen,Undirected,1
Gud,Johanne,Undirected,1
Gud,oni,Undirected,1
J,Klavs Bjærgen,Undirected,1
Karen,Mette,Undirected,9
Grete,Jomfru Karen,Undirected,1
Jomfru Karen,Mette,Undirected,1
Grete,kain,Undirected,2
Grete,Mesfers,Undirected,2
Peder Jonsen,er Gretes,Undirected,1
Peder,Peder Jonsen,Undirected,2
Davre,Klavs,Undirected,2
Karle,Peder Jonsen,Undirected,1
Karle,Klavs,Undirected,1
Grete Hellesen,Peder Jonsen,Undirected,1
Grete Hellesen,Karle,Undirected,1
Karle,Kasper Filler up,Undirected,1
Kasper Filler up,Mads Ring,Undirected,1
Alette,Mads Ring,Undirected,1
Alette,Karen,Undirected,1
Grete Hellesen,Mette,Undirected,1
Mette,skoggerlo,Undirected,1
Karlen,idef,Undirected,1
Mette,idef,Undirected,1
Larfes,Mads,Undirected,1
Kasper Fillerup,Mads Ring,Undirected,2
Hain,Karen,Undirected,2
Hain,Mette,Undirected,3
Karen,Mads,Undirected,1
Kaspers,Mads,Undirected,1
Karen,jen,Undirected,1
Karen,Kasper Fillerup,Undirected,1
Mette,Tu,Undirected,1
Asfen,Karen,Undirected,1
Kasper,Mads Ring,Undirected,1
Hain,Mads Ring,Undirected,2
Kasper Fillerup,Klavs Bjærgeir,Undirected,1
Klavs Bjærgeir,eir,Undirected,1
Karen,Klavs,Undirected,4
Karlen,Klavs,Undirected,1
Klavs,Mette,Undirected,3
Klavs Bjærgen,Mette,Undirected,1
Kasper Fillerup,Klavs Bjærgen,Undirected,1
Karen,Klavs Bjærgen,Undirected,2
Klavs Bisp,Mads Ring,Undirected,1
